,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[4.860883338622479, 52.33935293042877]","[4.892596957387365, 52.357265321896215]",2.933840317681479,7315.9,752.6,3773.0,2716.5,3601.5,861.0
1,"[4.764339826467335, 52.38490509054799]","[4.83483166885355, 52.36611811277832]",5.221292791563184,8324.9,773.1,6420.2,4622.5,7462.5,1587.1
2,"[4.926803525168621, 52.34712889788095]","[4.959151315788335, 52.40980775937355]",7.307260561729535,14028.3,1167.5,10837.1,7698.6,11232.7,2268.9
3,"[4.870839747645777, 52.35025250727481]","[4.837028655155082, 52.345756658232]",2.3503971557382837,3565.5,514.5,2943.2,2119.1,3153.5,659.3
4,"[4.98227896942622, 52.39802342837032]","[4.862515379685209, 52.34523920326957]",10.027740033088174,18592.7,1195.3,12933.5,9458.4,14088.0,2979.0
5,"[4.891754422577318, 52.41307022237113]","[4.761277883887005, 52.38245668099826]",9.48455690568126,15931.0,1174.7,12207.5,8558.4,12575.2,2862.5
6,"[4.813365648339989, 52.36881020687261]","[4.9466161433881455, 52.388697166866166]",9.311135453433604,19441.9,1365.7,11096.2,8135.6,12059.7,2782.3
7,"[4.812347229993208, 52.34531854559877]","[4.836906734613787, 52.34061196579981]",1.7485509604923801,3040.6,388.8,2865.0,2062.8,2908.2,621.6
8,"[4.872224066651002, 52.34089363067656]","[4.875727243499224, 52.37208103448589]",3.4760320987896076,4483.6,586.4,4234.0,3048.4,4457.4,953.0
9,"[4.942117726396046, 52.36206011525414]","[4.911897020129015, 52.377445276448654]",2.671379727877751,3387.6,380.1,3426.9,2467.3,3386.5,706.0
10,"[4.881418871127471, 52.417626207799294]","[4.854313725506752, 52.35621200639597]",7.072359255825697,10231.5,933.1,9197.5,6391.2,10604.9,2437.7
11,"[4.871975404052085, 52.37371288747365]","[4.9164920059052655, 52.41139279206004]",5.165212010012041,12846.6,1065.5,6607.4,4526.4,8322.2,2000.3
