,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[2.166694524473912, 41.42996280261367]","[2.1426151513828104, 41.3752125684042]",6.410660251707358,8841.4,1019.1,7820.6,5630.7,9041.0,1817.0
1,"[2.182107576585423, 41.393966248718016]","[2.1359946315647163, 41.376019993623]",4.33385977898791,5394.3,641.1,5161.5,3716.2,5159.4,1057.6
2,"[2.129641118125445, 41.39101352821505]","[2.1637336248805967, 41.37202852417257]",3.5421982904453375,4316.5,621.2,3996.2,2877.2,4057.9,839.2
3,"[2.1350858422961507, 41.41685366379048]","[2.1937143585294963, 41.416926415864125]",4.888854752265102,6888.6,814.6,6348.9,4571.1,7267.5,1456.9
4,"[2.169370118609725, 41.37183444544925]","[2.1931889379381624, 41.43863880294138]",7.689345636872747,12357.1,1106.5,8597.7,6190.1,9220.4,1900.8
5,"[2.176119690051572, 41.45952819253316]","[2.1067994870352305, 41.38685955523315]",9.9347400036358,12961.7,1220.9,12182.1,8771.0,12853.3,2575.7
6,"[2.1679546204915594, 41.447567100156384]","[2.1498756780928585, 41.38353569864462]",7.277823768129657,10244.3,1168.3,8996.5,6477.3,9842.4,2080.4
7,"[2.143480388242217, 41.37105154170656]","[2.210704563012122, 41.400396025539294]",6.4884468417291155,7689.3,793.2,7195.4,5180.6,7938.9,1695.8
8,"[2.177443172188244, 41.4600777540722]","[2.1507163112399974, 41.330841126097056]",14.542361623398337,,,,,,
9,"[2.1884332067273737, 41.37851426694149]","[2.151619070432867, 41.36358411919901]",3.491874475902669,6444.3,918.6,4960.7,3571.6,5779.1,1166.5
10,"[2.18856621630408, 41.425426534002185]","[2.1127948974914674, 41.37869276716808]",8.181916717336783,9650.2,1096.7,8992.8,6474.6,9897.0,2057.6
11,"[2.142940341733211, 41.40825543036303]","[2.168052067406496, 41.39374044362287]",2.644220987590746,3576.8,538.2,3084.7,2220.9,4082.2,900.5
12,"[2.2064154985865674, 41.40255216747693]","[2.191092139749105, 41.42432278179309]",2.737342954941434,3916.0,505.8,3073.5,2212.9,3540.8,712.1
13,"[2.1530746989131737, 41.39508106831345]","[2.1848895959288317, 41.44775567069573]",6.42987718208732,9233.7,1000.1,7292.2,5250.2,8059.7,1636.3
14,"[2.159755113999465, 41.33660600683198]","[2.1579399095612914, 41.43508611350074]",10.95153530937132,,,,,,
15,"[2.148307694699649, 41.43631626185949]","[2.140075639009431, 41.42035876009706]",1.9025016211115766,1913.2,166.5,1968.8,1417.5,2052.2,419.7
16,"[2.1414747029498837, 41.32517865124628]","[2.1556711278633034, 41.44510555832157]",13.387755445012175,15657.6,1668.0,17479.5,12585.0,17899.5,3645.4
17,"[2.1279782268152574, 41.38244502988528]","[2.1641900729324783, 41.40833939052322]",4.173064236850139,5871.5,717.6,4567.6,3288.6,5196.3,1044.1
18,"[2.1024078029207565, 41.39259767818689]","[2.1678929801045825, 41.423104861413286]",6.429137301715807,8998.4,1325.1,7641.6,5501.8,8239.6,1684.4
19,"[2.13493998432006, 41.37821888376635]","[2.213993782624829, 41.4150710662033]",7.763629846838504,9698.6,1016.8,8618.5,6205.2,9171.8,1851.8
20,"[2.1980513512538127, 41.40680716423896]","[2.1831087040884927, 41.43834710962491]",3.7218165733198383,5559.1,623.2,4205.4,3027.8,4211.4,885.8
21,"[2.2092275722823125, 41.40027523877093]","[2.137447599292146, 41.402156496953815]",5.990604360692302,7805.9,907.2,7244.8,5216.1,7156.1,1456.7
22,"[2.168652837347515, 41.44223039975776]","[2.17747036448926, 41.45629326761736]",1.727800894108148,3234.5,653.8,2870.7,2066.9,3107.9,680.7
23,"[2.135548146542438, 41.43168630675249]","[2.1577662277012863, 41.37965389063148]",6.075233606686119,9939.4,1046.1,7561.0,5443.8,8768.0,1937.8
24,"[2.124106649732852, 41.41012364828555]","[2.1162992400952234, 41.38663378489917]",2.691912047599752,4301.9,562.0,3708.2,2669.8,4524.4,998.4
25,"[2.2166235625283672, 41.41583429772594]","[2.1572641222041904, 41.38131337940689]",6.264885033904331,7787.2,897.4,6783.5,4884.0,7281.7,1523.7
26,"[2.1736225287690853, 41.43701708377566]","[2.189377133940725, 41.40259198571361]",4.047037636938593,5540.6,723.5,4522.4,3256.0,5520.4,1129.1
27,"[2.1728035126561656, 41.396511014056834]","[2.204241275515911, 41.39748575595779]",2.624538147424054,3910.0,549.3,3593.1,2586.9,3873.1,853.0
28,"[2.1570476845254727, 41.40082523590077]","[2.142258616010642, 41.326563088328015]",8.349301544462557,11064.0,1322.5,11774.6,8477.6,12166.1,2482.3
29,"[2.184312345424793, 41.41308369889843]","[2.1551640509608463, 41.33545374285058]",8.968160637814044,,,,,,
30,"[2.209504391560054, 41.39758456469599]","[2.2028030298846795, 41.42707979279733]",3.3269909690709523,4548.8,480.6,4387.2,3158.7,4375.9,917.4
31,"[2.1727652702044304, 41.38346327543887]","[2.139037464729357, 41.40220081639438]",3.5009742983820336,4159.9,742.6,3960.5,2851.5,4268.4,906.6
32,"[2.148746462277247, 41.32419667448894]","[2.1461386769707995, 41.36167444589598]",4.17302057444934,,,6885.1,4957.2,6601.7,1390.9
33,"[2.1634259813527645, 41.39741393786003]","[2.112115347815525, 41.39050931849561]",4.348456760452968,5300.9,686.5,4763.8,3429.8,4735.3,956.5
34,"[2.1235329198485777, 41.406445777944334]","[2.146831265375749, 41.419978573901936]",2.457470955224407,3939.3,523.1,3186.1,2293.9,3386.1,782.6
35,"[2.126183356114129, 41.373791748940704]","[2.162326413646923, 41.38780654445525]",3.3944002448261146,4695.2,575.0,3898.9,2807.1,4076.5,820.7
36,"[2.171839961553604, 41.390959998341806]","[2.174865034514821, 41.448866264099706]",6.443821749921491,9861.8,1144.1,7751.1,5580.6,8950.1,1824.6
37,"[2.159324153606882, 41.34967352399333]","[2.172099508910672, 41.39425282224006]",5.070324905156213,7022.7,1063.9,6932.8,4991.5,7238.0,1552.8
38,"[2.215308275955445, 41.4104894421562]","[2.16028765859162, 41.414652481445565]",4.611593844503063,5971.8,684.8,5529.5,3981.1,5576.1,1115.2
39,"[2.172501991107777, 41.41940403432071]","[2.197291804548288, 41.39124421851357]",3.752226281317436,5130.1,602.1,4225.5,3042.3,4772.1,995.4
40,"[2.143714829189035, 41.35356031669622]","[2.15502915285403, 41.4239941799848]",7.888559559492119,10387.0,1249.9,9371.1,6747.0,10254.8,2100.4
41,"[2.1309276220584024, 41.42809915297051]","[2.179479389708544, 41.37973459497035]",6.731959572140925,8170.0,1208.4,7304.7,5259.3,8342.6,1751.3
42,"[2.137005200588143, 41.38975589805807]","[2.2166504182619087, 41.41183648920643]",7.082219492286136,8249.8,946.4,7719.4,5557.8,7692.1,1563.7
43,"[2.1937665029039404, 41.45212106117186]","[2.197235257859472, 41.391542798008885]",6.74220199617292,10566.8,994.2,7750.8,5580.5,8397.7,1687.2
44,"[2.157588917494381, 41.38809664173466]","[2.1490924760021515, 41.32765734650235]",6.757852503159857,,,10549.9,7595.8,10390.9,2133.7
45,"[2.1476806012159546, 41.34980764828647]","[2.1796707065062364, 41.41529104577572]",7.755157575610385,14357.6,1382.9,9798.2,7054.5,10878.3,2220.9
46,"[2.1906244331243645, 41.4452671636998]","[2.179828681094273, 41.44043815449274]",1.0478943832784806,1536.0,217.6,1250.0,900.0,1393.7,283.0
47,"[2.207555029830158, 41.40485602389024]","[2.16806919770769, 41.43669937551152]",4.835009240361625,6895.1,781.7,5238.2,3771.4,5032.5,1090.8
48,"[2.109301940902474, 41.41527829189271]","[2.206639711841539, 41.417626452337856]",8.120944371667713,14255.0,1740.6,10187.8,7335.0,12853.8,2633.4
49,"[2.1746351599366345, 41.43921844979342]","[2.108342643218353, 41.41490747173197]",6.152721457968037,11447.6,1171.1,7694.9,5540.2,8842.9,1926.8
50,"[2.1294503062531187, 41.39760478580938]","[2.173347664425601, 41.4304238982508]",5.168916960703145,6508.4,881.2,5938.6,4275.7,6514.9,1342.6
51,"[2.1045911657223204, 41.39182838129064]","[2.171248492124567, 41.399604793541165]",5.626992693796811,7185.8,935.3,6359.2,4578.5,6790.6,1358.1
