,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[7.596663586924735, 47.53460267784082]","[7.564282353102708, 47.55409499062636]",3.2565510458134312,4784.4,691.9,4035.3,2905.3,4501.7,944.0
1,"[7.592380157854892, 47.56643626792011]","[7.597924782815148, 47.575015325278216]",1.0406927315963759,1430.8,202.4,1286.1,926.0,1342.7,268.5
2,"[7.580477811891956, 47.55079930586901]","[7.5954881097806, 47.543731095075785]",1.3736534089364942,1775.3,262.4,1701.6,1225.1,1564.4,312.9
3,"[7.6096511892470335, 47.563313073557815]","[7.592595706555283, 47.58709495746461]",2.937664069868463,3213.9,420.9,3353.3,2414.3,3370.9,679.5
4,"[7.59125910442162, 47.53670912492862]","[7.614949275899562, 47.57429524293725]",4.541778302588744,6367.9,904.0,5809.9,4183.0,6493.2,1328.2
5,"[7.621988337427727, 47.54287999205754]","[7.587534943979753, 47.53095526994268]",2.9064803886047987,4521.7,618.9,3601.6,2593.1,3996.8,828.9
6,"[7.611022251206374, 47.558763622140354]","[7.596424634890906, 47.53579770863592]",2.778799239831675,5404.2,867.5,3714.1,2674.1,5712.1,1177.7
7,"[7.607570280378314, 47.54895273297896]","[7.602693783083523, 47.54827944586955]",0.37357254716216487,529.9,88.7,523.9,377.2,503.6,114.6
8,"[7.5829830317135665, 47.54950812505499]","[7.56750585524416, 47.55361636689254]",1.2481383490717628,1630.0,252.5,1410.4,1015.5,1363.9,301.5
9,"[7.599398539186129, 47.57852279973837]","[7.604838109481417, 47.54499852092684]",3.7500075434159195,6170.7,699.8,5864.3,4222.2,7683.3,1617.3
10,"[7.625312131559734, 47.564731067821846]","[7.601941600553757, 47.58476634307392]",2.8349078456487926,4314.1,500.0,4063.9,2926.0,4120.3,887.2
11,"[7.582045964054995, 47.56404828654895]","[7.600117845685731, 47.55395092695183]",1.7605563451047224,4153.3,505.2,1890.1,1360.8,2845.8,573.5
12,"[7.558750604238528, 47.56537672841786]","[7.609324673367666, 47.56203800215522]",3.8127404591956053,5460.5,536.2,4685.1,3373.2,4847.9,1001.3
13,"[7.611697375768196, 47.57562400668104]","[7.5899535673799745, 47.5712554977497]",1.701949100502578,1890.0,242.0,2006.7,1444.8,2201.0,498.5
14,"[7.58411756244619, 47.53107565407809]","[7.582437539578495, 47.56922020072819]",4.243353737220776,6133.8,954.0,5065.8,3647.3,5415.3,1096.2
