,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[7.35370227638046, 46.936208143413744]","[7.371015793953048, 46.94867494447602]",1.910306393111195,2839.7,348.3,3437.9,2475.3,3078.2,754.7
1,"[7.424316814382768, 46.95591454457531]","[7.4731418258522515, 46.94618650606583]",3.8606611841596874,6057.9,844.2,4671.2,3363.1,5250.2,1063.5
2,"[7.44281829634252, 46.95209989531942]","[7.326806875307631, 46.941333650658656]",8.887464954617538,12265.2,956.6,10595.4,7628.6,10772.4,2206.9
3,"[7.471009175344296, 46.93386821543168]","[7.444177165563959, 46.98024866911479]",5.544772956159221,9277.0,1668.6,7435.9,5353.8,8675.1,1766.3
4,"[7.472798070890644, 46.96368221982729]","[7.4684823458859055, 46.96607041920869]",0.42163268742970855,802.0,121.0,822.1,591.9,852.1,258.1
5,"[7.376509069716455, 46.94554944127652]","[7.438240601097624, 46.966387258929366]",5.226887451756043,6093.9,591.4,5933.2,4271.8,6173.3,1242.7
6,"[7.4374406348537345, 46.95498195643]","[7.442396504050189, 46.94664034194575]",1.000922695975139,2732.6,409.4,1329.3,957.1,1523.2,313.1
7,"[7.392873423545116, 46.94290194243472]","[7.424692942944795, 46.94071728039074]",2.4278360638157355,2771.6,406.7,2699.7,1943.7,3588.2,758.7
8,"[7.379185690044299, 46.94980909448616]","[7.436952149632728, 46.93482107246805]",4.691433585918971,6099.6,692.0,5249.5,3779.5,5973.7,1232.0
9,"[7.450012659026316, 46.97219084844829]","[7.390795541741975, 46.96198062946072]",4.6346883435025035,8940.2,752.8,5581.8,4018.9,6722.0,1392.7
10,"[7.373991104547072, 46.949363587149264]","[7.440024614893537, 46.9664179478493]",5.358368472569885,8123.8,1016.2,6219.1,4477.7,6656.4,1369.0
11,"[7.404476155448557, 46.93947729684629]","[7.410522462047519, 46.94504743415735]",0.7709186965793952,5692.6,574.6,1052.1,757.5,1078.0,235.1
12,"[7.415233200967799, 46.95163746801606]","[7.422791939084194, 46.94808482201661]",0.6965958990560557,2378.9,399.2,1330.7,958.1,2086.2,453.1
13,"[7.388457810772099, 46.93234052215546]","[7.454166640569121, 46.96419030483355]",6.1172681545652505,9268.4,775.4,7021.8,5055.6,8041.1,1613.9
14,"[7.435554147171939, 46.9350506713989]","[7.441941159895492, 46.96345617324661]",3.195539302977458,4308.9,534.6,3506.2,2524.4,3841.3,769.4
15,"[7.473496368696281, 46.94723432217443]","[7.4455033261043635, 46.9527695613963]",2.212179156385383,3769.3,631.9,2817.9,2028.9,3480.4,740.3
16,"[7.401260270459421, 46.9600628502988]","[7.47473677474495, 46.96670581358014]",5.62460444463003,9344.7,991.7,7580.9,5458.2,8129.3,1648.6
17,"[7.428059611772516, 46.95089489930008]","[7.415385669328752, 46.95464811469247]",1.048602201787188,4696.5,500.5,1590.9,1145.4,2015.9,461.0
18,"[7.39756103419827, 46.92563567277661]","[7.375890010433248, 46.93355262258454]",1.866255319648713,,,2501.7,1801.2,2836.7,586.9
19,"[7.331890001776247, 46.92632239007441]","[7.442736877947708, 46.94821036657038]",8.760769259348548,13148.8,1052.1,10024.6,7217.6,10211.2,2098.2
20,"[7.46124541123201, 46.94707504485788]","[7.459495973333368, 46.95335997566781]",0.7113567019998459,1176.0,165.3,813.2,585.5,997.4,211.6
21,"[7.451342203080991, 46.93642619698024]","[7.430677525214776, 46.96008935904543]",3.0633150621927023,4930.5,665.8,3678.4,2648.4,4226.3,887.9
22,"[7.381068027451112, 46.93810401661744]","[7.452336780811263, 46.95434923672836]",5.703687861567709,10415.0,799.6,6528.0,4700.0,6806.4,1376.3
23,"[7.441994960276615, 46.96592481318693]","[7.32995367923547, 46.93473953189996]",9.184300727463869,12905.2,988.3,11451.8,8245.2,11371.4,2296.1
24,"[7.392458541924893, 46.94580596821458]","[7.44318805615023, 46.93404607545075]",4.067318517383423,5306.1,771.7,4649.5,3347.6,5307.0,1068.4
25,"[7.467456084120736, 46.97292541085477]","[7.447485427049932, 46.9417756283982]",3.780804561251725,5706.5,716.2,4614.4,3322.3,4608.1,938.7
26,"[7.482100227287136, 46.94214439323867]","[7.456942808323768, 46.94968331206661]",2.085623501076245,3873.7,909.1,2683.6,1932.2,3187.2,730.3
27,"[7.444507555164379, 46.9703324320306]","[7.48125911503366, 46.94826257735753]",3.7150839019591135,7044.5,1141.6,4960.7,3571.6,6935.3,1416.2
28,"[7.40057170914388, 46.94844625860303]","[7.3940477185150035, 46.948788124004345]",0.49667768891657865,745.2,105.2,683.4,492.0,696.7,154.8
29,"[7.48270743746182, 46.96674125912725]","[7.378619902471091, 46.93747505847522]",8.54449838163234,12493.2,980.0,9937.8,7155.1,10106.3,2039.2
30,"[7.437244385237032, 46.96120945021868]","[7.39637906537991, 46.95809799554161]",3.12058948824117,5338.1,814.4,3594.8,2588.2,4399.5,915.7
31,"[7.459525020602312, 46.95754982835631]","[7.438042967037921, 46.95289639521146]",1.7105884995750196,3441.2,577.8,2155.8,1552.1,3591.9,722.2
32,"[7.401320281414703, 46.96006960387565]","[7.475901057001185, 46.94167657528051]",6.0191327017347875,11440.5,1144.3,7236.4,5210.1,7472.6,1514.9
33,"[7.322830967581472, 46.939979607936245]","[7.448652095802363, 46.96020396153847]",9.811716996252414,13247.8,1043.9,11656.1,8392.2,12107.9,2437.4
34,"[7.391056923841558, 46.93516011904457]","[7.3761119016421794, 46.94558832116473]",1.6223257731532121,8391.6,594.8,2246.1,1617.2,2314.5,472.9
35,"[7.431158759549259, 46.94746588850647]","[7.422604415167809, 46.95192212137092]",0.8167964409348483,886.7,109.6,942.4,678.5,1058.8,211.8
36,"[7.376084312671359, 46.948557983821786]","[7.425507394285762, 46.95631416683169]",3.8491866825301346,4772.3,490.0,4320.3,3110.5,4307.6,879.6
37,"[7.427666458175562, 46.94286304075474]","[7.445590665670443, 46.950893756660754]",1.6274872717458309,2788.5,581.6,2341.5,1685.8,2670.1,620.6
38,"[7.393949530499412, 46.95196502382127]","[7.362284131096912, 46.94868609029496]",2.431065674630968,3288.0,404.6,3123.8,2249.1,3170.8,667.9
39,"[7.478275635134683, 46.94417403744584]","[7.430722014807862, 46.96431351512749]",4.247590453493714,8708.1,1039.7,5356.4,3856.5,6586.2,1317.2
40,"[7.401166033239057, 46.96607538859461]","[7.460624519104113, 46.9645322362491]",4.515208669372491,11540.9,952.7,6201.5,4465.0,7364.7,1479.9
41,"[7.462263085698389, 46.96853378777108]","[7.387388624015097, 46.95891991558511]",5.781629025331956,10763.5,907.5,8079.2,5816.9,9786.2,1957.1
42,"[7.466286830283824, 46.96621961234411]","[7.311021610684664, 46.93611012564837]",12.251591787086275,16108.9,1231.3,15330.4,11037.7,14766.6,2976.7
43,"[7.450939336997894, 46.976784910057]","[7.46566202294748, 46.961670908620206]",2.0180203355704354,4554.4,624.0,3877.4,2791.7,5084.6,1023.7
44,"[7.480236492954509, 46.93982729110473]","[7.462410695833048, 46.95981554447937]",2.6020671029083107,4153.9,479.7,2984.6,2148.9,3057.6,627.2
45,"[7.397659406462101, 46.93697628123637]","[7.450313418164824, 46.94416349161077]",4.076548174777,8894.5,926.7,4796.0,3453.0,4950.6,1011.4
46,"[7.403382414602939, 46.94377939658062]","[7.420856351748767, 46.94381722704023]",1.326531711930646,2148.7,296.4,1601.3,1152.9,2208.8,442.9
47,"[7.453459911043124, 46.96171630311644]","[7.450330123893096, 46.97379163564543]",1.3635567176713626,4600.8,499.8,2430.7,1750.0,4802.0,964.3
48,"[7.445409944065593, 46.97425559505351]","[7.381009171435211, 46.935945129689244]",6.483729749234317,10849.5,866.9,7741.6,5573.8,8353.6,1684.4
49,"[7.430850153005921, 46.96623768591302]","[7.407304281054207, 46.943502378177534]",3.095929388809035,4366.9,609.2,3643.2,2623.1,4241.8,917.9
50,"[7.452641950436518, 46.94275806155204]","[7.472454740346625, 46.94413901151594]",1.51190568124243,1790.0,220.2,1750.1,1260.0,1979.3,403.0
51,"[7.45366153914873, 46.96577707921129]","[7.441899920525709, 46.94781090788563]",2.188112487488372,2527.1,320.9,2604.8,1875.4,2834.7,598.0
52,"[7.363129535435008, 46.94533648959902]","[7.476739486761095, 46.95126534929787]",8.649077415988979,12086.6,1307.7,9711.7,6992.3,11250.9,2318.9
