,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[11.364789651427436, 44.52410121703787]","[11.309528453048394, 44.438176624387154]",10.512236660874061,13082.6,1061.3,14213.8,10233.9,15119.5,3087.4
1,"[11.357828626391868, 44.49232285584347]","[11.347619527204987, 44.49795200748791]",1.0234678472751442,1751.2,234.3,1214.8,874.7,1259.5,257.1
2,"[11.380848792441958, 44.48584886559584]","[11.287863523812693, 44.45846056806314]",7.981982408367193,22364.3,1561.3,12091.5,8705.8,24412.5,5772.8
3,"[11.27328730172397, 44.53751663036635]","[11.30237678333153, 44.482068644004535]",6.582906368840114,10005.5,1170.9,9517.7,6852.7,10338.1,2095.1
4,"[11.379763024798187, 44.54471904364825]","[11.401712645460233, 44.49044185191904]",6.281246536472324,10083.8,848.6,9492.7,6834.7,10500.1,2103.6
5,"[11.37123160614637, 44.47965861286935]","[11.323274031563916, 44.47445097759336]",3.848813593703144,5553.6,688.1,5768.6,4153.4,5481.0,1232.4
6,"[11.330266164196503, 44.51848173773167]","[11.419159436953946, 44.498168454861656]",7.40214400543968,11008.9,771.8,9636.4,6938.1,9590.1,1976.4
7,"[11.403125387706996, 44.5167246825273]","[11.289521675199634, 44.50771100722817]",9.063589802128464,11922.0,960.6,11361.5,8180.2,11435.0,2434.2
8,"[11.338130959816098, 44.5230660972922]","[11.367033009855136, 44.50308653775107]",3.191789615955985,4354.4,559.0,4203.9,3026.8,4400.7,914.3
9,"[11.37188253038688, 44.50188430252814]","[11.2997646170398, 44.50102890547024]",5.720307302108192,8113.9,897.9,7045.4,5072.6,7041.1,1560.1
10,"[11.35181156531217, 44.527005719591855]","[11.382826407289803, 44.48525922491358]",5.2533229767050855,6704.9,388.8,7225.0,5201.9,7230.0,1451.3
11,"[11.384707014063562, 44.48394948889631]","[11.347382044304322, 44.53299334422637]",6.204863459566238,9156.3,632.1,8096.8,5829.6,8420.6,1684.1
12,"[11.375768936798316, 44.495886298366]","[11.343072906425656, 44.53737112415699]",5.291434919717893,7625.1,623.5,7165.8,5159.3,7844.2,1607.5
13,"[11.364418608961614, 44.49204442432588]","[11.399243365832689, 44.50901068772812]",3.3447455559875445,5200.3,572.2,4739.2,3412.1,4162.9,853.2
14,"[11.421301659007517, 44.5010976069746]","[11.370659356578235, 44.51115971892052]",4.168953826982062,6919.6,646.3,6157.8,4433.6,6160.5,1289.8
15,"[11.297053177773169, 44.48130873999819]","[11.27510536545209, 44.52895247360825]",5.576332854922885,9030.3,1125.7,8579.8,6177.4,9207.1,1905.5
16,"[11.33657487578416, 44.519159712624365]","[11.375550007207217, 44.45965378627902]",7.303417765929101,12033.1,904.1,8929.6,6429.2,8825.5,1772.2
17,"[11.323973016613664, 44.49312958370032]","[11.329224867103324, 44.506642964787936]",1.5592810890287396,2572.0,334.8,1923.2,1384.7,2224.8,461.1
18,"[11.361793601525212, 44.53297396667173]","[11.363168374345776, 44.549354692523096]",1.824709472583844,7976.3,760.9,2070.3,1490.6,2480.1,505.0
19,"[11.421051031715647, 44.512975600047554]","[11.314799208969356, 44.49366250497519]",8.695684769340014,11326.9,1244.8,9834.4,7080.7,10116.4,2121.4
20,"[11.3962919854974, 44.517186716471386]","[11.2952858828889, 44.527898117324966]",8.095772004124502,9410.1,665.4,13686.1,9853.9,13513.7,2921.2
21,"[11.36481041324192, 44.50493652384245]","[11.378814697915306, 44.46765867439984]",4.291398629031731,6529.0,639.6,5294.8,3812.2,5389.3,1083.2
22,"[11.329074136750071, 44.526761929023486]","[11.340430047204148, 44.52115338435329]",1.0951741381706313,3179.9,352.5,1763.1,1269.4,2012.0,420.9
23,"[11.354336050196446, 44.5445282308505]","[11.425632762323843, 44.51163773709656]",6.731896248521701,8605.3,913.4,11344.6,8168.0,8950.6,1902.7
24,"[11.2716825997886, 44.50037253630216]","[11.421125354501022, 44.50287271668869]",11.855208283201033,19430.3,1270.9,15234.4,10968.6,14790.0,3092.2
25,"[11.365760129640702, 44.52776509157865]","[11.390542845808138, 44.51244809699785]",2.6002638383797207,4255.4,418.6,4638.5,3339.7,5118.6,1047.3
26,"[11.335377815818363, 44.516957243031584]","[11.353936911914351, 44.54202445874069]",3.1517705360386206,3739.8,433.5,3789.8,2728.6,4302.1,1069.3
27,"[11.330455156864524, 44.50454652009381]","[11.263253617620396, 44.520143696276506]",5.6037501665231435,7145.6,658.2,7963.9,5733.9,7236.3,1498.1
28,"[11.314096991753186, 44.480487174195154]","[11.352305740957442, 44.53085273803614]",6.367537534536428,9321.8,1058.5,7928.2,5708.3,8711.9,1820.8
29,"[11.367348798767436, 44.46084404113063]","[11.272654731260497, 44.53347557081887]",11.02878314905991,20154.6,1455.7,14964.9,10774.6,15595.8,3181.1
30,"[11.276605014584089, 44.50502493777547]","[11.399434158752191, 44.514629089875626]",9.798287545351478,13920.0,963.8,11891.5,8561.7,11757.4,2528.0
31,"[11.31861288151169, 44.51402209398812]","[11.27052785936822, 44.53359964548527]",4.38984957082007,6931.0,736.5,6780.3,4881.8,6890.2,1394.0
32,"[11.393191016752615, 44.4843601179351]","[11.364499605439978, 44.49172126352793]",2.4186882202005413,3873.7,430.7,2849.1,2051.4,3057.5,613.2
33,"[11.342222541306596, 44.49416735353004]","[11.395464262679344, 44.50325696458434]",4.3419605921376485,6639.6,872.9,5618.2,4045.1,5910.6,1287.6
34,"[11.32752048608556, 44.49037430168415]","[11.299676076904769, 44.49519376167124]",2.272694559620568,2823.7,365.1,3044.5,2192.0,3576.5,715.3
35,"[11.339047401081451, 44.47713707787536]","[11.320538801281687, 44.52073987937213]",5.065760744692117,7756.3,1283.6,7089.2,5104.2,6766.8,1420.8
36,"[11.356165733417024, 44.509359839788345]","[11.293962143022044, 44.493886121699376]",5.224663440689808,6771.2,659.0,6658.8,4794.3,6284.3,1320.4
37,"[11.311304568228376, 44.49107201165194]","[11.366781910683702, 44.47370845715727]",4.806095586156466,6606.1,620.1,5702.7,4105.9,6171.3,1238.7
38,"[11.294006084309522, 44.50378065858383]","[11.33730093173465, 44.504697345987545]",3.4349700614701137,4375.5,433.2,4434.1,3192.5,4232.4,909.0
39,"[11.393419315131196, 44.46444024196827]","[11.29173260643072, 44.511881509419]",9.63819011465921,16667.4,1122.0,12616.8,9084.0,12779.7,2647.2
40,"[11.333667976536402, 44.49226892637286]","[11.38194921410271, 44.47106809512229]",4.497695638555169,6023.1,725.7,5522.4,3976.0,6389.3,1334.0
41,"[11.38860186960858, 44.50137193617471]","[11.26484788099398, 44.537901439062615]",10.619156869210322,14154.7,953.7,14254.4,10263.0,14632.4,3072.8
42,"[11.37216073963389, 44.464862978147686]","[11.324098615351287, 44.52757671062191]",7.947369295006887,12822.7,1070.4,10188.0,7335.2,10148.2,2053.2
43,"[11.333073033528215, 44.51128704060226]","[11.402311362181573, 44.5048136592248]",5.537504068285437,7198.4,817.1,7235.6,5209.5,7062.6,1416.9
44,"[11.36024393636178, 44.49029473604167]","[11.32392312358414, 44.507327935170494]",3.447526114989285,4664.3,585.7,4270.1,3074.4,4373.0,1051.3
45,"[11.353259591805166, 44.51624642670244]","[11.317302901777133, 44.50893010795596]",2.964900148809718,6083.4,737.9,4730.8,3406.1,5151.6,1065.4
46,"[11.41433167632094, 44.52565565804541]","[11.276486604682884, 44.51794274167607]",10.961980945317888,14882.4,926.2,14648.2,10546.5,14499.3,3027.1
47,"[11.359702571138364, 44.51674271607697]","[11.35008358131174, 44.44935002475985]",7.532479317752453,9904.1,819.2,9951.6,7165.1,10171.9,2069.7
48,"[11.33465370206353, 44.49661083327534]","[11.380383388782462, 44.47850615888069]",4.148753485241158,4495.1,591.2,5326.5,3835.0,4378.2,958.2
