,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[16.621959441039124, 49.18020500308874]","[16.689875738684457, 49.21064503960309]",5.98426938504554,7276.7,904.1,7055.4,5079.8,7740.1,1559.1
1,"[16.575428932443927, 49.23160341362232]","[16.59944863327357, 49.19266202701159]",4.668389830784898,5657.6,680.7,5192.6,3738.6,5795.6,1227.2
2,"[16.595596572621336, 49.17500567427717]","[16.4948110673632, 49.22077127134075]",8.917654489151412,12921.0,1202.9,11355.2,8175.6,12887.4,2692.1
3,"[16.51869864521219, 49.217751331786495]","[16.57496509822544, 49.22413607561614]",4.147636105770467,7343.1,845.5,5821.2,4191.2,6769.8,1410.4
4,"[16.629172002360928, 49.232292402320894]","[16.69043186353745, 49.172831081271774]",7.970248154414077,10450.3,1161.5,9137.6,6578.9,10714.1,2256.5
5,"[16.640201771429712, 49.20397470373144]","[16.57033176588548, 49.22949385335228]",5.814282332577137,8517.7,1063.3,7854.2,5654.9,8865.0,1868.1
6,"[16.534532525809166, 49.22817365000752]","[16.580384308203598, 49.216228650633006]",3.5850814177369736,4952.3,539.0,4760.4,3427.4,5012.1,1061.2
7,"[16.578009733443892, 49.231275368453474]","[16.617586944705657, 49.19197699652889]",5.230674008912572,6291.7,734.2,5790.0,4168.7,5922.6,1261.5
8,"[16.59003631647369, 49.18245522142064]","[16.583875837032227, 49.26304560461174]",8.972403077875521,11337.2,1404.7,10957.8,7889.5,12533.8,2574.2
9,"[16.55767778053289, 49.21037626687098]","[16.58103453880012, 49.2292815673168]",2.7012489786276848,4377.7,496.3,3545.8,2552.9,4175.2,839.6
10,"[16.684040893494995, 49.20770152562056]","[16.565814538648254, 49.16737240501023]",9.691990688408277,19653.0,1272.3,11070.4,7970.6,11406.7,2386.0
11,"[16.623525220362776, 49.25886440700751]","[16.57727406223954, 49.21275577240475]",6.128868278906485,8090.2,808.4,7722.2,5559.9,8235.6,1695.9
12,"[16.600833046725082, 49.18423953431819]","[16.612542554265133, 49.16644320634273]",2.1541675825770215,4340.9,587.8,2952.7,2125.9,3613.4,744.7
13,"[16.6684947826568, 49.14777366841519]","[16.69348419842101, 49.22074898358253]",8.315261365606764,12133.4,1210.4,10383.5,7476.0,9513.8,1929.0
14,"[16.49568140241211, 49.21970025676194]","[16.60910778062773, 49.19729233564207]",8.608296650900439,13402.0,1426.4,10248.8,7379.0,11027.6,2299.5
15,"[16.62734785622978, 49.19608860308733]","[16.465499433445505, 49.26839537829694]",14.238950689206384,23271.2,2055.0,18510.2,13327.2,23394.7,5457.8
16,"[16.57666833839984, 49.16625457515103]","[16.47430058476081, 49.21740837233197]",9.36440324811221,12141.0,1340.5,11903.4,8570.3,11821.7,2634.0
17,"[16.454636611278737, 49.23368438514802]","[16.634452812982033, 49.19605831095887]",13.714725217293005,19507.3,2013.9,15780.3,11361.6,17067.6,3613.0
18,"[16.712999931533698, 49.20751366837992]","[16.571311213819943, 49.23586222254446]",10.762156678404853,15282.3,1881.9,13624.4,9809.4,15644.6,3201.9
19,"[16.569224374848858, 49.1814181297421]","[16.50436874083752, 49.22008692204667]",6.379058165399893,10065.4,930.0,8098.3,5830.7,9693.1,2088.5
20,"[16.584772543633864, 49.23865147941149]","[16.58571954656833, 49.20572399944133]",3.662014606937,5471.3,847.7,4555.6,3280.0,4789.7,998.4
21,"[16.592774559018373, 49.22872121288343]","[16.624033330257273, 49.226648735202446]",2.281566700159953,3568.8,501.9,2902.2,2089.5,3144.3,736.2
22,"[16.56850806892522, 49.18147663189105]","[16.481217269551628, 49.230959790030646]",8.395807592796835,14465.3,1355.5,10610.3,7639.3,11493.3,2443.3
23,"[16.609483389815136, 49.26540139391039]","[16.6013117146943, 49.22477570378688]",4.556150767677524,6828.3,915.5,5922.1,4263.9,6245.6,1684.0
24,"[16.63512548022447, 49.18596954210254]","[16.481562162319136, 49.23744525758366]",12.537630846968176,15631.4,1807.8,14527.6,10459.7,16316.2,3431.3
25,"[16.528504497902226, 49.23474819392475]","[16.67805881127288, 49.17259935376615]",12.876840909084072,24153.4,1681.2,14697.8,10582.3,18439.9,3817.1
26,"[16.5739566555096, 49.18203887170817]","[16.561562071413505, 49.17043650935263]",1.5735934494973522,3355.7,541.4,2134.3,1536.7,2732.6,613.6
27,"[16.57258586117459, 49.219559983731806]","[16.63484069364532, 49.251803932818575]",5.769326151545108,8848.3,998.2,7044.6,5072.1,7827.1,1628.7
28,"[16.591465699715492, 49.21074631304054]","[16.65056556512508, 49.22777354215689]",4.691375798470992,6187.8,777.1,5559.8,4003.0,8018.7,1806.3
29,"[16.576407078713512, 49.19620712326092]","[16.60094484599253, 49.15793785259586]",4.614050814604202,10289.5,779.7,5884.0,4236.4,8925.7,1845.8
30,"[16.617691764431225, 49.18075697316829]","[16.579707043525538, 49.18798561397341]",2.875361817178436,4752.6,704.3,3902.5,2809.8,4944.2,1073.5
31,"[16.662534517343918, 49.18863897410268]","[16.624076605276247, 49.23684154133577]",6.044176397854859,8131.6,874.6,6740.9,4853.3,8018.6,1657.2
32,"[16.646186985251934, 49.19355169003014]","[16.58420963505286, 49.21978211571616]",5.364647991111329,7321.8,877.8,6799.9,4895.8,6969.3,1393.8
33,"[16.559695002925345, 49.22494712037874]","[16.610606101518165, 49.192331060379175]",5.179907171139075,6442.5,852.5,5897.0,4245.7,6555.7,1407.5
34,"[16.657406428642414, 49.23220155247061]","[16.56371213306954, 49.248156468517024]",7.029574143162369,11799.2,1550.8,8773.7,6317.0,10032.1,2288.2
35,"[16.62712796094017, 49.245647567012014]","[16.57710845078095, 49.23780902071524]",3.734345029599264,6674.1,780.2,4889.4,3520.3,5472.8,1244.7
36,"[16.591266382422198, 49.21908961298567]","[16.593111252303533, 49.19156554129743]",3.063470440827279,3943.0,456.1,3613.8,2601.9,3678.1,790.8
37,"[16.68051241171122, 49.2121862202943]","[16.591838173171976, 49.22351522232938]",6.5625249656876035,9623.7,1154.6,8353.1,6014.1,10201.5,2229.4
38,"[16.498563901096045, 49.1918432981745]","[16.692302967305352, 49.20254694358447]",14.127528414524807,24136.6,1605.1,18385.5,13237.4,19682.0,4103.0
39,"[16.679923415142888, 49.21441834073601]","[16.567609568424523, 49.1775420144325]",9.133268776202078,19577.9,1223.2,10369.0,7465.6,11958.8,2432.8
40,"[16.54710151072567, 49.22459494769902]","[16.560337276226203, 49.18778024738827]",4.205021598244186,7904.3,875.2,5830.7,4198.1,6262.4,1410.4
41,"[16.68921828485907, 49.184542537551785]","[16.61147953567486, 49.19097118798653]",5.694709693380301,6031.3,625.4,7124.7,5129.8,7507.6,1623.5
42,"[16.534879554837403, 49.198601673278]","[16.626905379833335, 49.23615064274307]",7.88088037919939,12088.2,1203.6,9256.9,6664.9,11227.7,2366.2
43,"[16.63690905597093, 49.189283064901566]","[16.64886984968912, 49.207467641867126]",2.2008838012324716,3312.1,371.5,2985.0,2149.2,3588.9,829.2
44,"[16.46780376303591, 49.25215776815839]","[16.60484100130291, 49.26299477584011]",10.017862714017086,20287.4,2344.5,14165.7,10199.2,16670.2,3662.9
45,"[16.658835238380632, 49.2093758328508]","[16.59391165335937, 49.162998865919455]",6.989809369520544,9639.7,1125.2,8793.9,6331.5,10496.2,2233.8
46,"[16.615608215069305, 49.17964019440868]","[16.634940496204653, 49.2175326607278]",4.441424254372931,6981.4,947.0,5411.6,3896.3,6495.2,1545.8
47,"[16.57850571254317, 49.26472820551657]","[16.58634380371132, 49.19637121110488]",7.622229123338239,9948.7,1036.7,9516.4,6851.7,10348.6,2117.5
48,"[16.604544743046066, 49.21168363305245]","[16.526631811390125, 49.22738705798941]",5.921972081784621,7717.5,890.0,7075.0,5093.9,7361.9,1617.6
49,"[16.55855705001281, 49.22506390813552]","[16.640186196307173, 49.21109554190621]",6.128842958646822,9260.2,1087.6,7820.8,5630.8,9221.0,1852.1
50,"[16.629727479416314, 49.14045735538571]","[16.681270960804763, 49.17267156955631]",5.184667430644298,9929.3,783.8,6984.2,5028.6,6998.8,1466.0
51,"[16.682610056577502, 49.20673704601664]","[16.65572268249817, 49.12837125414986]",8.930457418244627,11493.5,1235.2,11598.7,8351.0,11308.0,2318.5
52,"[16.690529736542242, 49.2144374444256]","[16.581025983471434, 49.21041592759044]",7.9667800231365415,11571.1,1332.3,9841.9,7086.0,11666.6,2496.5
53,"[16.56278756347621, 49.1896068149752]","[16.513992782911156, 49.24398457511457]",7.008640552159771,10720.1,1068.2,8691.9,6258.1,8972.6,1869.6
54,"[16.503526101133033, 49.22500790640696]","[16.59966901204386, 49.2412848689043]",7.211591171551513,12691.4,1428.0,9085.0,6541.1,10566.0,2274.2
55,"[16.571889837924367, 49.21828121272497]","[16.486077681972137, 49.20695961427735]",6.359124027213725,10769.2,1001.1,7974.2,5741.4,8759.7,1820.2
56,"[16.648374524633358, 49.186239500432826]","[16.60013021483035, 49.27115185435849]",10.070789764163967,13067.4,1442.2,13011.7,9368.3,14145.1,3106.0
57,"[16.6047216235629, 49.21321575487227]","[16.591976388049822, 49.19018302130287]",2.7233851354742735,3778.1,475.5,3397.1,2445.9,3530.0,828.7
58,"[16.588487085225893, 49.23070925583024]","[16.621466642842282, 49.19126195010069]",4.997918743384233,5594.6,754.6,5485.1,3949.2,5859.2,1221.9
59,"[16.656963575999722, 49.204402941076026]","[16.662367151735264, 49.14770215860621]",6.317063351307984,9135.4,978.1,8616.8,6204.0,9369.6,2046.9
60,"[16.616536513141362, 49.25430814563149]","[16.57178909663585, 49.24787110859265]",3.325791170110312,8419.7,1002.9,4274.5,3077.6,6298.4,1495.7
61,"[16.55074354562076, 49.17407152639077]","[16.50265965663698, 49.24014259519496]",8.13492206938864,10943.0,874.2,10125.7,7290.4,13588.4,2851.1
62,"[16.700401045115836, 49.1357657401844]","[16.58949268529271, 49.238641975428266]",13.993828516770163,18191.1,1779.7,17405.9,12532.1,17617.7,3722.3
63,"[16.64730689486522, 49.15480042941824]","[16.538974756564205, 49.1954252667337]",9.078669406277909,14411.1,964.1,10799.5,7775.5,12913.4,2591.1
64,"[16.556348944417323, 49.16389815120949]","[16.561785560557585, 49.17180763910351]",0.9642333321302837,1445.5,269.9,1197.5,862.2,1657.4,372.9
65,"[16.70233674723434, 49.22183366621503]","[16.550492023870046, 49.1766546830058]",12.12266474867068,20385.3,1349.2,13999.4,10079.4,14570.2,3018.4
66,"[16.66934626042994, 49.14086561789111]","[16.606345086434334, 49.156306006532496]",4.893323235491923,9497.1,906.6,7939.1,5716.1,8166.4,1641.7
67,"[16.4449498699481, 49.24009430174687]","[16.655763833678037, 49.18002268028657]",16.70737527050655,31381.0,1483.3,19610.5,14119.3,21688.5,4724.3
68,"[16.60824281463344, 49.25566801450281]","[16.567982603994537, 49.16239515606188]",10.77594331131217,,,14573.9,10493.0,16955.4,3610.3
69,"[16.61398786065321, 49.21077369631893]","[16.58751445959025, 49.18527341920554]",3.426388295691109,5349.1,636.5,4406.7,3172.8,5044.3,1090.8
70,"[16.699766186702178, 49.20199828131246]","[16.69688793630406, 49.21878975702592]",1.878796919536554,2924.9,307.7,2444.6,1760.1,2495.4,574.0
71,"[16.66027724638488, 49.20888622533118]","[16.525052100882128, 49.21701005304898]",9.863937094278631,13578.2,1487.1,11986.4,8630.1,13925.1,2851.2
72,"[16.61999769055943, 49.187515126715205]","[16.596775801920725, 49.24568280183016]",6.6842522899111705,10284.4,1182.1,7806.2,5620.4,8205.4,1876.8
73,"[16.687875836408907, 49.20863599616375]","[16.53317053664982, 49.18829270661486]",11.466126750702854,21640.3,1366.3,13480.7,9706.0,13709.8,2827.0
74,"[16.646384942980205, 49.22388663101429]","[16.680392129456678, 49.202152090718045]",3.4558247614902844,6187.8,779.5,4648.9,3347.2,6182.5,1419.2
75,"[16.62868371167728, 49.21888866134108]","[16.466655671514697, 49.25975385230712]",12.610266013350675,16454.1,1422.4,15710.0,11311.1,16710.5,3479.4
76,"[16.58335167727873, 49.23076588593924]","[16.64972769679932, 49.186894674490645]",6.859108725096444,8300.0,1010.9,8288.3,5967.5,8656.1,1811.1
77,"[16.4687994416598, 49.25628994783015]","[16.51863181352266, 49.20028071743217]",7.20288423841269,10161.6,1028.1,9735.2,7009.3,10872.8,2212.7
78,"[16.49997554828824, 49.18790306314274]","[16.664203893736097, 49.20531158956044]",12.089147753354816,23786.6,1701.4,15456.3,11128.4,16775.7,3740.1
79,"[16.598141618161954, 49.16592834367108]","[16.585192602182147, 49.20284191048604]",4.211114587995899,6419.6,791.4,4838.7,3483.8,6122.3,1560.2
80,"[16.543805095300122, 49.1668051152101]","[16.474450573096124, 49.21236142393999]",7.14589269086539,11652.7,955.2,9755.4,7023.9,9541.0,1908.7
81,"[16.638637491533505, 49.18783460575205]","[16.610837029493034, 49.19058624703118]",2.043377568433632,3466.5,511.5,2350.5,1692.4,3029.4,614.0
82,"[16.643710738847968, 49.204934457066415]","[16.598714817284034, 49.20654927458337]",3.2738194410429213,5337.1,641.1,4362.9,3141.2,4818.5,1008.5
83,"[16.69298842906703, 49.14872395621898]","[16.56820283212936, 49.26724775552999]",15.995880549620853,,,19178.8,13808.5,19880.3,4083.1
84,"[16.617332926816662, 49.2090330222112]","[16.613404444496787, 49.22118727724663]",1.3812859544806628,3686.1,407.7,2538.9,1828.0,3314.5,701.1
85,"[16.67878047750767, 49.163468815642965]","[16.607343845328117, 49.18276786127581]",5.619111010681488,10807.6,706.6,8078.0,5816.1,10441.8,2183.8
86,"[16.588249143930106, 49.272128679509045]","[16.440542154536324, 49.21265403810545]",12.598126815669255,27234.0,2082.7,17391.9,12522.1,19767.5,4228.6
87,"[16.55395519890094, 49.205993832487415]","[16.586486174764072, 49.19707128100609]",2.563323737998891,4773.9,596.4,3894.8,2804.2,4767.6,1029.1
88,"[16.49741848578318, 49.20643694389791]","[16.59127795794035, 49.19558383462695]",6.925372726750588,8978.7,842.3,8642.1,6222.3,8572.5,1777.6
89,"[16.651927959940323, 49.20818115012465]","[16.611985835251804, 49.21670268493874]",3.0521579429848513,4469.1,555.2,3936.4,2834.2,4954.1,1124.0
90,"[16.62666604417685, 49.17009119420721]","[16.601985222680273, 49.26290141619271]",10.474563433054055,12373.3,1538.0,12100.7,8712.4,13705.5,3031.7
91,"[16.497149600041105, 49.220173594325466]","[16.506610819719704, 49.21705122293306]",0.7698953078547374,1293.1,162.1,1081.6,778.7,1330.7,314.8
92,"[16.61457612250568, 49.2069552665234]","[16.61431040620361, 49.21103741405143]",0.4543243312408361,1181.6,229.3,924.4,665.5,1178.7,250.0
93,"[16.48693577165178, 49.20471129389023]","[16.593797345681075, 49.2733847860667]",10.88572467225337,17936.5,1747.9,14136.6,10178.2,14711.1,3081.1
