,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[4.363559050251339, 50.89591766546832]","[4.348278655441174, 50.85540511287775]",4.6306182801975675,5934.9,650.7,5789.4,4168.3,6141.3,1281.2
1,"[4.36066100146858, 50.8545961248832]","[4.357587085756742, 50.84147940619434]",1.474392066244152,1920.6,332.8,1806.4,1300.6,2094.5,508.2
2,"[4.390305344305353, 50.895707838755605]","[4.3526037512166535, 50.83744466898285]",6.998019923435502,9811.9,1169.2,8068.0,5808.8,8288.7,1759.7
3,"[4.361595231376231, 50.85130464334377]","[4.38561805466828, 50.806750086341154]",5.233667141547667,7387.4,772.8,6312.2,4544.7,6076.6,1255.5
4,"[4.371676871814369, 50.84300905534496]","[4.3344298361068825, 50.89764400110796]",6.613526452642143,8742.3,1029.5,7912.8,5697.1,8134.2,1756.1
5,"[4.356922576980987, 50.86284411159583]","[4.387163424728048, 50.89127523439189]",3.807407252836985,4816.2,549.0,4401.1,3168.7,4437.2,926.8
6,"[4.356282875383106, 50.8589171609687]","[4.386320449168647, 50.85092002788721]",2.288355913792311,3135.6,484.7,2709.0,1950.4,2658.5,578.7
7,"[4.347972218304128, 50.87284072839774]","[4.354509340688807, 50.88428253385317]",1.352415971080897,2576.7,356.7,1869.8,1346.3,1924.7,384.9
8,"[4.385494488703278, 50.89961487863232]","[4.351250953086492, 50.86348185428467]",4.681262626297261,5953.7,791.7,5657.9,4073.6,5436.2,1134.0
9,"[4.349485682786523, 50.85417919913726]","[4.349824163394421, 50.84849650107669]",0.6323338095284188,717.5,195.1,929.2,669.0,996.5,271.8
10,"[4.380245189180818, 50.79987267418043]","[4.348608626295305, 50.84870317569911]",5.86684873951585,8567.8,1040.4,6873.8,4949.0,7673.8,1671.3
11,"[4.3803106903385896, 50.83742118349703]","[4.352461617449569, 50.85124031909106]",2.4868692914782864,3073.9,503.4,2999.9,2159.9,3103.2,675.6
12,"[4.3602874209701445, 50.88747002939352]","[4.4009012940649175, 50.89657147579365]",3.0230867080824426,5246.7,428.2,3868.7,2785.4,4485.6,1036.3
13,"[4.369701959467927, 50.891339322792064]","[4.339701840318771, 50.89047868053828]",2.1064325892272993,8454.8,635.1,2845.3,2048.6,2873.8,712.0
14,"[4.359438339135491, 50.895744886858665]","[4.387482111412347, 50.8450340264821]",5.972319192571438,7689.6,952.5,7108.1,5117.7,7215.9,1449.7
15,"[4.365642885539498, 50.85296284519062]","[4.378951279026104, 50.89042821041743]",4.269344249135405,5975.9,752.5,4902.1,3529.5,4684.5,964.0
16,"[4.376609379735034, 50.81015515963781]","[4.354681632899211, 50.88314941400399]",8.26130328637781,10896.6,1197.8,9467.7,6816.6,9402.8,1919.4
17,"[4.353400602370972, 50.86177180295367]","[4.35975645704285, 50.86593321575632]",0.6427244655346878,1377.2,250.3,708.6,510.2,868.7,194.9
18,"[4.385605815257646, 50.80661122351306]","[4.358518357275077, 50.89578589292484]",10.096460087758867,12488.0,1299.6,12140.3,8740.8,12140.1,2427.9
19,"[4.332166732767522, 50.89526267457967]","[4.3875340152895, 50.84822527476701]",6.5154150245369555,11629.8,1063.8,7492.5,5394.5,8171.1,1722.2
20,"[4.38790228799037, 50.90137746520994]","[4.329423073298993, 50.892330752449176]",4.2228699009413315,8721.6,735.7,5231.1,3766.3,5961.7,1354.6
21,"[4.376170935349608, 50.84854137727132]","[4.360836045477128, 50.854101080775365]",1.2414095763091455,1632.1,265.6,1576.4,1135.0,1482.0,305.5
22,"[4.387163226327468, 50.84706453313169]","[4.3660639086792505, 50.840724089572994]",1.6406423669534989,2647.9,414.1,2116.0,1523.5,2381.1,506.6
23,"[4.356858002442806, 50.8541926338986]","[4.357874488482734, 50.8456678305301]",0.9505971702972287,1670.7,309.7,1246.1,897.1,1406.7,316.9
24,"[4.3606001929654, 50.87326651658349]","[4.378023839360616, 50.84302795696991]",3.5778831549506562,5328.3,686.2,4332.5,3119.4,4350.5,921.2
25,"[4.3694205898658485, 50.879872730405495]","[4.330480199665266, 50.887193175543935]",2.8504712920949733,5213.9,687.9,3786.1,2725.9,4539.2,958.1
26,"[4.355061689703226, 50.84669631775632]","[4.363532460478504, 50.885467529437975]",4.351955090673646,,,,,,
27,"[4.396114653936376, 50.91046530319442]","[4.341839581174093, 50.88154102607094]",4.983351684713555,9674.9,764.1,6458.6,4650.1,6629.1,1474.6
28,"[4.359411838070013, 50.90103274418672]","[4.381052892800516, 50.81307512227906]",9.897702704134128,13324.0,1463.0,11577.6,8335.7,12214.7,2497.1
29,"[4.362741996860216, 50.90064444856409]","[4.401098838589063, 50.8860279938794]",3.1431006712180283,13464.2,1205.0,6198.7,4463.0,6602.9,1388.9
30,"[4.348054633379844, 50.8613596588851]","[4.357287079068427, 50.8610888072843]",0.6486910323654147,1468.7,228.8,1286.8,926.5,1551.3,335.3
31,"[4.378385258245285, 50.84339530613609]","[4.360586451595231, 50.87580919620384]",3.814627433558416,5375.9,686.0,4579.4,3297.1,4422.4,891.6
32,"[4.3637528808878825, 50.8394662263031]","[4.362046258240688, 50.88279838512743]",4.819804860652463,6020.3,714.5,5605.3,4035.7,5517.8,1190.5
33,"[4.346535240035078, 50.85743893819699]","[4.333259664009185, 50.89257864387349]",4.016853171726813,5353.2,639.9,4844.0,3487.6,4716.3,955.6
34,"[4.380706510861296, 50.89722742256777]","[4.339075586002238, 50.89044943906006]",3.015578766827689,9799.3,843.9,3448.3,2482.7,3404.6,765.8
35,"[4.375318144154623, 50.81158709292209]","[4.34616747356996, 50.90030718672734]",10.075198390445669,13998.4,1472.6,11479.9,8265.4,12395.0,2520.6
36,"[4.403793671163909, 50.91054306451961]","[4.377975673575171, 50.87981789046194]",3.866675156442013,5752.3,568.8,4974.2,3581.4,5381.0,1120.3
37,"[4.384843708929632, 50.80793496048447]","[4.384459728271162, 50.89169938886055]",9.314218477299045,12446.4,1287.9,10815.2,7786.8,11079.4,2223.3
