,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[28.64273871989556, 44.15698767515694]","[28.650285668982125, 44.19357678048971]",4.112800417315801,7329.5,705.6,6758.6,4866.2,7012.2,1458.9
1,"[28.64643386493872, 44.210445819214456]","[28.58422182528834, 44.16878332653512]",6.7871420813523775,9766.4,908.6,9415.8,6779.3,10121.8,2024.3
2,"[28.63984492469944, 44.21680703377625]","[28.642076081399, 44.17085772722285]",5.112425233463487,6665.5,636.7,6973.5,5020.9,6808.9,1376.6
3,"[28.663121979489887, 44.15768548342329]","[28.61083171436772, 44.1443515155921]",4.427512980549042,8614.2,988.9,8473.3,6100.8,8699.4,1779.1
4,"[28.6197449053726, 44.17145328836867]","[28.6015564442711, 44.16440562715096]",1.6488494344206066,2121.6,277.5,2190.4,1577.1,1980.5,439.1
5,"[28.62665636828796, 44.18818676106838]","[28.6290495572721, 44.20896685485168]",2.3185037481441344,3147.8,368.2,3226.9,2323.3,3346.9,682.9
6,"[28.642278332891998, 44.214964574077456]","[28.617928132511835, 44.2111567641797]",1.986341847123174,3015.0,418.9,2715.5,1955.1,2849.4,622.4
7,"[28.63430197875899, 44.159099516878285]","[28.600107633510827, 44.14655655336025]",3.0638965104014324,4899.1,529.3,4395.5,3164.7,4289.0,941.7
8,"[28.60444124419761, 44.13845057592004]","[28.63216197012777, 44.18683393609052]",5.816672012740797,7636.2,752.8,7884.1,5676.5,7869.8,1601.3
9,"[28.615183047755725, 44.19576222540291]","[28.614171094199484, 44.17769834838178]",2.0102314826483743,2476.2,322.9,2390.3,1721.0,2479.2,510.9
10,"[28.60562338900276, 44.14962762787823]","[28.628210174553097, 44.12851259824573]",2.9599381211826907,,,,,,
11,"[28.64389942483396, 44.20477190772575]","[28.588558779104755, 44.176628828693424]",5.40935531962899,8232.8,808.1,7996.8,5757.6,9218.5,1869.3
12,"[28.61948053676815, 44.18315802864159]","[28.65281216961009, 44.20245800408581]",3.4157621606452118,5240.5,474.6,4389.6,3160.5,7052.0,1494.3
13,"[28.641034346349223, 44.21366429084711]","[28.64155103249873, 44.165320938092805]",5.37569341533032,7085.0,753.3,7808.6,5622.1,7852.2,1591.7
14,"[28.607938739501847, 44.1600667710694]","[28.61410008632907, 44.17357886908045]",1.580806483247468,2113.6,243.4,2301.5,1657.0,2381.8,520.8
15,"[28.64715803821704, 44.17906564865321]","[28.649580782052396, 44.19453122840639]",1.7305099580832493,2176.1,234.2,2571.8,1851.7,2182.3,441.3
16,"[28.653524435034488, 44.20095522121096]","[28.642086532708472, 44.17780305250989]",2.7311574448041296,3371.6,348.9,3622.8,2608.4,3519.0,749.9
17,"[28.647482682009827, 44.18695324483577]","[28.60654335587453, 44.15756158555429]",4.619735971854244,6738.7,780.2,6314.7,4546.6,6380.1,1370.1
18,"[28.648230094373467, 44.17405786518375]","[28.65722391593136, 44.17321606213157]",0.7233614445178099,1443.6,147.7,965.4,695.1,980.5,272.6
19,"[28.60026967549217, 44.18146742590088]","[28.607350692994597, 44.1996301190614]",2.0970257699442465,3507.7,498.7,4902.7,3529.9,3560.4,733.9
20,"[28.621365838536192, 44.17279208160454]","[28.610677570664404, 44.15997594201284]",1.6606240535602483,2672.5,354.8,2732.4,1967.3,2787.9,600.5
21,"[28.63988906763251, 44.19327693539524]","[28.60896559147322, 44.17202722585437]",3.4151878178537918,4143.0,415.2,4738.6,3411.8,4571.4,936.2
22,"[28.6257583799636, 44.21156075154831]","[28.624753010642923, 44.195795240511046]",1.7548756699934631,2325.4,285.9,2548.4,1834.8,3083.6,652.4
23,"[28.62446374482, 44.19615625666949]","[28.611320481567216, 44.16887531468905]",3.2094462595127977,3698.8,442.6,4142.9,2982.8,4282.9,856.6
24,"[28.640030609216712, 44.17221356714758]","[28.61291889852939, 44.13439896518528]",4.7285008217154605,5746.1,682.1,5822.5,4192.2,5885.1,1220.7
25,"[28.62966462398074, 44.19966948593894]","[28.571810712483124, 44.16838076913957]",5.778052449277491,8606.9,828.3,8243.6,5935.3,7508.2,1546.7
26,"[28.644819144048498, 44.1436455244776]","[28.62557432305472, 44.146091899402926]",1.5594790657455861,4491.4,579.6,3169.0,2281.6,4162.9,942.1
27,"[28.644620967654223, 44.19342297982169]","[28.623977582597643, 44.1942886872668]",1.6486094325511274,2362.4,219.5,2486.1,1790.0,2329.0,465.8
28,"[28.592548836360223, 44.168182680658354]","[28.582207224409093, 44.15710580323236]",1.482418453480715,3423.7,411.2,3527.6,2539.8,3586.3,758.0
29,"[28.633318036079142, 44.17950013776501]","[28.62830044290516, 44.20052189479744]",2.371499373260391,3315.2,351.7,3157.6,2273.4,3287.5,671.1
30,"[28.62052555538532, 44.18284791662192]","[28.632227704157483, 44.15918835251816]",2.791471401655449,3559.0,390.5,3740.7,2693.2,4613.4,945.8
31,"[28.64690980302948, 44.2209694302162]","[28.6492512351411, 44.20277964545903]",2.0312023947421625,2804.1,410.2,3161.9,2276.5,2939.7,681.8
32,"[28.60558823084012, 44.18046177754287]","[28.61873022756437, 44.171387736092434]",1.4548189897076431,2428.4,225.5,2303.4,1658.4,2108.9,448.0
33,"[28.60890632261288, 44.14989457137158]","[28.635028473752897, 44.17359161997543]",3.3593297948770897,4398.1,535.2,5290.5,3809.1,4866.6,992.8
34,"[28.610020602867905, 44.16964881090729]","[28.604654412744058, 44.19648550437658]",3.014626809619711,3815.7,455.0,3918.2,2821.1,3932.4,797.8
35,"[28.65189791558772, 44.174948345613416]","[28.57580181932357, 44.16846511313652]",6.111716705399985,9440.5,929.1,8018.6,5773.3,7642.4,1578.1
36,"[28.63650781586804, 44.17837781933636]","[28.629093295117872, 44.140059145753966]",4.301698882626557,4839.8,474.5,5255.8,3784.1,5067.8,1013.5
37,"[28.640747680165507, 44.19374122935045]","[28.65863230342385, 44.16063913024764]",3.9474537439532433,4848.9,596.6,4932.0,3551.0,5543.3,1170.7
