,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[12.57300622564721, 55.68425196121847]","[12.62868626492269, 55.66085967197817]",4.3538282590757165,5172.2,630.7,5120.7,3686.9,5217.3,1045.5
1,"[12.575881729790863, 55.67081771989976]","[12.562333647547115, 55.67189179489285]",0.8579154892725053,1547.6,209.9,1182.1,851.1,1418.9,285.9
2,"[12.57333350687887, 55.7235018104244]","[12.585859762663052, 55.71462937193943]",1.2604778684624707,1843.8,203.3,1539.8,1108.7,1661.2,332.2
3,"[12.514672831718087, 55.69763667324053]","[12.509915790298331, 55.706307513925246]",1.0091758678276017,1309.8,168.2,1266.6,911.9,1320.3,264.0
4,"[12.513135034962986, 55.71773234498586]","[12.571563982664614, 55.63053042903606]",10.365457682988573,12966.2,1342.4,13052.8,9397.8,13672.4,2763.1
5,"[12.608972035972611, 55.665587579374005]","[12.620252865391109, 55.680885877623616]",1.8422997971812998,2552.8,233.0,2562.5,1845.0,2538.7,510.9
6,"[12.501845901556202, 55.66148756719155]","[12.56251529010332, 55.713942429123655]",6.962897611466292,8187.4,933.7,8427.9,6068.0,8385.4,1677.0
7,"[12.557528361079807, 55.6654445644731]","[12.533543552365629, 55.64289074205758]",2.9246326063462114,4077.8,504.8,3658.6,2634.2,3757.3,751.4
8,"[12.55457382328701, 55.66597112730696]","[12.594473431435286, 55.67445318641076]",2.6739256245794905,4565.5,682.2,3276.2,2358.8,3358.7,701.1
9,"[12.490330845485596, 55.66107340551768]","[12.58868910459469, 55.63762668492843]",6.699357699561969,8706.9,946.7,7993.0,5754.8,8746.0,1776.8
10,"[12.488970807722517, 55.66526516487831]","[12.572596229091356, 55.71568034978444]",7.674502448211828,9490.1,1095.1,8857.3,6377.2,9060.2,1864.9
11,"[12.607270921094091, 55.68278699133421]","[12.581717982654013, 55.63393012604514]",5.664165056328783,6417.3,692.0,6457.9,4649.6,6389.3,1307.4
12,"[12.596598149106736, 55.65880066437972]","[12.56719147729184, 55.67550592357661]",2.617547195283089,3202.6,370.1,3070.2,2210.5,3633.8,734.8
13,"[12.58583412162644, 55.678390941591736]","[12.49451781237015, 55.70425744344573]",6.405341060367434,8631.2,962.6,7632.6,5495.4,8413.8,1686.3
14,"[12.542824242552843, 55.63211173521312]","[12.506363556060318, 55.69599451187466]",7.462452267453439,24133.7,1285.1,9018.6,6493.3,11451.1,2303.6
15,"[12.476123800479307, 55.69349631621069]","[12.590146261503396, 55.70310861372423]",7.224599731719424,9075.2,1012.5,8763.3,6309.5,9142.9,1828.5
16,"[12.573461098971563, 55.72120083379045]","[12.551277344080422, 55.66657238577969]",6.231475426595626,7303.2,812.3,7251.0,5220.6,8640.6,1779.7
17,"[12.587108515477349, 55.68356371717437]","[12.575122423571054, 55.69110078315942]",1.1255424459212902,1508.9,226.6,1334.6,960.9,1508.9,301.8
18,"[12.56181444407003, 55.674140098227525]","[12.53885733216561, 55.68969619428808]",2.2501830327274956,3006.1,335.5,2845.2,2048.5,2915.9,598.2
