,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[-6.216627705384245, 53.36719957333689]","[-6.1971609778116425, 53.38923284614651]",2.769434561710728,3949.1,409.0,3844.0,2767.6,3404.8,680.9
1,"[-6.308558862631845, 53.36500452361367]","[-6.316872401629524, 53.320463246761065]",4.983419623905238,7508.0,961.9,6776.1,4878.7,8918.3,1798.1
2,"[-6.2839268770125525, 53.40175888663158]","[-6.18355886725122, 53.393400067162496]",6.71909100356591,8546.4,882.9,8748.8,6299.1,9544.4,1941.5
3,"[-6.267454958172227, 53.32337314544984]","[-6.25340557502, 53.37762583559308]",6.104272271256714,8880.4,1053.7,6988.4,5031.5,8556.7,1727.6
4,"[-6.267573991749742, 53.39375948588109]","[-6.280361865675258, 53.36094693137888]",3.7458958713351262,4814.1,605.2,4706.2,3388.4,6137.7,1250.9
5,"[-6.155031193881239, 53.38417288229908]","[-6.264627423094512, 53.36558861856929]",7.558191384935494,10139.3,1030.7,10215.2,7354.9,10983.2,2196.6
6,"[-6.160696967257407, 53.3899726906896]","[-6.320896444185665, 53.38253873331266]",10.656310802453318,13091.3,1255.0,13576.3,9774.8,13760.3,2761.8
7,"[-6.300798205575707, 53.34198552446874]","[-6.162784802370496, 53.39576944394982]",10.936610667978726,12917.5,1403.4,13790.1,9928.7,16570.9,3352.2
8,"[-6.275037493272977, 53.393265227701335]","[-6.348084290572183, 53.3450171798997]",7.229747740547781,13906.2,1099.9,10017.3,7212.4,11079.0,2289.0
9,"[-6.207014626450377, 53.32498787528594]","[-6.2485500259895215, 53.362534399274686]",5.003327252045335,6354.1,728.8,6271.3,4515.3,6417.0,1307.4
10,"[-6.184356263479609, 53.3890411328736]","[-6.151432109101513, 53.38140815679138]",2.3426918309007894,3845.4,384.2,3111.9,2240.6,3524.0,719.2
11,"[-6.293944577828987, 53.32044319104996]","[-6.182426449613059, 53.388066448247216]",10.550818267305026,13722.4,1568.0,13826.8,9955.2,14575.6,2919.3
