,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[18.64176639624952, 54.35647920491456]","[18.49510267873812, 54.37823535053974]",9.804117772970958,14550.3,1061.6,11638.2,8379.4,12474.5,2819.2
1,"[18.53093769177232, 54.33613445367518]","[18.54747134997593, 54.34145028215806]",1.2239926728052075,7342.2,416.4,2474.3,1781.5,1709.3,356.0
2,"[18.63026954825225, 54.31950902985568]","[18.44943684048311, 54.37954184058244]",13.487315979581158,17118.8,1465.9,15939.2,11476.1,17000.9,3488.9
3,"[18.623601369145494, 54.31889140773534]","[18.69248531469713, 54.38602747257141]",8.698046337602822,16942.1,1259.4,11046.1,7953.1,11665.4,2486.9
4,"[18.519245139740505, 54.35702624981256]","[18.68072368877897, 54.36889627418018]",10.544729268285348,26195.1,1234.9,15358.0,11057.6,14737.0,3130.9
5,"[18.60470148346332, 54.39873213155129]","[18.618686774079418, 54.34325758724364]",6.234652284666692,9374.9,1030.1,7169.6,5162.1,9571.6,2055.1
6,"[18.62466280383746, 54.389369798015466]","[18.610363525772076, 54.35540988167121]",3.8880990229486736,5549.6,719.3,4714.9,3394.6,5201.4,1235.6
7,"[18.629098814094256, 54.31266886093746]","[18.70510891305224, 54.38262375140808]",9.207383634396429,15927.4,1000.8,11552.3,8317.6,12154.9,2671.4
8,"[18.63456229692016, 54.35635311300096]","[18.619379236992145, 54.33996986076385]",2.070513749941095,3635.9,432.7,2878.3,2072.3,3351.6,710.6
9,"[18.55489923128532, 54.34963856732269]","[18.64440298307729, 54.343016117717134]",5.847627844385051,10710.0,870.6,7153.3,5150.3,7664.7,1571.9
10,"[18.72505941854735, 54.3602582403125]","[18.632353972637333, 54.39802863083677]",7.326968648310266,9442.7,919.2,11645.7,8384.8,12557.9,2695.2
11,"[18.611495241085493, 54.39343180346983]","[18.59994886443611, 54.34268358522855]",5.692299927315794,7258.8,866.9,6669.8,4802.2,9471.3,1967.0
12,"[18.52619224245865, 54.40506564408056]","[18.60134747542036, 54.39215190778596]",5.072391026149749,17820.4,1676.3,6606.5,4756.6,7527.1,1605.8
13,"[18.603932917059293, 54.380401079549664]","[18.58963260536464, 54.41588032449854]",4.052259632217413,5170.4,642.3,4681.5,3370.6,5340.0,1129.5
14,"[18.57896974902009, 54.42397434262272]","[18.59689942939377, 54.406651842544655]",2.248570555361829,3185.4,469.6,2655.3,1911.8,3065.6,635.0
15,"[18.593770751488204, 54.3264484741451]","[18.603348885859788, 54.37814659947794]",5.781982616416045,8703.3,1033.7,6995.4,5036.6,7567.8,1543.8
16,"[18.59039624885761, 54.308023738406526]","[18.630981544707915, 54.37957298573098]",8.379550247545083,11069.6,1368.8,10164.9,7318.6,12905.5,2683.7
17,"[18.521794628895552, 54.35279251744818]","[18.57950014447084, 54.35973006457789]",3.817953916005841,9534.1,942.7,4938.0,3555.3,5747.4,1200.3
18,"[18.566711155191538, 54.35536781053847]","[18.624266674273, 54.3194007853058]",5.469613979452294,9316.4,1298.3,7401.7,5329.2,8437.6,1867.7
19,"[18.64500475272533, 54.3422261502436]","[18.690017096543485, 54.34879324639102]",3.0074762358605063,3919.7,484.0,3566.2,2567.7,4119.4,889.4
