,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[25.00953676240025, 60.24759383849304]","[24.88775275536744, 60.14892299411616]",12.871457974104361,23778.7,2294.5,15217.9,10956.6,15733.7,3164.9
1,"[24.919765530797928, 60.18842478386016]","[24.947551614758684, 60.22697680370396]",4.553369174272527,5508.3,800.8,5264.8,3790.6,5384.1,1076.8
2,"[24.899598315290348, 60.19538515596029]","[24.90438744490755, 60.16337936784193]",3.5687202946401797,5363.5,920.0,4470.6,3218.8,4996.4,1000.0
3,"[25.025787097878148, 60.16898996492218]","[25.08164293589328, 60.16671609093048]",3.100000332314711,4209.0,540.6,3745.1,2696.4,4045.5,860.4
4,"[25.03550168369068, 60.256396669605934]","[25.048088658824184, 60.161793310847045]",10.542372009555699,18013.9,2064.3,12546.2,9033.1,12833.6,2641.7
5,"[24.905918049707804, 60.21844291829859]","[24.866788619388146, 60.24956631087387]",4.079567224758836,8358.9,990.9,4742.4,3414.4,4873.6,985.1
6,"[24.921443739601685, 60.21839581063988]","[25.01975158609106, 60.1697113297939]",7.670027171126019,14456.6,1758.3,13597.3,9789.8,14226.7,2943.0
7,"[24.85918055732956, 60.23723654856589]","[25.119769498946656, 60.23725042568233]",14.384044331917801,18809.5,1747.4,16780.3,12081.6,16856.3,3371.9
8,"[24.8722794512636, 60.1884433980476]","[24.97703194207319, 60.22446221609788]",7.038256357687432,9255.9,1501.7,8402.1,6049.4,8746.6,1846.3
9,"[24.946275746527025, 60.26040592982392]","[24.955917397029623, 60.16083120159277]",11.085008510945718,13280.3,1786.0,12339.1,8884.0,13761.5,2773.4
10,"[24.899565735245965, 60.16352532507821]","[25.02184831080584, 60.27898214182832]",14.505984520820084,20721.6,2430.3,17121.8,12327.4,17653.9,3586.5
11,"[25.046844355339253, 60.17611462989853]","[25.181146238398696, 60.20139372194053]",7.938505983926344,13360.2,1742.9,11207.4,8069.2,11785.3,2574.0
12,"[24.89212104298677, 60.20876762564679]","[24.889008177653476, 60.20689700727235]",0.2698927869357081,414.3,89.0,334.8,241.0,438.4,87.7
