,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[21.12652327449201, 55.73447559117223]","[21.164826538066485, 55.68115210937167]",6.396477409153474,9198.5,719.0,7168.9,5161.6,6904.4,1463.3
1,"[21.155700249333677, 55.68738782109319]","[21.16795534970538, 55.714285953723824]",3.0879399094384805,5525.0,443.2,4491.0,3233.5,4751.4,1067.9
2,"[21.170292744320086, 55.66953346804024]","[21.19292463530556, 55.69387712091922]",3.056185131088211,4689.3,397.1,4457.8,3209.6,5077.1,1015.4
3,"[21.13075273434841, 55.752793527953735]","[21.13129844638803, 55.75494950663549]",0.24215369904086634,368.8,42.7,407.6,293.5,383.5,76.7
4,"[21.112343112434683, 55.71905793228913]","[21.177971097806104, 55.673195893445055]",6.551396345222456,7856.1,827.2,7539.2,5428.2,7639.9,1566.8
5,"[21.11005730879593, 55.749023232709376]","[21.124332750573867, 55.73020757811519]",2.275052059649127,,,2797.4,2014.1,3228.1,740.6
6,"[21.21287262539765, 55.66162639405826]","[21.158999244003837, 55.64146694615295]",4.055736944561948,6295.9,452.6,5558.3,4002.0,5652.3,1263.2
7,"[21.14590717021361, 55.70172266768304]","[21.196427968986622, 55.69176427577064]",3.3540218619177864,4910.6,504.1,4686.1,3374.0,5024.1,1020.1
8,"[21.134104820275645, 55.73422416165149]","[21.16875800512512, 55.68278236936499]",6.118180485032469,8335.1,739.6,7142.8,5142.7,7205.5,1484.4
9,"[21.200907090117752, 55.69082053710947]","[21.16227703365637, 55.6755974805804]",2.9546060808946186,4211.7,512.9,3819.0,2749.6,4328.1,865.6
10,"[21.18664291015729, 55.680670810945415]","[21.121218992550247, 55.71460751657762]",5.572096665022099,8076.2,697.9,6815.4,4907.0,7766.0,1559.3
11,"[21.10660754830433, 55.72732461626695]","[21.17287698951408, 55.67736268494311]",6.935785183364395,8107.6,876.9,8027.1,5779.4,8200.7,1722.2
12,"[21.14837952160141, 55.67985652439346]","[21.163275286919166, 55.70278680228461]",2.7152760913121363,4185.6,347.7,3519.5,2534.0,3581.1,716.2
13,"[21.13024211766055, 55.73200740862783]","[21.133755840036216, 55.762160326628994]",3.360055523990087,3919.2,374.5,3882.2,2795.1,3887.1,795.2
14,"[21.18454350913102, 55.67604525651127]","[21.16048232970381, 55.688720584113845]",2.064392763866084,3694.2,276.6,2759.0,1986.5,2872.0,656.6
15,"[21.141617651740933, 55.75243316167545]","[21.16367736424935, 55.68809149566339]",7.286640917745376,10967.3,677.0,9286.5,6686.2,9788.3,1963.0
16,"[21.088933042755222, 55.72871693680788]","[21.15313878779114, 55.70646511264717]",4.721627913618461,11068.5,1515.6,5597.5,4030.1,6127.7,1258.1
17,"[21.147412475164234, 55.70200344590491]","[21.175540399539784, 55.68360727899313]",2.700365703402192,4228.8,382.2,3557.0,2561.0,3691.9,790.4
18,"[21.18625613307072, 55.68105395465333]","[21.11595090710092, 55.72952233886107]",6.960491635540458,8215.2,679.3,8582.9,6179.6,8422.1,1743.0
19,"[21.193178561800508, 55.70355960522216]","[21.17451304389211, 55.6708162060137]",3.824267657305686,6336.0,464.0,5728.3,4124.3,5882.5,1183.2
20,"[21.1610976375879, 55.68603751827256]","[21.19011336329444, 55.69577907721048]",2.1167419443441062,2240.1,203.2,2458.8,1770.3,2345.4,494.9
21,"[21.18644595538811, 55.67102734859679]","[21.177815115009068, 55.69004915101026]",2.1832413462855724,4520.9,446.6,2556.7,1840.8,3630.6,744.3
22,"[21.14091163890409, 55.74564164368034]","[21.226691889632303, 55.6647043289022]",10.482400265834984,15225.1,1176.1,13727.5,9883.7,15169.7,3075.4
23,"[21.16029906604506, 55.69727162048684]","[21.103177754743392, 55.72650611116092]",4.834331583145725,9125.4,767.8,5709.1,4110.5,6294.5,1303.2
24,"[21.15197796012164, 55.67891068195546]","[21.18433652830756, 55.693759061175065]",2.615370658749703,3109.2,270.2,3312.4,2384.9,3899.5,785.9
25,"[21.185459989221517, 55.657792077436994]","[21.184397724416755, 55.68379690554097]",2.892372112795602,4139.7,296.5,3522.0,2535.8,3521.8,723.8
26,"[21.20399178987204, 55.66673570571072]","[21.174677832232813, 55.730192826187874]",7.291293616284202,10889.4,915.2,9626.8,6931.2,11858.8,2419.8
27,"[21.15465004989993, 55.676722005413]","[21.16321355685711, 55.66565746891655]",1.3424053683871102,1439.2,113.7,1473.9,1061.2,1474.7,334.4
28,"[21.17286174570585, 55.66537184927102]","[21.134410071962463, 55.729981078672814]",7.577534670536069,9549.9,756.8,8480.6,6105.9,8514.4,1767.8
29,"[21.1406682245864, 55.68703151161125]","[21.11767740143534, 55.74303935623676]",6.392117987205402,,,8882.7,6395.5,9473.3,1943.6
30,"[21.150279889346223, 55.67810187931333]","[21.159271648966115, 55.70019098393799]",2.520026915626263,3706.1,357.4,3161.4,2276.1,3256.4,660.5
31,"[21.12508037716394, 55.77209283364049]","[21.174934490013325, 55.68011915246769]",10.692871228407366,15342.4,1105.1,12696.7,9141.5,13055.9,2650.0
32,"[21.16175017094958, 55.66727905437996]","[21.156568255764377, 55.66476558136563]",0.42863615307398306,538.7,109.8,573.5,412.9,805.0,174.5
33,"[21.180496680433112, 55.66498873983984]","[21.166440050993145, 55.67761278718519]",1.6575332162263083,2777.3,216.5,1939.8,1396.7,2170.1,443.2
34,"[21.160821926329945, 55.755989400365486]","[21.170912987334173, 55.731939477375775]",2.747804625690277,4896.3,411.3,3461.7,2492.4,3461.7,790.3
35,"[21.176728451280287, 55.68004797712764]","[21.175476329408426, 55.647734265058666]",3.593978945880794,6130.0,514.5,4980.5,3585.9,5098.3,1064.6
36,"[21.08354422112272, 55.77178360663108]","[21.158483172168506, 55.63616081477045]",15.794592546601331,21316.6,1626.6,18531.1,13342.3,19517.8,4011.6
37,"[21.16470893240506, 55.692416286049]","[21.177609395441127, 55.67873427931586]",1.7229313569508098,3326.1,295.2,2333.4,1680.0,2477.8,604.7
38,"[21.153602847177048, 55.67662650279995]","[21.10323546294688, 55.72515451083984]",6.251236026714687,11979.1,992.7,7369.8,5306.2,7668.1,1544.4
39,"[21.17125994106613, 55.63563843881657]","[21.1748201514543, 55.66952461885332]",3.7745855965429147,5531.2,555.1,5330.8,3838.1,5459.6,1156.3
