,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[-9.171622214898717, 38.71968711619064]","[-9.15589472344304, 38.75941896367265]",4.623769728691617,9063.0,828.4,6859.2,4938.6,6367.9,1329.0
1,"[-9.093205846486956, 38.76781725226513]","[-9.106012004815431, 38.74909157842387]",2.3597802838049162,5819.0,725.5,3214.9,2314.7,3166.1,717.7
2,"[-9.190049469135817, 38.75374026048394]","[-9.20619751659277, 38.71853912608312]",4.157233888395559,6355.6,486.8,6313.6,4545.7,6071.1,1316.0
3,"[-9.167791036788037, 38.70982517749989]","[-9.14166694713736, 38.741926512348456]",4.228137583538662,6942.4,677.1,5356.7,3856.7,6783.6,1380.8
4,"[-9.135801301409328, 38.72136563006684]","[-9.176542290535547, 38.772198497865546]",6.665773353688036,10475.5,1271.7,8277.7,5959.9,8692.1,1800.3
5,"[-9.111843852627922, 38.75480180260041]","[-9.09520861733257, 38.77473728393331]",2.644633052617868,5052.6,410.0,4002.5,2881.7,3798.8,761.1
6,"[-9.132068843602886, 38.74418193433912]","[-9.168603047340646, 38.70943194154171]",4.997478504240733,7936.5,630.2,6247.1,4497.8,7021.3,1472.8
7,"[-9.16466114533465, 38.77896453969027]","[-9.213387454898902, 38.706462167860096]",9.102346300696496,13318.2,993.0,11675.5,8406.3,12119.0,2480.8
8,"[-9.165291347568807, 38.73783496425862]","[-9.098844942962018, 38.77565952104922]",7.133443017129229,12805.0,932.2,9643.1,6942.9,10479.4,2280.6
9,"[-9.196064518761018, 38.7604730253924]","[-9.148097103981591, 38.74584227994404]",4.466343680505293,5784.0,422.9,5616.1,4043.5,5740.6,1173.7
10,"[-9.211301500721556, 38.70657867413759]","[-9.097229070652332, 38.78179724283094]",12.954848122907142,18909.5,1426.3,16817.3,12108.3,17392.2,3526.4
11,"[-9.18810242591114, 38.76546445824758]","[-9.118185191568752, 38.769008045168405]",6.074495190992065,7853.3,734.8,7809.9,5623.0,8333.4,1703.0
12,"[-9.148805102274002, 38.771026574555336]","[-9.152557250152618, 38.748813863978825]",2.4912751771796255,3837.4,468.9,3696.0,2661.1,3673.6,766.7
13,"[-9.203557056566032, 38.74788164993589]","[-9.111077523185166, 38.74584834733554]",8.023289018348915,10149.5,945.3,10554.3,7599.0,10736.9,2230.0
14,"[-9.143400381651151, 38.75602442195971]","[-9.139984035407892, 38.76096218831492]",0.623868321709002,1262.7,270.0,996.3,717.3,1172.5,520.1
15,"[-9.15203595588712, 38.77199135868923]","[-9.145157574626156, 38.70639420135981]",7.318427314810122,13875.1,1008.3,8976.2,6462.7,9370.1,1874.6
