,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[-4.454354380888989, 36.70870261619877]","[-4.357143415214535, 36.88567936013747]",21.49839509574825,39003.2,2346.2,35856.5,25816.5,32065.8,7541.6
1,"[-4.478881335078107, 36.68035720344439]","[-4.393072191205456, 36.732009715569525]",9.565747046075304,13551.6,1226.3,12934.4,9312.6,13071.7,3049.1
2,"[-4.48718061278116, 36.72471160867862]","[-4.3739048447490445, 36.73459920826351]",10.154714177918915,12368.1,1137.5,12769.0,9193.5,13208.8,2700.6
3,"[-4.448978315030223, 36.6992089325666]","[-4.449633839240966, 36.74035379135061]",4.575472616475118,12966.3,824.8,5399.4,3887.5,6460.7,1353.2
4,"[-4.5693614301103525, 36.722116238194765]","[-4.438421952569586, 36.71107398308656]",11.735584478119948,18152.8,1471.3,16881.2,12154.3,17442.4,3725.3
5,"[-4.408746476018748, 36.7981482699052]","[-4.430085886388967, 36.7071660277992]",10.293851507740955,14542.5,2003.9,14235.8,10249.6,14568.4,3475.7
6,"[-4.320025092321077, 36.79912695410886]","[-4.493869849540736, 36.67938514103589]",20.426682563064798,39169.7,2773.6,29187.7,21014.9,30748.9,7263.4
7,"[-4.424873876452076, 36.730712188172994]","[-4.465178857653637, 36.69825786067568]",5.09217479044206,7537.7,824.0,6831.0,4918.3,7853.3,1628.2
8,"[-4.445761543223953, 36.69401055300735]","[-4.3194594530572, 36.75047715352216]",12.889659177930048,16953.0,1659.1,17427.8,12547.8,19928.0,4318.9
9,"[-4.447889049460387, 36.81728055822778]","[-4.381782442477193, 36.750759605258274]",9.453645254150421,,,20622.1,14847.9,18645.6,4071.3
10,"[-4.45249788862667, 36.71630565006128]","[-4.492304335496048, 36.67844157537936]",5.506538996737914,10121.1,839.5,10002.5,7201.7,12566.8,2835.9
11,"[-4.310316940693437, 36.77924277939734]","[-4.31323178422951, 36.849419760843766]",7.807637326864639,19862.4,1654.3,16878.4,12152.4,17549.8,4221.3
12,"[-4.466038183516283, 36.692093317386906]","[-4.3950523970754665, 36.76708947428544]",10.467222051760313,17139.3,1382.3,13995.3,10076.5,15109.4,3286.1
13,"[-4.406860162113111, 36.7217547608948]","[-4.535301505569104, 36.73434261100977]",11.532059589198463,14524.2,1226.3,14968.8,10777.4,15161.8,3066.6
14,"[-4.468078883563998, 36.75074157545469]","[-4.307536934148168, 36.75668473554567]",14.318107494516415,23772.2,1470.1,24814.5,17866.3,24572.6,5389.1
15,"[-4.569503163693946, 36.7615708072148]","[-4.398739173078019, 36.73988855728748]",15.403977569664175,26549.1,1864.1,22026.6,15859.0,22727.6,4653.2
16,"[-4.382746624855634, 36.75707028185151]","[-4.43122695189329, 36.71597303374213]",6.288612690153596,9513.7,1198.6,8125.3,5850.1,9432.9,2122.9
17,"[-4.421429899132297, 36.72288089163929]","[-4.360455353989393, 36.866102064376015]",16.825541205998892,29829.6,2996.1,26868.2,19345.0,28924.2,8480.3
18,"[-4.450298899124842, 36.72693853227838]","[-4.455776182250852, 36.77047335776704]",4.865387747735713,6816.0,1589.2,5986.3,4310.1,6134.8,1669.4
19,"[-4.444420916285073, 36.70286840861216]","[-4.5018914363185045, 36.66975686180173]",6.310108959660857,9112.3,823.9,11962.1,8612.6,13178.9,2982.5
20,"[-4.46185331562758, 36.70526660622061]","[-4.451732190996722, 36.6768935663014]",3.281467238258238,7370.1,738.8,5520.4,3974.6,6193.3,1375.9
21,"[-4.51106948577458, 36.71085944114714]","[-4.413677734877197, 36.71523762260182]",8.694969187365256,25104.8,1414.6,12623.0,9088.4,12286.9,2705.5
22,"[-4.447828476653131, 36.69602305957169]","[-4.462362957503234, 36.70897233785462]",1.9370799104593543,3413.0,447.1,2557.5,1841.4,2762.5,582.7
23,"[-4.4252267460351575, 36.706418362881074]","[-4.4549748148955, 36.69848259646567]",2.795006807174366,7231.2,911.5,4514.8,3250.6,7318.3,1594.9
24,"[-4.438466947873456, 36.71673597609314]","[-4.388001082796975, 36.77287129823579]",7.692939555757039,11391.6,1046.5,11372.3,8188.0,11764.3,2761.0
25,"[-4.498738761466001, 36.74507106866479]","[-4.474674152728928, 36.6859183648656]",6.918403859521059,10097.2,983.1,9966.6,7175.8,10805.1,2289.8
