,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[9.09383959825396, 45.504817092642455]","[9.24306131098382, 45.51099300353935]",11.648601001149524,16739.4,2071.3,14351.3,10332.8,16347.1,3727.6
1,"[9.192641111748902, 45.456529713826974]","[9.1255052719916, 45.44874159463787]",5.307924109178099,7347.6,1005.7,6518.8,4693.5,6669.3,1394.7
2,"[9.147893522366967, 45.45973360192733]","[9.079266447237602, 45.46664770111267]",5.407058431385449,6290.3,856.5,6863.2,4941.4,6487.8,1326.1
3,"[9.147959224704191, 45.47882786151319]","[9.1436164137293, 45.4867065726155]",0.9392199626142064,1206.4,199.9,1242.7,894.7,1222.3,268.6
4,"[9.133723923250969, 45.4459189321114]","[9.221767602795415, 45.44340158226852]",6.874351167132247,8572.6,1062.5,8303.0,5978.0,8648.0,1868.2
5,"[9.19691289545758, 45.461373822129104]","[9.086432605065529, 45.45860177950304]",8.622191245641249,13249.5,1693.5,10540.7,7589.1,10776.8,2199.4
6,"[9.178185401726672, 45.42694209243432]","[9.137858644676962, 45.47372723156093]",6.079415435362488,7770.0,1086.1,7281.8,5242.8,8822.3,1811.0
7,"[9.246006289623429, 45.48875541345949]","[9.239040433627666, 45.44085015878846]",5.354450085197061,9246.3,899.8,6589.0,4744.0,7060.9,1526.5
8,"[9.148677764140029, 45.48242583831379]","[9.151270011730553, 45.46408487957412]",2.049413718951393,2979.4,403.8,2594.6,1868.1,3305.2,679.9
9,"[9.236467168921155, 45.43154334628638]","[9.171468460060185, 45.43090056909699]",5.072528297870938,6809.6,964.5,7178.2,5168.2,7686.1,1648.1
10,"[9.084011276392353, 45.48957846671678]","[9.181968980152243, 45.532019812183385]",8.974181317421516,16156.6,1521.2,11947.9,8602.3,12881.6,2937.7
11,"[9.115730427665335, 45.49079038727046]","[9.152683484135167, 45.4941195458034]",2.904107066674948,3960.3,601.8,3494.1,2515.7,3802.6,877.0
12,"[9.220412799799208, 45.498665377210045]","[9.23807311223779, 45.4531733827838]",5.242548135730205,6476.6,959.0,6268.9,4513.5,6587.6,1365.7
13,"[9.203646299587868, 45.52394833738399]","[9.20728185295244, 45.48430432616596]",4.417308501188709,6036.2,830.6,5521.2,3975.2,6391.8,1288.7
14,"[9.170854752732009, 45.420688643077945]","[9.254861321076431, 45.51061949074953]",11.95474954907098,17378.9,1889.6,13918.5,10021.1,14206.2,2880.0
15,"[9.223696205599872, 45.47330669232364]","[9.224488265699984, 45.49474029802672]",2.3841079986423273,2937.3,433.3,2716.7,1956.0,2707.6,654.9
16,"[9.133145783707166, 45.49145975879568]","[9.200701174238874, 45.46339874007435]",6.122045045758487,8528.5,1213.4,7257.0,5224.9,8431.4,2082.9
17,"[9.256889263260652, 45.45198627197394]","[9.181769157868564, 45.471311750444336]",6.2403275735578285,7969.1,1088.9,7516.5,5411.8,7824.1,1662.5
18,"[9.146466038563288, 45.48126860688599]","[9.234124248226037, 45.50171975612438]",7.201379182800216,9987.8,1317.0,8972.6,6460.1,8994.6,1982.1
19,"[9.25873503231926, 45.44793103696103]","[9.19994037811352, 45.492294573709]",6.734564340431147,12225.8,1395.2,8360.7,6019.6,8916.4,1980.0
20,"[9.134316383163972, 45.49374709114596]","[9.1684813521206, 45.40898393659071]",9.79476435851295,14603.8,1787.5,11652.3,8389.5,12476.7,2854.8
21,"[9.136019983037276, 45.5161796273342]","[9.208864447701508, 45.44885139467527]",9.396834880729894,11235.2,1585.9,10520.4,7574.5,11985.9,2490.4
22,"[9.211242853426734, 45.47960835166159]","[9.164620206516766, 45.46566898970616]",3.9520550096278373,5781.6,1000.1,4596.1,3309.1,5005.2,1055.5
23,"[9.178330446353282, 45.51903638707408]","[9.096132128496697, 45.51410714163135]",6.427861081650224,12697.5,1205.8,9342.3,6726.3,9789.1,2045.8
24,"[9.240348386130828, 45.5180538183341]","[9.236175090073786, 45.476763269141486]",4.602807123318197,6331.4,864.6,5643.8,4063.5,5785.8,1215.4
25,"[9.236133768488855, 45.42836203585286]","[9.164659546983469, 45.41744561277231]",5.708692731532317,8068.4,1062.1,8541.3,6149.7,9571.7,2034.3
26,"[9.205298758051802, 45.48240680513064]","[9.149088110819571, 45.493697202277055]",4.558149231325618,5626.0,814.9,5486.7,3950.3,6004.8,1251.5
27,"[9.20979206806546, 45.45559805161171]","[9.098035810263696, 45.48388435414272]",9.264915392352865,11504.4,1665.5,11221.1,8079.1,11920.3,2510.4
