,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[27.413566895031604, 53.888058804599694]","[27.68442211926943, 53.88543971798615]",17.75326039474515,26248.7,1326.9,21408.8,15414.1,21339.4,4510.4
1,"[27.608686298886138, 53.95933267961995]","[27.6823350546068, 53.8412944470865]",13.98405812540074,18512.6,1006.8,16288.3,11727.4,19223.7,3958.7
2,"[27.46491969469097, 53.89476832694432]","[27.60731994191858, 53.95047588434445]",11.194408217510103,14098.2,1272.3,12981.1,9346.3,13986.1,2975.2
3,"[27.648327369078206, 53.86789029216874]","[27.489326257990637, 53.90686522641545]",11.28550390458187,12960.9,1275.1,12900.3,9288.0,14242.7,3095.2
4,"[27.51964335864224, 53.88382346245095]","[27.58191264745062, 53.919398082341246]",5.68239831030427,7088.4,792.8,6511.8,4688.4,8306.1,1949.1
5,"[27.516105528267385, 53.838427220603805]","[27.53297518003377, 53.90565239058594]",7.556470526798351,12164.1,1064.9,9727.8,7003.9,10392.8,2224.9
6,"[27.76495096231806, 53.8303724087386]","[27.514717403746094, 53.92373702084323]",19.412467494140166,22310.9,2121.1,22032.2,15862.9,23751.3,5247.8
7,"[27.6052084686652, 53.922188149570594]","[27.46882315421892, 53.90738638128338]",9.082580008964143,11342.8,1085.3,10136.1,7297.9,13556.0,3104.8
8,"[27.421544024438592, 53.93086303347526]","[27.51728317090951, 53.880442125108125]",8.41224573312074,12901.2,1138.7,10795.3,7772.5,10872.4,2365.0
9,"[27.684757617179542, 53.88194691989671]","[27.620685258353404, 53.90419250628548]",4.8729415877742595,7334.0,753.1,6050.6,4356.4,6617.3,1351.4
10,"[27.77572776914685, 53.8631730698752]","[27.47261018195113, 53.90150384316393]",20.319366969432807,36888.3,3157.5,24136.2,17377.8,25827.5,5844.8
11,"[27.488112447715896, 53.92573856085452]","[27.57546046742132, 53.92578983990619]",5.719134927879327,7214.9,765.8,6563.9,4725.9,6877.4,1499.4
12,"[27.41120743621609, 53.871603067772206]","[27.603221804458883, 53.917340271829744]",13.570613681975447,26290.2,1618.7,16198.2,11662.5,18466.0,4115.6
13,"[27.545478667406037, 53.95766247204684]","[27.56370944237215, 53.84672318375613]",12.393567888462115,15504.4,1540.2,14585.7,10501.6,16296.2,3410.4
14,"[27.63936661419717, 53.91945686033621]","[27.73713534812761, 53.951054278116025]",7.300969978793227,9150.2,844.8,8598.8,6191.1,9459.8,2034.2
15,"[27.57104497994541, 53.943821224378645]","[27.4940986501325, 53.87748715784737]",8.933428668088592,10926.2,1119.5,10214.9,7354.6,11401.0,2434.4
16,"[27.551057302791676, 53.960392276774286]","[27.62481718131877, 53.83689365596082]",14.557924229103394,27057.3,1419.8,17368.0,12504.8,18519.7,3774.6
17,"[27.526940542493595, 53.85358803797215]","[27.707461235371067, 53.87960984055231]",12.18491528219581,,,14869.1,10705.6,16168.2,3497.7
18,"[27.600892171417534, 53.92268792762948]","[27.70975478383476, 53.94517999679243]",7.552531472891695,8486.8,889.0,8215.7,5915.2,8756.8,1878.4
19,"[27.419621410672782, 53.88794701326159]","[27.417315851992083, 53.91291395769751]",2.7803036785389916,3650.4,412.5,3344.1,2407.7,3397.6,804.9
20,"[27.488357788474307, 53.84323620861396]","[27.64333738247812, 53.92961550757741]",13.979164682483837,26041.6,1612.1,15546.2,11193.1,17601.8,3990.4
21,"[27.47363129424439, 53.87435939036528]","[27.74412304281921, 53.86007952734238]",17.806269923995078,27067.0,2203.9,21229.5,15285.0,21607.0,4723.4
22,"[27.49591983235526, 53.93628327888182]","[27.45140274779161, 53.90453715924146]",4.578099552583619,7836.6,700.2,5913.7,4257.8,6363.3,1434.7
23,"[27.59762186021399, 53.93680326783224]","[27.60116245790646, 53.91307270654682]",2.6488820503985533,3482.5,452.0,3273.7,2357.0,4234.6,998.6
24,"[27.576071432583657, 53.85128123732614]","[27.430050215970976, 53.86621850543384]",9.719091023996661,13977.4,953.2,12049.2,8675.3,12698.2,2816.5
25,"[27.56901591773529, 53.86666108415921]","[27.549811251235617, 53.90734667019563]",4.695840861830072,7183.1,789.8,5512.7,3969.0,7194.3,1542.8
26,"[27.474550728990167, 53.92990746685115]","[27.555079417686372, 53.92575332681775]",5.292569815411017,7544.2,753.9,5905.4,4251.8,6087.8,1317.6
27,"[27.757800260207137, 53.87112697740219]","[27.54538286828086, 53.89665179058466]",14.208386735205858,,,16591.4,11945.7,18591.2,4228.5
28,"[27.65369183281723, 53.8377377472932]","[27.70049282225619, 53.84185340510083]",3.1045293071829136,7612.3,773.4,4142.8,2982.7,5361.4,1217.1
29,"[27.578048309830468, 53.89174471445118]","[27.57835615537246, 53.96904124391975]",8.595005553258972,14164.0,1350.4,10394.7,7484.1,12084.5,2582.6
30,"[27.58791990101033, 53.94043734277385]","[27.761559042404745, 53.843506514074015]",15.67273497461024,,,19104.1,13754.8,20320.3,4906.6
31,"[27.70820449087628, 53.834492473593485]","[27.435276396147707, 53.92307824408481]",20.42264464039791,32474.5,1902.6,23428.6,16868.2,26424.0,5687.5
32,"[27.41851449221136, 53.92146464554428]","[27.454984431686484, 53.93922828547358]",3.0987464083951894,5604.3,416.3,3647.1,2625.9,3948.2,909.2
33,"[27.60333152163057, 53.88810011362502]","[27.448692490477544, 53.89810721543172]",10.193860127305472,13605.2,1423.3,12325.1,8873.8,13673.9,2924.6
34,"[27.61240779990932, 53.959739288821055]","[27.44356592053797, 53.84976205744331]",16.4888202402359,26567.6,1405.5,17915.8,12899.2,19418.4,4184.3
35,"[27.630198340667988, 53.94970394339872]","[27.496363843515933, 53.93931638165986]",8.834738474555461,11329.5,938.8,10575.1,7614.0,11842.1,2429.9
36,"[27.53646634002836, 53.83465782150878]","[27.48603163744592, 53.87238788509472]",5.342635419021404,13166.5,870.1,8272.3,5955.9,8254.7,1767.4
37,"[27.698934527872684, 53.826327724095066]","[27.455585685500772, 53.87059793616585]",16.704591705395863,26556.2,1813.4,20994.2,15115.6,22451.2,4750.1
38,"[27.641715445068904, 53.874004853628016]","[27.588955810556083, 53.83558547103228]",5.4976488170970494,8480.1,824.0,7220.2,5198.5,7197.9,1487.9
39,"[27.471611904559783, 53.90975880340549]","[27.663515640577, 53.872986933989154]",13.22333243341774,14970.9,1639.6,14964.8,10774.4,18704.1,3965.9
40,"[27.566709898195576, 53.90824683181231]","[27.67432924149831, 53.86357811088525]",8.62653069205162,10268.7,1112.4,9791.6,7049.8,10476.4,2195.6
41,"[27.440846056470885, 53.8578707134285]","[27.59632941389377, 53.94219096193024]",13.844689306562513,15799.5,1646.5,15350.6,11052.2,17500.2,3685.6
42,"[27.57114636800756, 53.95339710485941]","[27.586613668755767, 53.83862447861818]",12.802309574061956,16334.2,1716.6,15211.4,10952.0,16545.7,3599.9
43,"[27.46662053756728, 53.856607114455976]","[27.673133842888728, 53.94438517560846]",16.68289749737967,29083.5,1539.7,18158.9,13074.2,20019.1,4541.3
44,"[27.676860564550196, 53.873764896588426]","[27.458929583732548, 53.92108162877074]",15.217264727509534,32484.1,1724.1,17556.5,12640.4,20611.9,4332.7
45,"[27.687702630218528, 53.92536355635743]","[27.661937473938213, 53.90115533543664]",3.177036616745344,5762.7,608.7,4139.9,2980.7,4196.8,918.3
46,"[27.602863703810332, 53.87250663561751]","[27.635436256937968, 53.89657131396485]",3.4231064551430332,6143.4,769.7,4287.6,3087.0,4998.2,1151.0
47,"[27.57362136244976, 53.91316975094859]","[27.63034985667878, 53.83444373765627]",9.511140804359533,11500.1,1067.6,11222.3,8079.9,11846.6,2421.8
48,"[27.615763995201068, 53.86591572396359]","[27.436827669493585, 53.85960717460221]",11.754521795778679,20012.4,1176.0,13898.8,10006.9,14231.3,2978.6
49,"[27.662725454822745, 53.86356758475553]","[27.6443389853164, 53.94688344343822]",9.34226787961976,15365.2,1141.1,10918.4,7861.1,12273.2,2562.5
50,"[27.481998485117376, 53.90931550669124]","[27.668821014544505, 53.95074762891007]",13.069890746803436,20342.9,1526.8,15057.2,10841.0,17231.8,3976.1
51,"[27.550982444339915, 53.8948602383964]","[27.51596356032808, 53.87182913165946]",3.438948132577851,4878.9,608.7,4221.8,3039.7,4719.8,1024.1
52,"[27.492653400331744, 53.84040121381229]","[27.49395224816316, 53.91166913011663]",7.925088111348298,17793.9,1165.6,8893.4,6403.2,9728.0,2249.4
53,"[27.416043626227506, 53.92357817964511]","[27.69953503752972, 53.9382108867546]",18.63055958424442,27475.3,1532.3,21474.9,15461.7,28452.4,6196.2
54,"[27.526928474959774, 53.86657770045321]","[27.52099712082655, 53.897161852692015]",3.4229514114737136,6106.7,661.0,5122.5,3688.2,5709.9,1238.9
55,"[27.575520142224317, 53.92322479931998]","[27.42966152494037, 53.90668090972259]",9.728117423891542,12768.9,1407.6,10820.2,7790.4,12516.6,2740.9
56,"[27.46019611699116, 53.902421322663415]","[27.439308960069184, 53.94055257408828]",4.4551435494318765,8663.4,693.5,5258.0,3785.7,6898.0,1697.4
57,"[27.460795785262643, 53.8871650936092]","[27.67818060362761, 53.86591601051054]",14.444653679613461,26973.0,1719.8,17485.5,12589.3,17149.2,3779.6
58,"[27.654851912351525, 53.88305897772925]","[27.528723823650765, 53.87728328557814]",8.292190878774408,10806.8,1141.1,9948.4,7162.7,10278.7,2168.7
59,"[27.522565178000857, 53.86168297650822]","[27.49540935375819, 53.92148423847078]",6.883583455481476,8624.5,920.4,8675.9,6246.5,9012.1,1939.5
60,"[27.64631805196296, 53.87399002617733]","[27.47953954441542, 53.91882953476427]",12.011265670312394,14076.9,1422.8,13667.8,9840.6,16255.1,3485.3
61,"[27.50768791603405, 53.96384395053293]","[27.612646446371684, 53.91485530378427]",8.767503330474158,,,11084.1,7980.5,,
62,"[27.67593314777018, 53.86157071440509]","[27.42516405634599, 53.86695525264317]",16.454236783326703,20496.6,1090.8,18950.0,13643.8,19559.7,4236.4
63,"[27.52461804920541, 53.89239478666457]","[27.43664680633344, 53.85281929979367]",7.254420872382754,9677.1,863.0,8114.6,5842.4,8788.6,1828.3
