,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[13.335486321530697, 38.1782268840643]","[13.31495503796169, 38.180905147835794]",1.8191373006797624,4356.5,389.8,2850.8,2052.5,4754.2,950.8
1,"[13.30281570912295, 38.109869356662784]","[13.304610940252324, 38.1278732268937]",2.008089616470433,3350.2,339.0,3157.2,2273.2,4010.4,802.1
2,"[13.29903797256654, 38.188690886676845]","[13.39349107669305, 38.1010001613568]",12.7789999838931,14457.9,1172.5,15016.7,10811.9,14837.0,3068.7
3,"[13.27664142299118, 38.14921791620956]","[13.334662405524034, 38.18037449142289]",6.142706601161249,18153.3,1512.0,17753.1,12782.2,19535.6,4018.4
4,"[13.338983992686, 38.168637614382]","[13.305979842696708, 38.151119161206175]",3.4815582180742157,8062.4,841.6,6504.7,4683.3,7189.8,1520.0
5,"[13.415556424888887, 38.086109116023]","[13.294873468674297, 38.10733361763501]",10.821112227695252,13052.8,955.9,14418.6,10381.3,15105.6,3130.5
6,"[13.379814638256285, 38.10106275037166]","[13.300296532561031, 38.133993978738815]",7.861324056312869,11133.1,1124.6,9885.6,7117.5,11149.5,2289.9
7,"[13.278331671133971, 38.1821699419832]","[13.371211041893403, 38.11804617468098]",10.807483204432604,15021.3,1378.5,17267.9,12432.8,17091.9,3818.6
8,"[13.36136438035874, 38.14920878688628]","[13.327030385033394, 38.14904181449405]",3.0023703576584015,3864.5,414.1,4392.8,3162.8,5271.6,1057.0
9,"[13.338579292436464, 38.09480087569142]","[13.31875066359809, 38.20296024349869]",12.151119224809289,14095.0,1101.6,16402.2,11809.5,16434.4,3290.0
10,"[13.332500038319424, 38.09914421307248]","[13.274350294450906, 38.19018512246907]",11.32872200212152,15023.7,1187.0,16033.4,11544.0,19968.8,4048.5
11,"[13.26213397197256, 38.12578236701956]","[13.339501401470208, 38.07995550616272]",8.473145374627403,,,,,,
12,"[13.360699630138932, 38.15468044748701]","[13.376607426932871, 38.10423735325036]",5.779023766237119,11181.5,1119.1,7802.4,5617.7,8856.6,2006.3
13,"[13.295136367954024, 38.10709919312927]","[13.352401035800554, 38.179490126716935]",9.480151818650755,21124.7,2209.1,15417.4,11100.4,18383.2,4160.1
14,"[13.305193802409876, 38.16264116166094]","[13.311726301271854, 38.20079991401946]",4.281304392658105,8117.7,735.5,6730.8,4846.1,9359.7,1909.8
15,"[13.350873842537514, 38.10286277833059]","[13.355016136230777, 38.11453219451527]",1.3472424882307255,2317.9,277.2,1741.8,1254.0,2058.3,411.6
16,"[13.307994961150238, 38.1973778258694]","[13.316641550696252, 38.22363030213517]",3.0153123475455703,,,4590.2,3304.9,5162.8,1103.8
17,"[13.349565628704635, 38.18341071964949]","[13.369231916619077, 38.09063680069069]",10.458393606568054,19002.4,1995.9,13735.7,9889.6,16511.3,3916.4
18,"[13.360661157501475, 38.130508141890665]","[13.38216407018068, 38.09035373615371]",4.845124349593286,7902.8,755.1,6914.8,4978.6,8029.9,1629.4
19,"[13.39890749815924, 38.08798140087895]","[13.328587630982335, 38.14422140705337]",8.772278907661201,12261.6,1073.3,11208.3,8069.9,11439.7,2333.3
20,"[13.337828771118602, 38.18838760670267]","[13.303181870591205, 38.20042275503842]",3.310353025351909,7988.7,1241.7,8038.3,5787.5,8101.8,1658.5
21,"[13.361425913747786, 38.10444631034687]","[13.264203781761324, 38.10721970043996]",8.512154493972302,12660.5,1167.5,11908.8,8574.3,12868.5,2849.2
22,"[13.312869823228956, 38.20519099531983]","[13.365842221578594, 38.12295931087702]",10.249681239932361,10901.9,1021.1,12227.1,8803.5,12849.0,2608.0
23,"[13.301916234614744, 38.198970934977886]","[13.348237557869457, 38.15083741900555]",6.711283139322927,8773.9,685.1,8789.5,6328.4,8994.0,1798.8
24,"[13.320723814574125, 38.07056633481712]","[13.403185750278318, 38.096683653049205]",7.779669990869579,11407.2,887.2,11312.5,8145.0,10831.6,2270.7
25,"[13.370490733420189, 38.147360350282526]","[13.334117232986827, 38.09632148450872]",6.5063621152520446,9346.2,789.4,8776.2,6318.8,9446.0,1947.9
26,"[13.32256957362288, 38.17568264337074]","[13.423211041835884, 38.07043625423984]",14.644505967702603,18147.4,1652.3,18813.8,13545.8,21147.4,4355.9
27,"[13.299480348721826, 38.13100177732978]","[13.380572028128606, 38.10059620337901]",7.858696199991568,11125.0,1057.0,9998.6,7198.9,10703.2,2182.1
28,"[13.375742736152636, 38.104069598909184]","[13.358572870316127, 38.12330036077648]",2.613237631482893,3333.4,326.3,2990.0,2152.7,3659.9,733.7
