,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[2.2580345363147765, 48.83453850661317]","[2.3612796804690546, 48.82025487537123]",7.72292740918416,9274.1,938.3,9725.4,7002.2,9256.7,1953.4
1,"[2.228116301949531, 48.86160763918885]","[2.441310576608725, 48.8189862662625]",16.30632366968172,19617.0,1783.5,18723.3,13480.6,18845.1,3907.0
2,"[2.3642838274442544, 48.87431824089255]","[2.396881952618452, 48.836442383202105]",4.8399961131870715,7030.6,1094.7,5568.2,4009.1,5936.9,1221.1
3,"[2.448688956496777, 48.83644575967836]","[2.362400474569636, 48.86347965501146]",6.99280493995376,8452.1,1176.9,8333.1,5999.7,8079.2,1663.3
4,"[2.3749379828427446, 48.84747041530029]","[2.355282971290765, 48.849364984924506]",1.4535476708780712,2070.8,367.0,1934.1,1392.5,2416.7,483.3
5,"[2.2444698961467915, 48.86693106401465]","[2.285663113353442, 48.85166503495287]",3.4587520672603267,5566.0,830.9,4720.2,3398.5,,
6,"[2.3423528994225307, 48.81954288825731]","[2.320457263823926, 48.867179988137686]",5.534045322047152,6901.2,1121.9,6507.9,4685.6,7180.4,1493.9
7,"[2.2422455119785423, 48.85414883594705]","[2.275489280377216, 48.85435870724688]",2.4323480552101024,3144.4,436.6,2833.7,2040.2,3169.7,643.5
8,"[2.441395401960506, 48.83642375723276]","[2.4440246428222627, 48.84009880126126]",0.451685356033056,1519.2,258.5,1001.7,721.2,1032.3,221.4
9,"[2.335258842043728, 48.886695471678856]","[2.2941705518969124, 48.84676854739728]",5.361271700440932,6471.8,1170.7,6381.5,4594.6,6617.9,1378.5
10,"[2.2822583519973114, 48.87944848163464]","[2.3585891083152, 48.83222499099273]",7.665463756674204,9106.8,1463.1,9148.2,6586.6,9780.4,2030.7
11,"[2.408661799134188, 48.84311544975795]","[2.411361356503809, 48.865357810554144]",2.4811115744538275,4097.1,497.0,2745.9,1977.0,2795.7,604.2
12,"[2.3772192537580543, 48.83752885542607]","[2.3549494334099697, 48.84731756131702]",1.9597812266426269,3885.3,550.1,2555.6,1840.0,3675.1,918.8
13,"[2.368608264109055, 48.89519886321099]","[2.3034226489183878, 48.84587281003763]",7.267307082905765,9665.1,1608.9,8784.0,6324.4,10014.2,2064.2
14,"[2.2493139670186277, 48.86551616407749]","[2.4097540043782804, 48.850547800225264]",11.854914952379577,18445.4,1599.2,13912.3,10016.7,13667.5,2900.4
15,"[2.2541302007551614, 48.8718203697271]","[2.38510005279789, 48.833189993524336]",10.501282796763855,18208.5,1662.5,12305.8,8860.1,12502.4,2858.8
16,"[2.3919229178085986, 48.85067430713565]","[2.243655834478162, 48.867692777285896]",11.01053239490874,13461.3,1839.3,12496.9,8997.6,,
17,"[2.336432732529924, 48.86301998727044]","[2.319385665772034, 48.84106036946151]",2.7419132049143546,4202.4,704.2,3494.7,2516.1,3422.4,840.9
18,"[2.354798294904422, 48.8183962509588]","[2.2723540989677167, 48.83204470647495]",6.223301888584288,6738.7,610.7,7186.4,5174.1,7513.4,1759.9
19,"[2.308382313321204, 48.84301041120504]","[2.3852886951514973, 48.86759766395536]",6.255689604549297,7637.0,1271.3,7155.2,5151.7,7393.5,1498.9
20,"[2.261893743544117, 48.86337937903218]","[2.4078684415381986, 48.82723861346509]",11.412877332181946,16227.6,1397.2,13543.5,9751.2,12816.5,2657.1
21,"[2.2732392274024837, 48.871281039877886]","[2.328941919089511, 48.87593252364195]",4.106540011830924,4344.2,680.9,4656.9,3352.9,4765.0,994.1
22,"[2.407410572828631, 48.87820337842802]","[2.429548196308012, 48.82767113318454]",5.847720399382005,,,6589.5,4744.4,7120.8,1444.8
23,"[2.35656146436873, 48.83345688750009]","[2.329502320982957, 48.83944138103289]",2.089258384080881,2969.4,512.4,2484.1,1788.5,3148.4,761.9
24,"[2.346580368521603, 48.87656553148227]","[2.358013332392795, 48.852205816259215]",2.8348441302439515,4701.4,806.5,3617.8,2604.8,3779.6,797.4
