,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[-8.663715607854783, 41.173727335511096]","[-8.584045627705455, 41.14839734668775]",7.239867361370952,10179.3,962.4,9401.0,6768.5,12286.3,2739.2
1,"[-8.576597639575876, 41.17155473527113]","[-8.660350147063532, 41.149759302324846]",7.418385679550325,9393.7,900.9,9870.6,7106.7,10208.5,2313.1
2,"[-8.668635857809877, 41.147547000115935]","[-8.664980507092574, 41.17418624971917]",2.977913562620303,5173.1,522.6,4316.1,3107.5,5531.8,1188.7
3,"[-8.580587345589375, 41.16413696214106]","[-8.59612274874808, 41.1403430214616]",2.948207888871336,6151.0,590.7,4517.9,3252.9,4294.3,934.7
4,"[-8.641542148602422, 41.15256856372323]","[-8.594434804743942, 41.15556861060766]",3.958070075082026,5561.9,528.9,4976.1,3582.7,5277.8,1264.6
5,"[-8.656685235905941, 41.152780855864776]","[-8.621814548293703, 41.16679306736325]",3.309015831637287,4683.0,531.9,4332.4,3119.2,5330.9,1196.1
6,"[-8.646127944043048, 41.16995885152841]","[-8.58717725732788, 41.14440275966771]",5.694968473086235,7468.2,782.5,7930.4,5709.8,9224.7,2122.5
7,"[-8.567943781389967, 41.15152694427545]","[-8.595063857604897, 41.15923634950745]",2.4269781039160216,4606.5,550.4,3391.4,2441.8,3514.9,866.0
8,"[-8.603862446975024, 41.14702000948997]","[-8.581992236704847, 41.17001869392838]",3.145195715868763,4685.3,501.5,4561.3,3284.1,4403.7,910.1
9,"[-8.662776866333544, 41.148514100279215]","[-8.67397801498036, 41.15375856118734]",1.1043627253419617,1768.1,200.6,1508.3,1086.0,1883.1,376.6
10,"[-8.597484790770366, 41.18079341088016]","[-8.600875941920403, 41.179021854212834]",0.3454715831035139,2520.7,232.0,459.2,330.6,2685.4,537.1
11,"[-8.63755738679767, 41.16665806526793]","[-8.67053446862809, 41.17102521816621]",2.80272045498951,4802.5,520.7,3558.0,2561.6,4713.5,986.9
12,"[-8.618046756377248, 41.16681804176056]","[-8.61915298492446, 41.17658412309932]",1.0898789802658428,2802.5,343.1,1316.8,948.1,1636.3,413.1
13,"[-8.626965799117034, 41.163481591126654]","[-8.608777758106058, 41.15613944099876]",1.7276954121900294,2589.5,223.8,2414.8,1738.6,2715.5,622.6
14,"[-8.587619131770774, 41.16820144431991]","[-8.6618882351694, 41.16403338158444]",6.234170999595296,7542.1,715.0,8093.5,5827.2,8180.6,1777.2
15,"[-8.605660394309917, 41.17006539236537]","[-8.592828642565772, 41.1471581010508]",2.7644343848844892,4120.6,505.5,3767.2,2712.3,4118.9,1153.2
16,"[-8.648711248837007, 41.180956144314194]","[-8.617587794324425, 41.1624660055289]",3.3186615601035867,4522.4,335.8,4325.3,3114.2,4730.1,991.4
17,"[-8.674638403890198, 41.16185667829713]","[-8.606565696116462, 41.1811919057396]",6.089900807574507,7953.0,717.3,7868.3,5665.1,8848.5,1917.9
18,"[-8.622240272090666, 41.14423554843702]","[-8.679585725897173, 41.154209006767154]",4.927919562729392,5509.2,488.9,6228.9,4484.7,5494.3,1236.8
19,"[-8.613436596524673, 41.14290177809784]","[-8.643882530571533, 41.16226884927295]",3.3369947635758304,5253.7,546.4,4313.5,3105.6,5667.8,1280.0
20,"[-8.668297190829808, 41.1714182423386]","[-8.611430431572314, 41.14175659379789]",5.7917540902647815,7865.2,776.2,7094.2,5107.7,8783.4,1948.1
21,"[-8.570702900243774, 41.16096285960479]","[-8.612900534757918, 41.1479836233756]",3.8163251507235154,5859.2,606.7,5073.0,3652.5,5346.7,1215.1
22,"[-8.63344597043401, 41.14900444846934]","[-8.599889761336643, 41.14429397946628]",2.858161406998992,4079.8,465.9,3919.4,2821.9,3875.6,1060.5
23,"[-8.649608262295022, 41.1514500499876]","[-8.655410287959377, 41.16910793606679]",2.0226535296527426,3280.7,403.5,2334.5,1680.8,2758.1,693.2
24,"[-8.631394730039167, 41.15907047676769]","[-8.567370251413553, 41.16168608007533]",5.367716738761119,7101.9,733.1,7698.3,5542.7,8319.4,1744.4
25,"[-8.597724561126993, 41.17365361191001]","[-8.662082392168697, 41.14863586237793]",6.0634738128910515,8254.0,839.7,7736.5,5570.2,8663.5,1823.1
26,"[-8.655385283420895, 41.17143382117928]","[-8.657701177471244, 41.17423381746807]",0.3667553913089764,556.3,125.9,552.2,397.5,556.3,111.2
27,"[-8.649810823820241, 41.17997733039085]","[-8.584473056728978, 41.18058139687982]",5.468525237556954,6622.4,527.6,6981.5,5026.6,7628.5,1639.9
28,"[-8.601437312433623, 41.16726515702523]","[-8.654912003151534, 41.15680605583837]",4.625145355704899,6817.2,780.1,6725.5,4842.3,6984.6,1469.6
29,"[-8.657208957411013, 41.1730036681243]","[-8.572926916083022, 41.16796502794525]",7.076825402272738,9404.5,901.9,9428.7,6788.6,9829.7,2244.1
30,"[-8.635546363801096, 41.1493651308588]","[-8.639087784712034, 41.16600462863815]",1.8738316680851823,3030.2,290.8,3125.3,2250.2,3055.1,836.2
31,"[-8.611235268603297, 41.17232078992163]","[-8.66937922084182, 41.167896441997655]",4.891620585774003,6276.0,642.0,5768.4,4153.1,6991.9,1484.3
32,"[-8.60796922751851, 41.18281574407161]","[-8.645533709675227, 41.15973175267179]",4.058888748859395,6896.4,687.2,5447.6,3922.2,6496.6,1399.7
33,"[-8.562339414904384, 41.15257138767527]","[-8.672753492556437, 41.16523788862362]",9.35024816790906,12696.9,1062.2,11395.1,8204.4,12272.7,2577.5
34,"[-8.621277956310127, 41.16411391813127]","[-8.638386717013189, 41.16074902749279]",1.4802877548561026,2035.2,294.9,2161.2,1556.0,2478.4,579.3
35,"[-8.591813695186051, 41.16043559508173]","[-8.59985963195716, 41.162484295440834]",0.7110376857955965,1205.7,140.3,1165.3,839.0,1298.4,312.8
36,"[-8.619738391127648, 41.14485321832766]","[-8.655533917155244, 41.16795054853979]",3.946784236214979,6625.1,723.8,5765.8,4151.3,7332.0,1756.7
37,"[-8.581959573098079, 41.17806536683295]","[-8.647684839060481, 41.16496597953262]",5.690843947191734,8035.0,688.9,6641.1,4781.5,7591.2,1671.8
38,"[-8.622855530497988, 41.1565329018768]","[-8.598256258777322, 41.15750621213257]",2.0622839714036703,3871.3,400.8,3101.0,2232.7,3588.4,917.1
39,"[-8.632683978972704, 41.1468464222311]","[-8.61222690806477, 41.17685885015335]",3.7509823992203186,4846.4,528.8,4844.0,3487.6,5054.9,1056.1
40,"[-8.670321155470633, 41.150355178552246]","[-8.569706763001129, 41.16608949664365]",8.603027613330324,11756.9,1082.2,11373.0,8188.5,12303.7,2782.9
41,"[-8.605721927053091, 41.184439100618185]","[-8.647420025356555, 41.15208046864102]",5.012882012194936,7112.6,648.6,6627.6,4771.8,7160.1,1448.1
42,"[-8.65971875200779, 41.150603675399545]","[-8.616327506460653, 41.14547666804582]",3.6776529817019084,4152.4,373.0,4768.3,3433.1,5219.3,1212.5
43,"[-8.665630137799427, 41.17338306299904]","[-8.609415228892658, 41.18156609802045]",4.792003574971403,6413.5,575.5,6601.5,4752.9,7023.3,1598.2
44,"[-8.588752178988921, 41.14593725459223]","[-8.625868619997593, 41.164997149739854]",3.7613746296787607,5401.2,473.4,4986.1,3589.9,5765.9,1319.9
45,"[-8.568169085495615, 41.17098686959879]","[-8.646503858488115, 41.177934403547134]",6.601769529317655,9026.8,725.2,8814.3,6346.2,9434.7,2047.3
46,"[-8.628014660423638, 41.15243762887474]","[-8.592363477608899, 41.14284715176367]",3.169896399721896,5065.2,555.0,3920.9,2823.0,4833.0,1303.4
47,"[-8.584325469837482, 41.18120061759634]","[-8.644689520744551, 41.16574804324777]",5.3365715958179685,6606.9,520.8,6726.2,4842.8,7275.6,1558.0
48,"[-8.615293469843536, 41.14652637698964]","[-8.639556682348779, 41.151609608095335]",2.1087188736199374,2967.3,420.5,3272.3,2356.0,3259.6,869.5
49,"[-8.675715161360678, 41.15670467879659]","[-8.597953369782648, 41.15844118501482]",6.512996944590053,7860.9,738.3,8615.9,6203.4,10344.2,2368.7
50,"[-8.664336913223107, 41.17437214497813]","[-8.580328768346545, 41.15092744773106]",7.5001685633207655,10199.5,965.4,10224.0,7361.1,12862.1,2863.4
51,"[-8.604091090617025, 41.149272473293976]","[-8.574973336601952, 41.16680269754419]",3.1212167183845696,4783.6,545.6,4270.9,3075.0,4696.4,1039.0
52,"[-8.596563522036968, 41.140548177918966]","[-8.663170464661299, 41.155319196488456]",5.813907969319,6524.0,660.9,6706.0,4828.3,6789.7,1454.5
53,"[-8.656929576478532, 41.17396272063928]","[-8.617086878936354, 41.17401664401319]",3.3347579364439235,7502.3,677.4,4718.2,3397.0,5135.5,1119.2
54,"[-8.652084144335818, 41.1620103965884]","[-8.590456864889553, 41.15091513954049]",5.304913331917802,8065.6,810.6,6301.2,4536.7,8516.7,2019.7
55,"[-8.61911733264104, 41.14844263795721]","[-8.598135525720227, 41.1617205001909]",2.294697521515935,5110.1,433.6,3115.1,2242.8,5391.5,1124.9
56,"[-8.675576646445464, 41.15676700845067]","[-8.592548347024767, 41.143029980593305]",7.117688889814248,8581.6,927.2,8824.9,6353.8,8930.4,2232.8
57,"[-8.672778276659061, 41.15658911630314]","[-8.65705592992543, 41.171654763896]",2.1303903803393394,2815.9,314.4,2948.7,2123.0,3202.6,640.5
58,"[-8.589382310127831, 41.15624977704901]","[-8.656264173210982, 41.17440951041409]",5.951633910950732,7870.6,784.3,8024.2,5777.3,9496.4,2053.0
59,"[-8.56789542081095, 41.15520757037771]","[-8.593848393859352, 41.18110818360752]",3.607469597674901,6504.6,556.5,4990.0,3592.7,7167.3,1515.3
60,"[-8.606026780829477, 41.14913121852279]","[-8.570031147801018, 41.16110555195803]",3.294664059866081,4360.6,465.9,4438.3,3195.5,4767.9,1064.7
61,"[-8.606555375715951, 41.14379314579986]","[-8.619170546362403, 41.14258265888586]",1.064901127936468,1998.3,307.5,1366.7,984.0,1587.4,484.6
62,"[-8.685138450383015, 41.16603144305616]","[-8.605521629745454, 41.18420635378164]",6.9633689793285,8284.2,652.9,8883.8,6396.2,9893.1,2107.3
63,"[-8.632415484260266, 41.16567861645096]","[-8.609776508448931, 41.15172063535442]",2.449685657566657,4283.3,467.8,3167.7,2280.7,3946.4,1055.0
64,"[-8.613127724974259, 41.15030569037587]","[-8.566994530724529, 41.16122237467764]",4.048590451459944,6114.3,723.1,5710.6,4111.5,5807.8,1281.8
65,"[-8.666333102862465, 41.17505197473461]","[-8.664028700164263, 41.16787551355768]",0.8209658636665538,1890.8,231.4,1284.8,925.0,1423.6,379.6
