,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[25.948624996247723, 43.84282434884661]","[26.006061744545963, 43.81261777978074]",5.701823150085307,7989.6,800.8,7659.5,5514.8,8510.9,1706.8
1,"[25.943605676551854, 43.81462710880739]","[25.95385561659884, 43.83469910779655]",2.3785588899464534,4102.7,368.0,2943.8,2119.5,4012.7,828.6
2,"[25.92891857322445, 43.796682452943934]","[25.93853538894037, 43.83055382333321]",3.844556721607143,5625.3,443.2,6317.5,4548.6,5274.8,1074.4
3,"[25.998377425737026, 43.87343122116302]","[26.00032661184019, 43.78059702613432]",10.323875696167653,13775.5,1045.5,15475.0,11141.9,18653.4,4076.6
4,"[25.94936458004227, 43.84008855992399]","[25.98195969070554, 43.8127340557258]",4.011109970843619,5766.3,455.5,5111.2,3680.0,6930.4,1411.9
5,"[25.980147430646785, 43.79304044545533]","[26.004783216376268, 43.83840578609343]",5.417848003219247,8937.8,934.6,8705.6,6268.0,8486.1,1987.1
6,"[25.956059020205533, 43.82984505336994]","[25.989653052102472, 43.85180545669722]",3.6362014205539883,5470.4,409.9,4683.5,3372.1,4492.8,966.3
7,"[25.947862364217837, 43.84142620344134]","[25.98780361091797, 43.86670143339229]",4.260938090324975,5182.6,358.4,4690.6,3377.2,5545.9,1113.1
8,"[25.996193053182644, 43.85116923500093]","[25.947395753853403, 43.8321854761861]",4.44654215587896,5592.1,406.1,5423.2,3904.6,4933.2,1018.0
9,"[25.93099650048609, 43.81931953447505]","[25.92814206317828, 43.79617245957217]",2.584009516502376,4588.1,368.6,4848.4,3490.9,4922.1,1140.5
10,"[26.006922450032608, 43.7872015052136]","[26.01432912449061, 43.852893496115655]",7.328746618866837,10979.7,831.2,12982.8,9347.6,11019.8,2289.7
11,"[26.01471604189961, 43.87486240092485]","[25.95495070928629, 43.855010980935326]",5.2753398199823325,6582.9,526.5,6134.3,4416.7,7170.3,1503.3
12,"[25.97429660355191, 43.843909169148304]","[25.96540536874662, 43.84969172598053]",0.9601196950057629,1390.3,188.6,1362.1,980.7,1416.3,283.2
13,"[25.95213675818836, 43.844358829437496]","[25.977668767598757, 43.85794273817344]",2.5442309569433434,3362.3,234.9,3011.5,2168.2,3731.7,761.8
14,"[26.02333025662579, 43.85477718535067]","[26.02056281514885, 43.87903868533128]",2.7068626794274704,3892.8,417.3,3752.4,2701.7,4734.6,1005.8
15,"[26.000159434474263, 43.84893811503872]","[25.98624463577383, 43.846905192112295]",1.1385176588755082,3985.1,328.6,4470.7,3218.9,4403.9,935.0
16,"[25.902060029721127, 43.76522435347867]","[25.942722375331464, 43.83542198646473]",8.460341288894677,9330.2,550.8,9927.9,7148.1,10988.3,2331.4
