,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[-5.998786405709933, 37.378635315889824]","[-5.996650837805939, 37.38239658872673]",0.4588306305245201,699.2,104.8,652.7,469.9,826.3,209.0
1,"[-5.973464029563991, 37.34701457900623]","[-5.906608600440439, 37.39939073916727]",8.29580441707099,13285.0,1169.8,10900.7,7848.4,13771.5,2847.7
2,"[-5.964375609754788, 37.381990882552536]","[-5.965332040174761, 37.418745875172064]",4.087841858746333,5453.7,575.2,5497.3,3958.0,5730.2,1157.1
3,"[-5.932042143539998, 37.40146674172527]","[-5.994715241198722, 37.392014754427336]",5.635337434181155,10497.2,1171.1,7387.0,5318.6,7934.8,1722.6
4,"[-5.971332010742805, 37.402766309962274]","[-5.964515506473512, 37.38744240810761]",1.807214984174545,2319.4,246.2,2417.7,1740.7,2567.6,515.1
5,"[-5.942074453656407, 37.40316971572922]","[-5.973640082037924, 37.41944699682035]",3.3239206823134393,4570.2,446.6,5262.9,3789.2,5621.0,1154.1
6,"[-5.9851732907334005, 37.44252448640707]","[-5.896695613636966, 37.38338752468181]",10.212918170138533,16354.2,1389.7,14770.1,10634.4,15820.1,3222.2
7,"[-5.979304173266699, 37.40754494797142]","[-5.938008557383017, 37.3823304321992]",4.601025636069126,5359.8,588.4,5719.0,4117.7,5671.3,1134.2
8,"[-5.938239395745559, 37.39304592398333]","[-6.012545787388541, 37.36543580498965]",7.247998390943973,12435.6,971.2,10539.1,7588.1,10594.9,2134.3
9,"[-5.933959402753633, 37.402726080298]","[-5.955952114024376, 37.41774320463377]",2.5615364363791366,4001.2,388.6,4614.1,3322.1,5708.8,1142.9
10,"[-5.995424010781759, 37.38226621147656]","[-5.967919461664699, 37.321675460575904]",7.162605461531702,7880.3,891.1,8284.7,5964.9,8234.9,1683.0
11,"[-5.9240145994807945, 37.40197581331027]","[-5.989004938590238, 37.41324325003964]",5.875466419928822,9038.2,831.6,7656.7,5512.7,7842.6,1568.5
12,"[-5.957645368488328, 37.37847904055359]","[-5.9797580306994185, 37.380507138175126]",1.9668250357068298,2520.6,287.1,2388.6,1719.7,2534.4,506.9
13,"[-6.002558683927842, 37.3885645793766]","[-5.951301012203263, 37.3558297775165]",5.810829120624679,6614.5,746.7,7491.9,5394.1,7230.8,1473.2
14,"[-6.00189663608074, 37.41567960572586]","[-5.975364053039908, 37.34254351742595]",8.463542199980143,12153.5,1082.4,10010.4,7207.4,9600.6,1923.5
15,"[-5.989883525233488, 37.379473370956426]","[-6.007944738076761, 37.37897684486068]",1.596831929326031,2653.7,322.1,2190.4,1577.1,2711.2,571.9
16,"[-5.934315784199764, 37.4198883907297]","[-5.968743982290007, 37.357593874899976]",7.565234239765044,10234.2,880.9,10033.1,7223.8,10682.2,2162.6
17,"[-5.978038996961792, 37.40805708123069]","[-5.956670165504006, 37.40040850394556]",2.0702661324558904,2633.4,400.8,2532.4,1823.3,2723.0,572.1
18,"[-5.973429488595255, 37.369006465695016]","[-5.986825799870675, 37.43028571673327]",6.915935254851322,9227.9,931.3,8249.0,5939.2,9093.3,1840.1
19,"[-5.989977566330085, 37.35250439387626]","[-5.968095207260815, 37.39575162124952]",5.183071074540601,6528.9,609.6,6377.2,4591.5,6660.5,1332.7
20,"[-5.981657278317055, 37.41748971681073]","[-5.956113065412256, 37.36486367573901]",6.271818320946746,8942.2,884.6,7991.4,5753.7,7525.8,1601.6
21,"[-5.942304992768518, 37.36932990520647]","[-5.974957788488751, 37.34792116628212]",3.741099017289512,5723.4,660.8,4995.3,3596.6,6305.0,1296.9
22,"[-5.974360844614271, 37.341333313566494]","[-5.981599902351654, 37.39838545161449]",6.37608124774208,8503.6,753.0,7399.4,5327.5,7526.2,1512.8
23,"[-6.003782885668767, 37.41061203617672]","[-5.945201842677439, 37.38587301821732]",5.8605866946509035,7787.7,880.5,7849.2,5651.4,8116.3,1623.2
24,"[-6.009202463885275, 37.4013700507442]","[-5.985852975936415, 37.34686601318632]",6.402162741564823,9300.5,775.5,7633.0,5495.7,7771.0,1593.3
25,"[-6.005991074729337, 37.39628869092735]","[-5.99238726074582, 37.40414688729799]",1.485787695994397,2773.8,426.6,2016.0,1451.5,2269.4,546.0
26,"[-5.958393708674075, 37.40081620075281]","[-5.993064780917535, 37.39951293327379]",3.0660847233077675,4734.2,783.9,4123.2,2968.7,4744.7,1113.9
27,"[-5.993497178912974, 37.36757812821558]","[-5.977767333064775, 37.35154969277168]",2.2603763186348367,2603.4,282.7,2962.7,2133.1,2905.5,581.1
28,"[-5.984565051824734, 37.44035820567132]","[-5.971731259137732, 37.39763326397297]",4.884120092948505,6076.2,719.6,6464.1,4654.1,7078.6,1471.1
29,"[-6.0213316682128815, 37.34348671849173]","[-5.933557806965881, 37.37966250775857]",8.738381250123538,17673.1,1387.7,13307.8,9581.5,13836.0,3163.9
30,"[-6.01000822539997, 37.402412676467534]","[-5.940027715458385, 37.40610550473404]",6.1949918444933605,8615.2,895.5,7914.9,5698.7,8747.5,1813.0
31,"[-5.955108468045787, 37.41787936011079]","[-5.979401584820256, 37.35490545287114]",7.3239330783705405,10271.5,884.5,9071.0,6531.0,9051.9,1820.5
32,"[-5.978283558859398, 37.330370153077695]","[-5.988580640256657, 37.3514688914337]",2.516489141973078,4962.2,576.0,3355.3,2415.8,3430.8,780.9
33,"[-5.947057111783053, 37.40824705888314]","[-5.9291940398444405, 37.39397384871681]",2.2380147180787002,3067.4,318.7,3036.4,2186.2,4046.2,855.7
34,"[-5.970720545007945, 37.34053050398185]","[-5.995868999614861, 37.371783403391774]",4.125231501712116,6681.4,541.8,5408.1,3893.8,5091.3,1020.6
35,"[-5.950475447720287, 37.41365433611912]","[-5.959666570531931, 37.34455922395112]",7.725828820223362,10912.9,888.9,12031.4,8662.5,12359.6,2477.7
36,"[-5.996502557249282, 37.39112080696981]","[-5.999236173047708, 37.38551375039584]",0.6686182104834422,1420.8,249.4,920.3,662.6,1771.9,406.6
37,"[-5.972699629144051, 37.436548231035054]","[-5.924106403353694, 37.39750573767164]",6.104432880430125,8331.2,583.2,9411.5,6776.2,10427.3,2105.3
38,"[-5.987668620002335, 37.36764968213104]","[-5.973942301012779, 37.39840904308023]",3.6289394319212094,4477.2,422.5,4565.9,3287.4,5257.5,1054.6
39,"[-6.015223524629204, 37.38134987938125]","[-5.947808437306359, 37.41811609987777]",7.223366491618857,14852.0,1173.1,8888.7,6399.8,10012.8,2053.9
40,"[-5.990923033221172, 37.39599861867953]","[-5.959013548010663, 37.36798831869808]",4.201161199132425,6979.5,897.2,5141.5,3701.8,7113.1,1480.7
41,"[-5.947717900562447, 37.38010713688546]","[-6.010178406786768, 37.38969293229122]",5.620546828815364,7870.8,865.2,7280.0,5241.6,9410.9,2141.1
42,"[-5.969438622803418, 37.32629017411112]","[-5.9771364685896105, 37.41467258360872]",9.851190512493591,11696.9,1189.6,11304.8,8139.3,11526.0,2307.9
43,"[-5.93740434420826, 37.39092920347053]","[-5.877418852110862, 37.40899893073547]",5.666970694111463,14279.0,912.0,9568.1,6889.0,9653.6,2098.2
44,"[-5.994918100722738, 37.39902406362645]","[-6.006981804096251, 37.37646183451703]",2.72581672767789,4430.8,684.7,3426.9,2467.4,4594.4,1010.6
45,"[-5.979089096796288, 37.36174055378345]","[-5.978088083370182, 37.3907927342551]",3.2316657973883656,4066.2,393.5,4217.6,3036.6,4594.4,923.6
46,"[-5.948126952788218, 37.40339032281273]","[-5.990367900902096, 37.38908655852811]",4.056361818122268,5272.0,748.7,5105.2,3675.7,5618.5,1166.5
47,"[-6.004468963788217, 37.40611306936285]","[-5.972207128886909, 37.35677152047771]",6.182851162631778,9060.9,986.4,7431.0,5350.2,8259.1,1651.8
48,"[-6.0087872850252015, 37.37985224253988]","[-5.974239237887749, 37.39997744260399]",3.7846813457401156,6194.7,655.5,4410.9,3175.8,6065.7,1214.4
49,"[-6.014434230348971, 37.396961774975175]","[-5.982381555824772, 37.39360367834849]",2.856061915285897,4741.2,560.4,3677.6,2647.8,4739.7,1034.1
50,"[-5.985685524494362, 37.39242318100995]","[-5.966126877774268, 37.32733188125345]",7.4413876702336585,8427.2,967.2,8621.1,6207.1,8831.5,1882.1
51,"[-5.904754609807317, 37.423674395111824]","[-5.984172050677707, 37.38978177354159]",7.9629776668670385,10392.9,917.5,18051.5,12997.0,18634.1,4170.1
52,"[-5.958097262636431, 37.36052062805863]","[-5.979618481942345, 37.41754519900173]",6.619775665966757,10750.1,921.8,8847.4,6370.1,11506.0,2372.2
53,"[-5.973663339655977, 37.37105792105584]","[-5.972838035161441, 37.38398708480064]",1.4395057834528535,1683.7,176.4,1672.8,1204.4,1802.4,360.5
54,"[-5.966627085857102, 37.31723460668985]","[-5.982284693034186, 37.344466036874834]",3.329458695725766,5015.8,439.2,4355.0,3135.5,4685.5,950.7
55,"[-5.9433856701059335, 37.39353390921963]","[-5.889767254983698, 37.40655602378405]",4.952768313948408,6666.9,714.0,6222.9,4480.4,6655.7,1349.0
56,"[-6.003580763023945, 37.39431036961653]","[-5.897788752452595, 37.38480997830947]",9.405936230331212,11743.0,1224.5,12104.2,8714.9,13524.8,2734.0
57,"[-6.014301987714196, 37.35311237552668]","[-6.000916749892963, 37.37417767841538]",2.624121283644994,5271.2,674.9,4301.1,3096.7,5540.3,1249.8
58,"[-5.970860047722612, 37.406504530776175]","[-5.976288226627067, 37.40405505179505]",0.5514260421335868,1352.4,249.2,678.1,488.3,1395.2,283.5
59,"[-5.939180053156146, 37.371285057280645]","[-5.9810827142417455, 37.43254436100904]",7.7524015700516165,10071.2,1072.3,10552.0,7597.4,10501.2,2137.7
60,"[-5.966356177848415, 37.40738671065201]","[-5.981815443724916, 37.40557755774433]",1.380213241322209,3419.2,459.0,1920.2,1382.5,3112.3,622.4
61,"[-5.9933771243490215, 37.38381201392109]","[-6.007538659924713, 37.40981349698316]",3.1502787057400874,5087.2,604.6,4046.9,2913.7,4382.2,945.9
62,"[-5.943372250475483, 37.40226729522784]","[-5.980250745646506, 37.40511892382063]",3.2728930229840514,6035.6,747.6,4164.1,2998.1,4971.0,1050.4
63,"[-5.950936526153832, 37.407553319725416]","[-5.943277887845197, 37.40804153954757]",0.678629339302817,1316.4,165.6,1751.0,1260.7,3103.5,623.5
64,"[-6.0155332025650825, 37.373552746819904]","[-5.980602270905634, 37.4401690257741]",8.024260787939957,12475.9,1086.1,10524.9,7577.8,10382.9,2127.3
65,"[-5.996248989666689, 37.4040959203836]","[-5.972301368960525, 37.405851059424975]",2.1242538147417,3637.9,450.8,2875.4,2070.3,3105.9,621.4
66,"[-5.951775719033094, 37.35682547748726]","[-5.965412338889877, 37.403679133427794]",5.347405076904978,9434.6,1033.4,7084.8,5101.0,10258.3,2061.5
67,"[-5.8899364922305, 37.40226401139162]","[-5.96124544253106, 37.41464612485779]",6.447088332745428,8095.3,944.6,10012.6,7209.0,10451.0,2139.9
68,"[-5.99604983195974, 37.396282121238656]","[-6.004411363786749, 37.4067757415633]",1.380955845648123,3367.2,536.6,2022.9,1456.4,2249.0,502.3
69,"[-5.945829886563448, 37.38602767268561]","[-6.004896710875822, 37.396518135879205]",5.347056333594606,8439.7,1034.9,6624.2,4769.3,7577.6,1522.0
70,"[-5.971091919435209, 37.33917186137131]","[-5.96725082646056, 37.428500520142165]",9.938689662510217,14676.2,1180.5,11697.7,8422.2,11750.9,2355.7
71,"[-5.9990262487812815, 37.38009225979225]","[-5.9986847838478505, 37.34835952928033]",3.528647686334776,4405.4,450.7,4335.3,3121.4,4365.3,901.2
72,"[-5.941253414285609, 37.38709659789252]","[-5.914864831704058, 37.40719976996613]",3.229706896528134,7086.5,564.6,5366.0,3863.5,5324.7,1122.5
73,"[-5.9845361465482005, 37.40556912397828]","[-5.989528181268165, 37.411870875079785]",0.8279023699186807,1865.3,242.0,1369.5,986.0,1826.7,365.3
74,"[-5.919371987518294, 37.39046375743822]","[-5.9799848651376895, 37.3812087916749]",5.453226729999093,6293.5,626.6,7992.9,5754.8,8539.9,1735.8
75,"[-5.89860095392673, 37.38261267274548]","[-6.012771155133514, 37.37953558004276]",10.09355731742273,13383.9,1298.5,13099.1,9431.2,13539.6,2789.8
76,"[-5.93627241811892, 37.37362841650074]","[-5.907173339413577, 37.42230334176266]",5.991808176240624,9110.8,754.8,13705.4,9867.8,15557.0,3542.0
77,"[-5.97575211414094, 37.34332778084478]","[-6.016349221155493, 37.34846533632244]",3.633912053674288,,,9129.6,6573.2,8488.2,1952.9
78,"[-5.940760753722738, 37.44643132961489]","[-5.96674682888425, 37.36868317774192]",8.94469854752224,12101.6,1061.6,12176.2,8766.8,12249.7,2500.3
79,"[-5.960255415116973, 37.40151449476072]","[-5.945223009940391, 37.40746912924717]",1.4837380452779787,3644.2,397.5,2150.9,1548.7,3319.7,708.3
80,"[-5.993954463814794, 37.40045692311821]","[-5.970802135321762, 37.3380498977925]",7.234680745825059,10593.8,1073.2,8241.1,5933.5,8820.3,1866.2
81,"[-5.986107385642443, 37.3629758929258]","[-5.978130084184262, 37.35149261710401]",1.4586156625581104,1743.3,222.2,1823.5,1312.9,1724.5,344.9
82,"[-5.872409923784777, 37.3915598352548]","[-5.980843125773464, 37.4408270743445]",11.032593394122818,19607.7,1550.5,16475.8,11862.5,18085.5,3835.1
83,"[-5.92750559931138, 37.39583247678098]","[-5.951134598337616, 37.40761242522685]",2.464190387741787,5495.3,555.0,3844.9,2768.3,5445.2,1089.0
84,"[-5.980305855441264, 37.348390827250256]","[-5.976063479707396, 37.402277353633984]",6.003623524638572,7300.3,714.8,7406.9,5332.9,7444.3,1512.3
85,"[-5.984344159762115, 37.393851317843904]","[-5.930687890929264, 37.40096446958109]",4.8054233514600755,6969.2,706.5,6462.2,4652.7,7357.8,1478.7
86,"[-5.969303154235695, 37.37015703290144]","[-5.96658734967914, 37.32749982743427]",4.749335951294651,6293.0,613.8,6480.9,4666.2,6791.2,1377.3
87,"[-6.003189034868925, 37.33845574640932]","[-5.955103405907719, 37.39312915188212]",7.4174161689299645,12415.4,1023.1,10370.9,7467.0,10628.6,2362.0
88,"[-5.961310010413801, 37.37138696765253]","[-5.904267382899648, 37.38213495418936]",5.1801644252271695,6851.6,696.4,6774.9,4877.9,7500.9,1507.1
89,"[-5.951012045366488, 37.398124759898366]","[-5.937391688421887, 37.38874343979802]",1.5924831033617173,3259.3,415.5,2761.3,1988.1,3308.4,677.0
90,"[-5.999106346198188, 37.39325555088192]","[-5.937896364353481, 37.398504290627]",5.438679254696019,8989.4,992.4,6845.9,4929.0,7907.5,1737.2
91,"[-5.9654405564068185, 37.38564964222873]","[-5.9528094269227125, 37.406647594728135]",2.587791951880433,3296.7,316.2,3524.0,2537.3,3474.8,694.9
92,"[-5.979127730259124, 37.375903230671206]","[-5.9816135591418345, 37.37195108306718]",0.4912995958383197,1077.9,99.3,739.7,532.6,1062.0,212.4
93,"[-5.920095831077333, 37.41112224846236]","[-5.966549741843282, 37.39673750503468]",4.404018942301672,4958.0,435.3,5795.1,4172.4,5979.2,1195.8
94,"[-5.937874090543837, 37.39972249603668]","[-6.006206149507964, 37.381905336337546]",6.353624581537394,9770.0,1134.5,8042.3,5790.4,8809.4,1850.9
95,"[-5.99683049838358, 37.40796214713941]","[-6.006498892955025, 37.40713813450556]",0.8588717790162629,1149.5,139.7,1181.9,850.9,1202.9,240.6
96,"[-5.99564770317459, 37.39665629770143]","[-5.975267810541652, 37.38154735107527]",2.462598215450197,5928.0,735.5,3014.7,2170.6,3908.1,942.5
97,"[-5.951078229751276, 37.36616085693709]","[-5.9184043321771735, 37.40421384196913]",5.122264201394777,7891.7,704.6,7034.2,5064.6,8897.9,1790.5
98,"[-5.93705424157964, 37.40416187055619]","[-5.9142480804170825, 37.41052483547122]",2.1350252008790136,3299.9,287.0,2641.2,1901.7,2754.0,561.6
99,"[-5.959066834126761, 37.38651105415321]","[-5.903171184156363, 37.42347574754311]",6.4242086411934345,7588.6,606.8,15696.0,11301.0,15634.4,3606.4
100,"[-6.004132307758509, 37.36898906175033]","[-5.997870667646387, 37.36772509108068]",0.5709245857511004,619.7,69.8,776.2,558.9,949.4,189.9
101,"[-5.99382589531846, 37.378964081597005]","[-5.964785050367096, 37.36476532529085]",3.013056167548442,3735.2,393.5,3772.1,2715.9,4210.3,842.0
102,"[-5.950621859025095, 37.37184753944615]","[-5.949004806390156, 37.36100584041751]",1.2139824946960134,3583.6,459.3,2391.5,1721.9,3238.9,700.2
103,"[-5.9084576232970365, 37.379375657540734]","[-5.961244358022776, 37.37629006459314]",4.6768906873116505,6358.3,786.4,5843.0,4206.9,6348.1,1269.6
104,"[-6.004487025962841, 37.390665759490425]","[-5.955268236139414, 37.450083818769]",7.908526696432648,9353.2,737.3,10329.4,7437.1,9744.6,1948.9
105,"[-5.894654148936546, 37.39096495126392]","[-5.920985356345649, 37.41348855693525]",3.4179467808771435,5712.2,628.8,5665.7,4079.2,5677.8,1290.2
106,"[-5.970863839244662, 37.35642934232381]","[-5.9573480911303145, 37.34787560357756]",1.5270554106417968,4926.5,471.3,4341.1,3125.6,4897.5,984.7
107,"[-5.916756049853965, 37.40217471166235]","[-5.949186226487358, 37.39625175839475]",2.9394769643462513,3761.0,378.5,3822.2,2751.9,3898.5,779.8
108,"[-5.988817892253006, 37.36779402167534]","[-5.974896404456908, 37.34916284106007]",2.4095390680359583,2945.5,333.9,3328.7,2396.7,3237.3,667.3
109,"[-5.996398888482565, 37.39430209930189]","[-5.918289708857867, 37.40818178289627]",7.070155686971741,11595.0,1146.1,8506.5,6124.6,9472.5,1981.9
110,"[-5.984078951304999, 37.419948532855805]","[-5.933094430623617, 37.405883441993375]",4.766803369110874,9680.2,730.3,7326.3,5274.8,7861.0,1603.1
111,"[-6.003690028273526, 37.43159554390387]","[-5.9667961029277805, 37.364202431427216]",8.171806845316482,11348.1,1275.2,10849.1,7811.3,11028.6,2346.1
112,"[-5.978196767796783, 37.42724747672232]","[-5.896832980309746, 37.383043556495096]",8.70685371476462,11563.6,1107.9,11777.3,8479.6,12720.7,2544.0
113,"[-6.004681089191007, 37.41391347348874]","[-5.930962721207191, 37.40218682388944]",6.640484566662588,11683.3,773.3,8824.2,6353.3,9551.7,1913.6
