,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[21.355440786902737, 42.01913564745367]","[21.407658908233348, 41.99593870939672]",5.026721274179182,5898.5,657.2,6213.5,4473.7,5901.6,1187.1
1,"[21.351599528697427, 42.00999003509303]","[21.34820242371727, 42.00298782686992]",0.8276587843469554,2392.4,286.5,1637.8,1179.2,1563.9,329.9
2,"[21.43733398002024, 41.97666045060916]","[21.40135044980267, 42.0065391110866]",4.458906552623329,5641.3,609.8,5872.1,4227.9,6784.3,1365.4
3,"[21.400641950712604, 41.995793110837774]","[21.37264116889073, 41.9963992486902]",2.314938076566385,2726.1,290.7,3069.1,2209.7,2707.4,541.5
4,"[21.473838463078025, 41.982664674649165]","[21.417022850741606, 42.00099495861674]",5.118800847767935,6129.3,722.7,5946.0,4281.0,6188.4,1262.2
5,"[21.41335952663733, 42.01342080455037]","[21.423482757159565, 42.04583085252334]",3.6995580284962317,5736.3,574.8,5585.1,4021.2,5486.6,1106.3
6,"[21.44510591783949, 42.00430592598375]","[21.44142938319067, 41.98839672247088]",1.7949234972907122,4210.8,514.9,2425.1,1746.1,2588.8,534.4
7,"[21.474647431682605, 41.974992448703695]","[21.33407013725778, 42.0009019224936]",11.970516993242079,13292.7,1405.8,14467.1,10416.2,13862.5,2912.5
8,"[21.487792917641904, 41.97755737369731]","[21.4421764967296, 42.03263288355493]",7.191063500263429,9050.4,1026.8,10241.1,7373.5,10152.5,2121.0
9,"[21.431675573953424, 42.02743978145392]","[21.492124345300493, 41.9984306753866]",5.945249542123724,7758.6,757.0,7961.4,5732.2,9118.6,1880.8
10,"[21.38245401330859, 42.00468733141531]","[21.485824145926077, 42.0032320957336]",8.54288132152293,34961.2,1463.1,9802.5,7057.7,12079.3,2501.2
11,"[21.392199285416392, 41.99667979794108]","[21.382218408615135, 42.00056671966981]",0.9311600517159675,1743.6,266.8,1482.6,1067.5,1506.4,306.1
12,"[21.45568214777408, 41.97623493467631]","[21.36242459915493, 42.00545223335619]",8.36408917779091,9608.9,1029.8,9739.4,7012.3,10630.6,2242.7
13,"[21.487440758720307, 41.9533028854112]","[21.517047486279623, 41.99170528369848]",4.9218726538434945,10119.2,979.5,7802.9,5618.0,7802.9,1851.5
14,"[21.453341243547133, 42.018684726735245]","[21.431294786763143, 41.9754488569458]",5.141236770945763,7016.8,842.2,7024.9,5057.9,7485.0,1643.1
15,"[21.44412767797062, 41.956020732345735]","[21.49346376865443, 42.00145734914391]",6.492891394464757,8714.3,810.0,9936.3,7154.1,9435.6,1962.7
16,"[21.429305877610226, 42.02723730714891]","[21.45297101804297, 41.99269029533715]",4.3104187576502255,4918.9,620.9,5616.6,4043.9,5478.4,1125.4
17,"[21.43992335507037, 41.98098226278821]","[21.48840641937979, 42.00230492963953]",4.655806654284215,6290.9,692.9,6913.8,4977.9,8383.2,1713.6
18,"[21.421535086315536, 42.03623866958652]","[21.411318831201086, 42.00360889281561]",3.725124773143663,6582.5,734.1,5573.3,4012.8,5750.0,1160.4
19,"[21.410670295927087, 42.000939713908174]","[21.44671592830045, 41.97604123013245]",4.066974902280851,4768.8,568.6,4800.9,3456.6,5093.6,1032.4
20,"[21.425146931943097, 42.01231362816728]","[21.459014575324854, 41.97397119470696]",5.100121414668704,6330.2,728.7,6193.6,4459.4,6968.6,1501.3
21,"[21.397515143831985, 42.00286476877261]","[21.45725443661651, 41.98365504984933]",5.379285932612104,7504.1,883.7,6229.5,4485.1,6553.0,1378.2
22,"[21.386016611716475, 42.00075834217003]","[21.42549773123056, 41.99801002922406]",3.2767931787602356,4234.8,507.5,3630.8,2614.1,3715.7,744.0
