,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[9.171418029250198, 48.75402672042426]","[9.232218694037837, 48.78864418669885]",5.888193869982509,9544.7,1262.6,7513.1,5409.4,8176.7,1673.9
1,"[9.216615596102477, 48.80494761392776]","[9.11574026604057, 48.765974086606526]",8.56742342579914,12986.3,1541.7,10389.4,7480.2,11071.5,2239.2
2,"[9.201870948741645, 48.81683713604408]","[9.286619984130036, 48.77808807048784]",7.556384479089843,12199.5,1424.8,9621.4,6927.3,11228.2,2364.7
3,"[9.111085330181528, 48.725971690933655]","[9.180032257260317, 48.805784169653705]",10.212588777374002,13526.1,1797.3,12114.2,8722.1,12785.0,2632.5
4,"[9.08796402308998, 48.82881186546289]","[9.154129332613838, 48.788795869954896]",6.578415843387386,12993.3,1891.4,8719.7,6278.1,9347.2,1934.4
5,"[9.167529658648732, 48.8296629925816]","[9.153148005120338, 48.75917390634231]",7.908507872729459,9633.0,1411.0,9947.6,7162.1,10894.4,2291.1
6,"[9.050787822260055, 48.74124482405593]","[9.139680954399536, 48.84976180200551]",13.711283143456809,23913.8,1842.9,15871.5,11427.4,18122.7,3862.0
7,"[9.18112006872748, 48.78859798290394]","[9.231754296385004, 48.80808369510982]",4.295259904005678,5872.7,941.1,5256.7,3784.7,5612.8,1223.3
8,"[9.205213609369167, 48.7232172599673]","[9.11159673486284, 48.72774248575423]",6.885365492026541,8563.3,1220.7,7881.1,5674.3,8213.2,1775.4
9,"[9.14284121796612, 48.8017378947594]","[9.096463876736117, 48.73673714376603]",7.987046054245831,14506.1,1432.1,10067.7,7248.6,10398.6,2166.3
10,"[9.20595354738284, 48.8036136]","[9.240850427004688, 48.77472880667592]",4.105073737004875,4689.6,567.4,4742.1,3414.3,5227.8,1073.7
11,"[9.18718575271712, 48.709054527380616]","[9.260188422591584, 48.78274585715983]",9.787472476303158,,,12602.5,9073.7,13307.9,2682.3
12,"[9.150325411511105, 48.80501702302452]","[9.23131430930383, 48.74873474093428]",8.624720808910586,16396.7,1930.1,11935.9,8593.7,14697.9,3011.4
13,"[9.165114516792023, 48.74336116439013]","[9.229628244764472, 48.83630206955476]",11.36395045221007,15274.8,2057.6,13630.4,9813.7,14810.9,3019.1
14,"[9.171710285659488, 48.74390781585247]","[9.23287340244914, 48.74898791774453]",4.519983147188064,7709.1,981.8,6108.9,4398.3,6571.5,1375.1
15,"[9.158160617576764, 48.72279917866523]","[9.205484198350424, 48.78535391902581]",7.772946609877441,10869.6,1360.5,9286.4,6686.1,10168.7,2054.5
16,"[9.085424697035686, 48.7722034440163]","[9.208109553206477, 48.78399379668991]",9.084814461344756,14332.1,1656.9,10973.2,7900.6,11406.2,2372.7
17,"[9.097006991748517, 48.77150495249992]","[9.264627025992024, 48.7789623948994]",12.310998897511682,,,14821.7,10671.4,15123.6,3105.3
18,"[9.182668346663972, 48.76821191515703]","[9.095359379859838, 48.76009145513079]",6.462722921413468,,,7472.9,5380.5,7475.2,1538.1
19,"[9.142026537787713, 48.799002763232686]","[9.137157543373563, 48.76646741395743]",3.6353121107623454,,,4660.5,3355.5,4762.6,1127.0
20,"[9.098005830399572, 48.744690318718014]","[9.22163604746415, 48.83632373551704]",13.632456440114336,16979.2,2126.8,16258.0,11705.6,17727.1,3635.5
21,"[9.163007024728904, 48.8362074786245]","[9.16437668483, 48.82307325438308]",1.4638963680432133,3516.2,504.8,1777.2,1279.6,2529.2,526.9
22,"[9.139570105468538, 48.777605006619325]","[9.202968491826176, 48.740942944114494]",6.181901476867404,10524.8,1306.9,7597.0,5469.7,8740.2,1772.5
23,"[9.115679379119973, 48.80818714341187]","[9.1155955806061, 48.77399113853493]",3.802427209101659,9380.1,1221.6,5370.3,3866.6,5869.4,1221.0
24,"[9.212954258642696, 48.80024329047477]","[9.160443059709689, 48.775654887024814]",4.719610644765238,6823.4,992.7,5795.6,4172.7,6133.5,1317.2
25,"[9.18437350577119, 48.790302437967895]","[9.222508114168376, 48.78412804535903]",2.876924833224097,3726.2,642.6,3526.2,2538.8,4375.2,939.5
26,"[9.074209544556147, 48.75328277674826]","[9.21959022032855, 48.79377817969718]",11.566232708511171,18070.9,2170.9,14635.9,10537.7,16074.3,3296.6
27,"[9.084104378185028, 48.81456706939323]","[9.20174938532153, 48.83516182175323]",8.911651345313247,13663.8,1394.2,9634.5,6936.7,9915.4,2010.6
28,"[9.104445152261611, 48.82780943334423]","[9.268181285445968, 48.75843858613934]",14.260456737988731,18129.4,1888.5,16916.5,12179.8,18086.2,3659.3
29,"[9.227273356249045, 48.85295281870566]","[9.086404176299713, 48.801280815983226]",11.804737760736828,19177.4,1722.2,13707.7,9869.5,13756.8,2783.6
30,"[9.212737315691228, 48.846312884386016]","[9.145071641394082, 48.785062512931006]",8.422168784832834,10766.2,1602.1,10011.5,7208.1,10771.6,2174.6
31,"[9.080200730930777, 48.74934872667845]","[9.10432603417085, 48.80296555596728]",6.218501982638539,11860.6,1459.8,7633.3,5495.9,8382.7,1729.8
32,"[9.205153629298476, 48.82282794242998]","[9.20339401623354, 48.83638031798245]",1.512449945957994,4727.1,697.6,2354.0,1694.9,2480.8,509.4
33,"[9.107035617803774, 48.73234800937584]","[9.24273619113216, 48.777635613071965]",11.149972951122509,15985.6,2150.6,12772.8,9196.3,13969.0,2820.3
34,"[9.089562979786963, 48.80732428658142]","[9.172858203661358, 48.75774251180276]",8.224435052632726,14459.2,1663.7,10289.6,7408.4,11839.6,2558.8
35,"[9.175356402991486, 48.70475279758041]","[9.217513942646306, 48.84890536527567]",16.32399672957658,37275.3,2033.5,21164.8,15238.4,23279.2,4771.7
36,"[9.13094058358346, 48.73924362567638]","[9.219047190545316, 48.74803429245022]",6.533962156284162,11754.1,1600.7,7350.0,5291.9,8126.9,1671.7
37,"[9.269955085576736, 48.76982265064957]","[9.21663766665172, 48.74364382832721]",4.873391482684972,8034.5,1166.2,6043.2,4351.0,6419.6,1289.7
38,"[9.210904609896168, 48.71145787388343]","[9.158884727325088, 48.742326966517176]",5.132354168775685,8050.5,799.4,6021.7,4335.6,6233.0,1332.2
39,"[9.154081029981985, 48.80930428959597]","[9.173540693996484, 48.751640105337806]",6.568584600874375,11105.2,1731.0,8073.5,5812.8,9379.5,1897.0
40,"[9.142826629176971, 48.7814127845095]","[9.219912337526564, 48.7878066983162]",5.692289643727973,8012.5,1308.9,6887.6,4959.0,7657.0,1652.2
41,"[9.203834450214789, 48.708905954680766]","[9.155851514923263, 48.76285669391754]",6.954943679741649,10801.6,1238.6,7895.2,5684.5,8818.4,1841.2
42,"[9.21123420130993, 48.745785030953606]","[9.234193750402993, 48.78664909965119]",4.845460699633655,8502.4,1130.6,7153.5,5150.4,8498.3,1751.1
43,"[9.18492507103042, 48.80651671696838]","[9.18484424134069, 48.804929191849865]",0.17662396304028818,968.4,142.7,240.7,173.3,240.7,96.4
44,"[9.158464018467736, 48.738965375998816]","[9.22014557952255, 48.845577849827805]",12.686674040783833,16622.1,2418.8,15576.9,11215.1,17511.0,3555.7
45,"[9.244182256272977, 48.8037548763726]","[9.23286374033736, 48.70808937772395]",10.669828567297484,15550.7,1998.6,13207.7,9509.4,14107.3,2845.2
46,"[9.12129816737392, 48.81754168002115]","[9.231528843385505, 48.805517284234455]",8.181749536586324,12110.3,1532.6,9413.5,6777.6,9537.3,1973.2
47,"[9.164581758871575, 48.76021669348784]","[9.16656104673806, 48.82844116046202]",7.587599928105221,8971.4,1510.0,9159.8,6594.9,10083.5,2094.7
48,"[9.188688194344303, 48.80392233244644]","[9.11630493236746, 48.710319531910805]",11.682649874058162,17005.5,1756.5,13865.2,9982.8,15444.1,3156.3
49,"[9.24870978730578, 48.75340552791954]","[9.2357405411265, 48.83357406930519]",8.964815889677938,10700.8,1397.8,10937.4,7874.8,11941.0,2418.9
