,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[7.681954575804352, 45.054135857358695]","[7.693190216845429, 45.06636254364006]",1.6208502870460673,2137.0,307.6,1780.3,1281.8,1808.3,408.3
1,"[7.678396438209988, 45.068490095088805]","[7.629312540868689, 45.04763370938285]",4.49915309714916,6108.0,675.2,5774.3,4157.4,6248.2,1271.6
2,"[7.680031438141363, 45.05538887536495]","[7.678398544072141, 45.10429984178258]",5.44016231512155,7630.2,809.4,6849.0,4931.2,7221.0,1486.9
3,"[7.661527348484532, 45.039723299457016]","[7.632959722912797, 45.08041677698402]",5.050695893375044,6853.9,699.2,6228.8,4484.7,6507.9,1307.0
4,"[7.596545706594674, 45.03485418960736]","[7.613852435111561, 45.0822466408157]",5.442307002209964,8850.8,1000.0,7762.5,5589.0,10087.9,2054.4
5,"[7.71692945958844, 45.07709070737587]","[7.642829693986623, 45.07975714651117]",5.825788427286749,7098.9,779.2,6630.7,4774.0,6638.2,1327.6
6,"[7.636199911567173, 45.11208063744645]","[7.68739653289489, 45.0871635180546]",4.881004317810042,6768.2,565.8,5881.9,4234.9,6014.9,1215.0
7,"[7.637709435608238, 45.07239208020432]","[7.635045573595945, 45.10986747222883]",4.1723172573884675,6114.1,656.0,5300.1,3816.0,6472.9,1307.4
8,"[7.643720894827634, 45.03432284330085]","[7.661881549584804, 45.10285140283622]",7.752346711817998,8668.3,791.7,8566.8,6168.0,9416.9,1884.1
9,"[7.629925029315553, 45.025482284598304]","[7.660734537934807, 45.10021889689661]",8.655460945644876,10683.4,1028.6,10133.1,7295.7,11214.4,2243.6
10,"[7.648097984187949, 45.104526594923456]","[7.644128597857242, 45.07565492143204]",3.225470950813295,4872.5,428.3,4019.0,2893.7,3984.5,805.4
11,"[7.739638016648162, 45.09652756528237]","[7.680657101463516, 45.0359127878563]",8.178312471655323,9811.9,979.3,10813.8,7785.9,11084.8,2417.9
12,"[7.622337798156504, 45.03958311462798]","[7.622672669854594, 45.099255983500456]",6.635372390347856,9402.2,1137.4,8631.5,6214.6,9941.2,2012.5
13,"[7.640899760231063, 45.04731411323944]","[7.707318664230913, 45.07035616601481]",5.81214654921482,7643.0,829.6,7242.6,5214.6,7833.6,1574.4
14,"[7.701917247205073, 45.112328824816025]","[7.63026810460073, 45.061167683338326]",8.000232632903955,10923.0,991.9,9991.7,7193.9,9602.7,1971.8
15,"[7.621612846669453, 45.06927653783143]","[7.717538270166369, 45.06319724463239]",7.56384072673265,10395.1,988.4,8887.1,6398.6,9589.3,1935.5
16,"[7.642855266925611, 45.04724509966087]","[7.674863706894529, 45.1246654057392]",8.968018408130337,12656.2,1378.9,13203.8,9506.6,12730.2,2660.2
17,"[7.654151926919079, 45.08796556972048]","[7.673476339306369, 45.0799159829656]",1.7615368440766286,2039.5,246.1,1935.0,1393.2,1977.2,412.2
18,"[7.698865749752577, 45.09816045188754]","[7.645821033943795, 45.08432955918231]",4.4390088549996705,6570.5,651.7,5557.9,4001.6,6319.9,1272.9
19,"[7.6651406539156, 45.06543884346637]","[7.692542311157933, 45.10536540951836]",4.933393023838607,11525.0,866.6,5766.2,4151.6,6402.5,1333.5
