,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[13.833540571307848, 45.634373090647465]","[13.701693656176673, 45.721325414211215]",14.085751502674826,17433.7,1572.2,17896.9,12885.7,17429.8,3659.6
1,"[13.785634335931848, 45.65853547019651]","[13.82157814040155, 45.6230264489901]",4.837198279608175,6690.0,652.4,7186.2,5174.0,7014.8,1446.8
2,"[13.800239070169312, 45.63943016515056]","[13.788212426393583, 45.6217153828988]",2.1805035047620813,3453.9,342.9,3842.5,2766.5,4709.1,954.8
3,"[13.782856773455432, 45.62064368572995]","[13.799855764908417, 45.62437204584784]",1.3854558225704579,3045.1,313.8,1725.5,1242.3,3175.7,650.6
4,"[13.786805239535656, 45.63890780037704]","[13.815824116683189, 45.61657137078617]",3.355689560436029,4180.2,405.9,5025.4,3618.2,5444.5,1098.0
5,"[13.76925659926333, 45.67588766411]","[13.776705876398829, 45.64640187948753]",3.3293868372641526,5067.0,528.2,4888.0,3519.3,5845.5,1189.7
6,"[13.742706696707767, 45.699965788037325]","[13.853053654835582, 45.63929948321879]",10.909761509814432,15074.6,868.8,12729.6,9165.3,12552.7,2616.9
7,"[13.783204283771797, 45.64439599743777]","[13.69633113377244, 45.73387527270301]",12.02204137788632,14117.6,1189.5,14046.7,10113.5,13726.3,2828.1
8,"[13.785861544941964, 45.63598652819985]","[13.80848170642936, 45.66066757703434]",3.2593596604794586,5751.6,564.7,5122.0,3687.8,5745.6,1179.3
9,"[13.767373392796108, 45.66929326569469]","[13.71955413588559, 45.70365557132175]",5.3289104355338734,6281.0,581.2,6585.6,4741.6,6469.2,1296.4
10,"[13.736595005209988, 45.707464469177616]","[13.792517839574597, 45.65413894090399]",7.350763975892835,10562.9,863.6,9870.6,7106.8,10199.0,2148.9
11,"[13.776319287564878, 45.69073328149896]","[13.784340879001412, 45.64380135845973]",5.255685642081884,8184.1,884.7,7364.7,5302.5,7867.0,1754.8
12,"[13.789221673409246, 45.63590729517329]","[13.774976182421154, 45.64070296316991]",1.2292187151814367,1754.9,186.9,1808.7,1302.2,2187.1,476.5
13,"[13.78339417208366, 45.68505361487627]","[13.779805567067774, 45.630286831566245]",6.096171762784364,12336.3,1201.7,8968.0,6456.9,12888.0,2768.8
14,"[13.76940492290414, 45.64662189016664]","[13.786176937794664, 45.66652783611167]",2.5687560401603173,4005.0,429.3,3635.0,2617.1,4661.1,959.7
15,"[13.78472719607341, 45.66554419416027]","[13.837139497990131, 45.65957426003267]",4.126816831012643,7406.8,630.0,6644.8,4784.2,7048.3,1423.0
16,"[13.807500704145278, 45.61272721688343]","[13.813655001804609, 45.62775710064252]",1.7384327210570278,3738.1,396.4,2951.7,2125.2,3397.1,712.3
17,"[13.756103613568998, 45.63820156153714]","[13.791178553303864, 45.63114059874095]",2.8378818332150213,4770.2,1454.1,4596.4,3309.4,5412.1,1156.8
18,"[13.768989834126334, 45.63794227130276]","[13.799152530590716, 45.629169849541206]",2.5399954421946327,4112.5,377.0,3507.5,2525.3,3320.1,696.7
19,"[13.797909172969009, 45.6678854239833]","[13.76901223411819, 45.66383023313679]",2.290339417158824,4272.1,389.6,2958.0,2129.7,3563.3,805.8
20,"[13.80426724956357, 45.67962481148728]","[13.771029187433763, 45.64317970951543]",4.805728225290841,7493.7,812.5,6070.2,4370.5,8238.4,1690.0
21,"[13.782377301100816, 45.63646149497451]","[13.801208403777608, 45.64229382578499]",1.601224082382057,2469.1,304.0,2358.2,1697.9,2522.0,533.0
22,"[13.781958390282972, 45.63647466487021]","[13.76829345493813, 45.63722084297404]",1.065655047120347,2207.4,224.3,2132.5,1535.4,2223.3,447.2
23,"[13.79167792791866, 45.66141648218839]","[13.80617439994859, 45.642917902211366]",2.3453419804939197,4538.0,441.3,3545.7,2552.8,4158.9,878.1
24,"[13.783549280996665, 45.69337392988471]","[13.799955430891412, 45.6550504044828]",4.447945038546588,7024.5,709.2,6210.0,4471.1,7403.3,1604.7
25,"[13.82426405779614, 45.63104691850099]","[13.810349574273175, 45.61369591415583]",2.21208279937612,5292.7,480.4,3399.9,2447.9,5057.9,1053.3
26,"[13.80561055849641, 45.67958393370119]","[13.822821350447311, 45.64870889034143]",3.684464873944987,7046.5,444.1,5799.3,4175.5,6610.7,1438.1
27,"[13.764071768783644, 45.6327273584237]","[13.783378034299806, 45.68599960228448]",6.110673474638377,8981.0,1320.2,7908.9,5694.3,8221.0,1799.9
28,"[13.773974522140277, 45.65280177692001]","[13.774427389168777, 45.64739550285562]",0.6021799902328491,1615.7,202.9,997.8,718.4,1859.2,404.8
