,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[22.265553323405168, 60.425788981302176]","[22.30103774341033, 60.44896168117314]",3.229390295653334,5202.0,482.4,4381.0,3154.3,4447.1,913.3
1,"[22.17075251527099, 60.45046668549261]","[22.306011445704005, 60.455579863949005]",7.438592205475578,9177.9,1118.0,8763.3,6309.5,8853.5,1776.8
2,"[22.24655375758307, 60.47438346846923]","[22.293871373296177, 60.52051038376016]",5.7464026518720415,8065.8,669.3,6716.2,4835.6,6866.9,1402.6
3,"[22.24863437267288, 60.436514497983225]","[22.214690097951333, 60.47222880214164]",4.385774067295171,5966.1,693.8,5876.1,4230.7,6028.6,1207.6
4,"[22.137474651202627, 60.451766334832335]","[22.301829182105354, 60.45782056389075]",9.036887140957926,11138.2,1229.8,10742.4,7734.4,11005.1,2206.9
5,"[22.306248046083507, 60.43155640240557]","[22.298960247389235, 60.41297542310124]",2.10447454109084,3123.2,585.7,2870.1,2066.4,3041.1,728.7
6,"[22.21232451141327, 60.45587103364904]","[22.267874031018604, 60.45985876203663]",3.0776765796222962,5809.4,828.2,3544.6,2552.1,3914.6,808.3
7,"[22.3268394397228, 60.47375429705679]","[22.425884466700992, 60.64087300277492]",19.355250798527447,26499.3,1538.0,24486.6,17630.2,24112.3,4831.5
8,"[22.36562980601701, 60.58423681418332]","[22.20161800521033, 60.39539818557772]",22.83879040964571,26744.0,2174.5,26415.4,19018.9,26711.0,5439.9
9,"[22.224283225775597, 60.46683468208433]","[22.242151933300395, 60.40184825122518]",7.292362918122759,9310.4,1004.0,9294.8,6692.2,9411.8,1893.9
10,"[22.29138797108254, 60.371898419246506]","[22.266582385885773, 60.49448485138371]",13.698768574365918,27998.4,2464.8,27546.1,19833.0,27023.4,5429.4
11,"[22.148895176380577, 60.38124439502991]","[22.283037620291704, 60.41506953462768]",8.272508281189328,15718.4,1289.4,15610.9,11239.8,14978.2,3049.0
12,"[22.267317446222027, 60.48621481346557]","[22.2168087673722, 60.47606948059229]",2.988325626432706,5018.6,600.7,3988.8,2871.9,4496.6,903.7
13,"[22.29193063507969, 60.41814680352032]","[22.30096955136643, 60.506418337820605]",9.82784583721048,11252.8,1078.8,11065.7,7967.2,12135.5,2437.5
14,"[22.301182159694672, 60.47274918836269]","[22.267607979687288, 60.414086805841954]",6.777930838934604,8603.0,874.7,8247.1,5937.9,8852.2,1774.9
15,"[22.33078036671925, 60.49131043519526]","[22.35677732914068, 60.44019091707625]",5.860120608497855,9032.3,791.2,7790.5,5609.1,8689.6,1770.3
16,"[22.286990098372332, 60.43830021364173]","[22.27027799961676, 60.42391514476804]",1.843764129267969,2436.0,172.5,2271.1,1635.2,2751.0,550.2
17,"[22.24966733085266, 60.42904133331273]","[22.247886693240524, 60.44927510163902]",2.252011871016558,3657.3,527.1,2862.9,2061.2,2953.8,611.3
18,"[22.271856902937262, 60.47433644245242]","[22.27418909284067, 60.50500512621655]",3.412593647530361,6580.5,624.8,4361.4,3140.2,4369.8,999.3
19,"[22.343960012718604, 60.4483541310777]","[22.269282451530536, 60.41710262926288]",5.372596819147806,6878.9,741.5,6739.1,4852.1,7026.2,1409.1
20,"[22.249872773161865, 60.44646799990913]","[22.249554975736963, 60.40702721197453]",4.385650198530467,6381.1,723.7,6018.2,4333.1,6045.6,1226.8
21,"[22.27625545992621, 60.510501955031216]","[22.27776759158652, 60.414815890289226]",10.640127840412342,14186.9,1346.5,12711.8,9152.4,13016.3,2671.8
22,"[22.245049697550375, 60.43772825538856]","[22.302486657521666, 60.46157438873161]",4.117321412814446,4841.7,683.3,4707.3,3389.2,5047.7,1022.1
23,"[22.193097176870516, 60.41194143109187]","[22.206241846630228, 60.39546965992943]",1.9686992915403105,3267.7,403.5,3254.6,2343.3,3279.0,712.5
24,"[22.219407918908008, 60.39845742592839]","[22.28668772246526, 60.45138507431405]",6.947708580941379,9435.7,955.7,8854.2,6375.0,9144.1,1867.3
25,"[22.320322185850703, 60.48542918903745]","[22.31752056313505, 60.48075322976565]",0.5421232881800203,2705.9,213.6,1183.0,851.7,1138.2,336.1
26,"[22.30397518759258, 60.46276630770464]","[22.20212199921812, 60.45006013837483]",5.7604218684998925,7941.4,957.2,6899.6,4967.6,7742.1,1566.3
27,"[22.26320431903096, 60.4529163512481]","[22.344659531691303, 60.43728491580421]",4.793834277361253,5934.6,793.1,5588.9,4023.9,5882.3,1202.1
28,"[22.29377230614604, 60.48481315534187]","[22.33250659464032, 60.48813104110158]",2.1536168591255893,5532.0,450.8,2908.1,2093.8,2888.8,647.7
29,"[22.2841828250276, 60.452509076933005]","[22.18444549069693, 60.45635773023231]",5.485510858289846,7027.2,850.7,6795.7,4892.9,7205.5,1448.7
30,"[22.23516485425493, 60.47818085418586]","[22.23527784417428, 60.47483263015012]",0.3723570010819427,901.7,113.8,422.7,304.3,506.3,115.1
31,"[22.18368603828157, 60.35517073031357]","[22.269137787133506, 60.45883668425214]",12.445583728060033,17654.4,1667.0,16652.3,11989.6,16522.8,3309.1
32,"[22.24754841902308, 60.454072448786974]","[22.2511498081628, 60.47769549725982]",2.634170073708453,3553.5,396.7,3197.6,2302.3,3250.8,650.1
33,"[22.21491881548687, 60.34482587306216]","[22.121521948386945, 60.41357021514487]",9.207531724048684,28906.2,2679.9,27693.6,20175.1,28875.1,5986.3
34,"[22.2502131496748, 60.48593563861438]","[22.26175421925405, 60.436185311987145]",5.568046583712823,6936.7,769.2,6715.2,4834.9,6896.0,1388.6
35,"[22.27246265019298, 60.369843760000286]","[22.204074611209617, 60.45442589391156]",10.126893570945393,25138.3,2313.9,23687.6,17290.7,24884.1,5013.7
36,"[22.26220058745691, 60.447542922465615]","[22.27220300177292, 60.42281323553137]",2.804040426371121,3419.8,372.8,3311.8,2384.5,3398.1,679.6
37,"[22.30317655701056, 60.4315889030148]","[22.21677225143363, 60.41618529522846]",5.042012129307682,8130.3,759.4,6337.4,4562.8,6800.9,1625.4
38,"[22.2852733283037, 60.44908741313578]","[22.1787296474784, 60.46181626566405]",6.010832051080372,8925.1,1140.1,7355.2,5295.7,7557.8,1551.4
39,"[22.24719328387144, 60.49313711907857]","[22.30199068083053, 60.430603466755294]",7.574555061470193,8760.3,1027.2,8322.5,5992.1,9519.1,1978.8
40,"[22.199949227887743, 60.46850317473663]","[22.23067287461497, 60.48492828714516]",2.4839096704880927,7048.3,472.7,3180.4,2289.8,4184.9,927.6
41,"[22.317624662578773, 60.43466790764053]","[22.17060132087325, 60.449335863723405]",8.227935187514406,10028.3,1173.1,10059.8,7242.9,10424.7,2095.9
42,"[22.272209590992787, 60.45101525773153]","[22.28388747288612, 60.45446313237515]",0.7463503081522724,1446.8,252.0,964.4,694.4,1050.3,315.0
43,"[22.2479021640855, 60.40270319415399]","[22.345243254856257, 60.56606800584394]",18.931841914037264,24134.8,1976.1,22659.0,16314.3,23005.0,4671.9
44,"[22.29172497450212, 60.42182054815651]","[22.258496260638537, 60.48855370774366]",7.640790423466718,9106.2,1009.5,9026.3,6498.8,9984.5,2008.8
