,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[-0.3450764886835072, 39.4637471016172]","[-0.4003174802665275, 39.47551573323464]",4.9190465985818275,6481.0,703.9,5505.9,3964.2,6188.2,1264.7
1,"[-0.3272245440592447, 39.3796498139479]","[-0.3657722689154446, 39.48250857385482]",11.90689770420969,13780.8,932.2,13901.4,10008.9,14286.6,3049.2
2,"[-0.3354312176583576, 39.42818155420692]","[-0.3991053696202667, 39.43286133980841]",5.493447896894614,7440.3,644.0,7586.0,5461.8,7643.0,1642.6
3,"[-0.3017155298753242, 39.30658679311822]","[-0.4002561253834299, 39.46181449279192]",19.22624603703053,23376.9,1457.3,25207.5,18149.3,25602.7,5361.1
4,"[-0.4120840080614366, 39.46332882721657]","[-0.4076182575537461, 39.47565832540923]",1.423560238517717,3469.3,408.5,2125.3,1530.2,2353.9,565.7
5,"[-0.3906035858850881, 39.493038512991305]","[-0.3702338425711194, 39.436921279946965]",6.480329066260511,15826.8,1026.5,9394.3,6763.8,9001.9,1898.4
6,"[-0.3245902776508674, 39.37907415017352]","[-0.4018404551992395, 39.437805760529486]",9.311132115493638,12853.3,807.8,12781.9,9202.9,12930.0,2668.3
7,"[-0.3317431169129862, 39.483834113873975]","[-0.3326401278495827, 39.47329499902474]",1.1744222480648787,1924.0,221.7,1676.7,1207.2,1630.2,345.8
8,"[-0.3777976509853034, 39.476315830239216]","[-0.3355756073712131, 39.44747813774947]",4.839476331708966,8367.1,1026.8,5636.3,4058.0,6495.4,1327.9
9,"[-0.4130797401977044, 39.45416119376958]","[-0.4013988819020463, 39.45892624775892]",1.134219631895655,5578.1,573.7,2405.8,1732.2,2397.6,490.2
10,"[-0.322549757892937, 39.46280641816633]","[-0.3859789742223797, 39.43810063929125]",6.099789515680486,7397.9,685.2,7388.0,5319.3,8181.8,1695.2
11,"[-0.3172036159013569, 39.31876628995524]","[-0.4074013019058073, 39.49365007404852]",20.933425099434157,27939.9,1661.2,25385.5,18277.4,26349.2,5559.3
12,"[-0.4151394612467489, 39.45436917755325]","[-0.3493583238691539, 39.47534452074689]",6.109631753513799,10149.3,1229.7,8231.4,5926.5,9165.9,1858.4
13,"[-0.350923645227657, 39.44715756555868]","[-0.3727818065950525, 39.47767063583099]",3.877223679953805,6045.9,645.0,4740.0,3412.8,5834.4,1203.6
14,"[-0.3996903134188414, 39.464339977511344]","[-0.3175146470140357, 39.30468295686618]",19.106247169557196,23319.9,1869.2,25368.5,18265.2,26115.9,5585.0
15,"[-0.3997958086627051, 39.49536103323093]","[-0.378131969108319, 39.45413442578997]",4.946952875476407,6701.7,710.5,6035.6,4345.6,6001.8,1200.3
16,"[-0.3291391615761099, 39.46894288011087]","[-0.3931029421761595, 39.47908217930864]",5.604758165234922,6955.8,862.4,6522.7,4696.3,6844.7,1370.5
17,"[-0.4056675287091253, 39.489990678132536]","[-0.3563545785355768, 39.49317368502352]",4.246375758852546,7580.6,586.7,5341.0,3845.5,5748.5,1205.3
18,"[-0.3893609196053892, 39.49361586789077]","[-0.404810256256544, 39.44335705975105]",5.7437200479504575,11854.2,642.6,8598.4,6190.8,9318.6,1869.7
19,"[-0.3796396377665611, 39.4960240838471]","[-0.3871432305913335, 39.486544187748905]",1.2352171675335715,2358.5,252.5,1845.0,1328.4,1907.0,381.4
20,"[-0.3204302599496969, 39.44046548512122]","[-0.2833130106403398, 39.287432497712174]",17.313084524023207,,,22664.1,16318.1,24782.7,5286.8
21,"[-0.3548983081789523, 39.48636398419934]","[-0.3906915782675313, 39.479720044513606]",3.1594262550744925,3947.5,525.4,4014.0,2890.1,4152.3,878.4
22,"[-0.3171299407007874, 39.457537970187474]","[-0.4246888330560092, 39.50162511644599]",10.45226727651974,,,13867.5,9984.5,14674.4,2995.0
23,"[-0.3806386851681485, 39.475063459081966]","[-0.3247128998785308, 39.37980191108039]",11.630846623335703,14718.2,1070.1,14039.2,10108.1,14528.7,3100.9
