,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
0,"[8.51798086553971, 47.42701849604655]","[8.568009085715913, 47.36686773926202]",7.675625658754886,10567.8,1373.0,8791.4,6329.7,9662.4,1973.7
1,"[8.492285283906313, 47.38187361942478]","[8.588395833583355, 47.37896963815894]",7.243665309908506,10037.4,1242.0,8502.7,6121.9,9395.5,1907.2
2,"[8.492550495204767, 47.36891948997626]","[8.50780382708868, 47.36898843643257]",1.1487465882147994,1281.1,180.3,1292.5,930.6,1714.5,343.0
3,"[8.548062250630437, 47.39973555240257]","[8.551332235401869, 47.362098826055615]",4.19224891481476,7780.9,862.9,5550.1,3996.0,5186.5,1180.4
4,"[8.5184922073769, 47.40491732891588]","[8.549836604142191, 47.40183079081499]",2.383826096591434,5016.8,667.0,2899.8,2087.9,3317.1,719.3
5,"[8.571251390386303, 47.38257966573905]","[8.511916591941718, 47.38162395882649]",4.468624492948024,7514.4,914.3,5698.1,4102.5,6151.9,1320.3
6,"[8.568987849725552, 47.38335471421327]","[8.55667525752376, 47.35256382892621]",3.54713607429517,5373.3,755.8,4388.4,3159.6,4956.5,1034.4
7,"[8.509146808118476, 47.39965464383912]","[8.492856611523532, 47.36791346263883]",3.7364802099566705,6419.2,834.3,4807.8,3461.5,6220.7,1344.6
8,"[8.522975818547627, 47.397195078798646]","[8.541866261826677, 47.41851611233447]",2.764333519222546,4267.0,602.4,3431.6,2470.7,3944.6,788.9
9,"[8.493198777876213, 47.39408560684524]","[8.48924401649629, 47.39413749207425]",0.29774496990969335,3483.8,419.7,1229.4,885.1,870.7,174.1
10,"[8.492479953515975, 47.39029393469277]","[8.472687249533037, 47.37656801543533]",2.1330852592157528,4821.0,587.9,2752.8,1982.0,2981.9,614.7
11,"[8.561864279697405, 47.38081251354609]","[8.557133541947861, 47.36922158361634]",1.3371760723897066,2619.6,393.0,1898.8,1367.1,1898.0,433.5
12,"[8.502013939884295, 47.40859516071392]","[8.500635545034715, 47.36360670131161]",5.003564664437713,9186.4,1143.8,6524.9,4697.8,7988.5,1652.0
13,"[8.511719292775437, 47.35464298724411]","[8.570851595611806, 47.41433382744083]",7.9920911090234314,10379.8,1300.8,9239.6,6652.4,9683.8,2055.0
14,"[8.524180628123089, 47.41485248717603]","[8.589658167692699, 47.380757013895895]",6.217916848362685,8546.7,976.3,7258.8,5226.3,8525.9,1788.9
15,"[8.532827559611178, 47.3831483344079]","[8.5026753220805, 47.39851256964879]",2.8409057906256043,4525.4,610.3,3090.2,2224.9,3244.7,669.0
16,"[8.5511158917307, 47.37803069370829]","[8.500780126312202, 47.37214443760303]",3.846418175652064,5740.9,1060.3,4821.4,3471.3,5650.2,1216.3
17,"[8.575830566264791, 47.382592365669645]","[8.570725956475643, 47.384853261469935]",0.45924108637138283,310.1,74.4,1099.6,791.7,1179.2,244.3
18,"[8.531864076532798, 47.3930488818658]","[8.533379138707385, 47.360131522684384]",3.662020756731722,4713.4,583.1,4554.8,3279.4,4966.7,1007.1
19,"[8.597324709922939, 47.36154214102382]","[8.589478798752971, 47.362713615295085]",0.6051346859629829,1003.3,151.5,881.1,634.4,2380.5,529.6
20,"[8.580298109102861, 47.393802108301]","[8.554278436571447, 47.42716456149345]",4.194740077544384,,,5076.1,3654.7,5244.8,1073.0
21,"[8.493547761519991, 47.39520879751472]","[8.482126979600146, 47.413671446009005]",2.225619207973131,3681.2,478.7,2783.9,2004.4,3152.6,713.8
22,"[8.50626012494915, 47.412874236632696]","[8.594623616596422, 47.39750985649642]",6.86598661353741,8469.7,914.0,7377.9,5312.0,8610.9,1828.4
23,"[8.509294298704535, 47.36329919281562]","[8.49422510295397, 47.39642891730691]",3.8546289946617556,5187.3,602.9,4664.9,3358.7,5232.7,1046.5
24,"[8.533680705764132, 47.3829819563726]","[8.57336998186769, 47.390618774391605]",3.1062927886195766,,,3992.8,2874.8,3977.2,836.7
25,"[8.508865219883257, 47.41549332486995]","[8.540916466312503, 47.38796933042942]",3.8969024731611963,5698.7,675.0,5593.4,4027.2,4621.3,982.5
26,"[8.501338016896364, 47.35760381968895]","[8.567516234886453, 47.403564918910064]",7.137677867995306,8418.0,1109.2,8118.3,5845.1,8838.2,1951.0
27,"[8.582061670910154, 47.40653490991537]","[8.54758912482349, 47.41559775305571]",2.7829072690310537,3778.8,499.5,3338.6,2403.7,3454.1,724.6
