,mean_haversine_dist,mean_driving-car_dist,mean_driving-car_time,mean_foot-walking_dist,mean_foot-walking_time,mean_cycling-regular_dist,mean_cycling-regular_time,mean_circuity_driving,mean_circuity_cycling,mean_circuity_walking,std_haversine_dist,std_driving-car_dist,std_driving-car_time,std_foot-walking_dist,std_foot-walking_time,std_cycling-regular_dist,std_cycling-regular_time,std_circuity_driving,std_circuity_cycling,std_circuity_walking,min_haversine_dist,min_driving-car_dist,min_driving-car_time,min_foot-walking_dist,min_foot-walking_time,min_cycling-regular_dist,min_cycling-regular_time,min_circuity_driving,min_circuity_cycling,min_circuity_walking,25%_haversine_dist,25%_driving-car_dist,25%_driving-car_time,25%_foot-walking_dist,25%_foot-walking_time,25%_cycling-regular_dist,25%_cycling-regular_time,25%_circuity_driving,25%_circuity_cycling,25%_circuity_walking,50%_haversine_dist,50%_driving-car_dist,50%_driving-car_time,50%_foot-walking_dist,50%_foot-walking_time,50%_cycling-regular_dist,50%_cycling-regular_time,50%_circuity_driving,50%_circuity_cycling,50%_circuity_walking,75%_haversine_dist,75%_driving-car_dist,75%_driving-car_time,75%_foot-walking_dist,75%_foot-walking_time,75%_cycling-regular_dist,75%_cycling-regular_time,75%_circuity_driving,75%_circuity_cycling,75%_circuity_walking,max_haversine_dist,max_driving-car_dist,max_driving-car_time,max_foot-walking_dist,max_foot-walking_time,max_cycling-regular_dist,max_cycling-regular_time,max_circuity_driving,max_circuity_cycling,max_circuity_walking,mean_circuity_driving:0_2,mean_circuity_cycling:0_2,mean_circuity_walking:0_2,mean_circuity_driving:2_8,mean_circuity_cycling:2_8,mean_circuity_walking:2_8,mean_circuity_driving:8_12,mean_circuity_cycling:8_12,mean_circuity_walking:8_12,mean_circuity_driving:12_inf,mean_circuity_cycling:12_inf,mean_circuity_walking:12_inf
Amsterdam,6.207559530383695,10804.46264765631,904.683947784215,7913.484090738093,5685.058091941915,8334.401433300729,1812.1489165600783,1.7552426618499535,1.3784483586949554,1.300103843747569,3.2168066048950044,6363.866767686123,339.62511860924394,3968.8101254937437,2859.662755776176,4155.214467671732,891.9369253408508,0.585158710155855,0.2634534314264174,0.20904398356651047,0.0679327716205651,82.7,12.8,88.1,63.4,88.1,20.7,1.0002311263019075,1.0003665978078304,1.0003665978078304,3.7882158322284507,5971.474999999999,667.0,4953.625,3551.95,5229.525,1135.8,1.381627114217269,1.251375061163518,1.207461844721205,5.850476144313713,9181.7,915.2,7498.4,5366.8,7919.25,1727.4,1.5878964120796157,1.321682895988396,1.2574953869433,8.255715140043735,14924.85,1142.175,10431.325,7487.75,10952.474999999999,2386.775,1.9636159103397408,1.421986680976032,1.3274833869510323,20.603791266287452,40697.6,2567.3,28187.6,20441.4,28837.6,5867.3,9.994066098868206,9.754141774166172,7.999600950185505,2.1175240761612724,1.602242714051435,1.4478114574093746,1.695171497492127,1.3812295260624732,1.3038061708631845,1.8230573301374613,1.3136243962202834,1.2524607954097706,1.6760922350689624,1.2859618468294538,1.2364260818778054
Barcelona,4.809432846879719,7078.601199428253,821.6776645329688,5809.213529302095,4182.534174383196,6436.817115157542,1338.1076564539185,1.5369417669334222,1.3729929335754363,1.2198264944549873,2.525645901914482,3724.5787473496416,367.3004807890363,3065.661650047522,2207.229036877542,3313.474947498972,678.9506351225347,0.4608477653071943,0.24232034458342125,0.1444202850943622,0.0391764259284289,79.3,19.0,78.9,56.8,78.9,15.8,1.0002466465919408,1.003160486307477,1.0003015194294334,2.8985407217500856,4336.5,556.6500000000001,3515.1000000000004,2530.8,3954.5,833.05,1.3014362890625915,1.240035748029702,1.146772982246874,4.535670619787203,6560.0,785.4,5418.5,3901.2,6014.3,1249.3,1.4274014538222821,1.3288993391353772,1.1946267538046151,6.3635161430735305,9156.05,1035.8,7639.55,5500.35,8405.05,1735.95,1.625907107652151,1.4410742902317872,1.2564039676670493,16.063785226421313,41147.0,2376.7,20228.9,14564.6,21673.2,4517.0,9.85148395755398,8.945089867146834,7.467017793650554,1.9178674862596328,1.5739476824747103,1.3032333538287115,1.488261830341172,1.3474251380341673,1.2068643121603109,1.4290117873239379,1.3158198819247064,1.2099729184683437,1.4062484653873586,1.2973447021366786,1.2277909734649814
Basel,2.539446560147407,3769.671044962532,492.4944213155704,3210.690965861782,2311.756931723564,3566.506681931724,742.9442339716903,1.5759302422117676,1.4447354531802301,1.293165993714017,1.2221203324023144,1704.976043013542,208.0028557328561,1478.0630154596815,1064.0678002705447,1677.4817091316575,344.86551239377,0.5600019226687231,0.3089147603710656,0.19135086768906695,0.0451592706482306,50.8,12.7,50.9,36.6,50.9,10.2,1.0026542083239052,1.0133934024908648,1.0339312820688014,1.627976622424881,2513.375,339.875,2125.7,1530.475,2315.575,488.25,1.3112712030570848,1.28605551540886,1.2017733247188134,2.4679518936381433,3675.85,482.75,3145.9,2265.05,3458.75,720.75,1.4458874288432426,1.3852984315849786,1.2552106698033458,3.3704627748468767,4878.125,624.3249999999999,4205.599999999999,3028.025,4646.625,962.7750000000001,1.645957398869838,1.5158727512036743,1.3318915941445115,7.371139984110931,9732.3,1502.4,8672.8,6244.4,9954.8,2095.4,9.296180794544304,7.766023665274803,4.871917462338598,1.7990201778877892,1.5445564447970668,1.3614599797807727,1.4531911843454828,1.3898161919002343,1.2555921807924881,,,,,,
Berlin,14.064896833384287,18701.977925409024,1896.922921401292,16709.897243622985,12020.982226413313,18430.911135838556,3868.9810052336275,1.3403117776112567,1.3207665214408388,1.199888108703306,7.061691935171895,10706.75801056272,836.0695829884617,8186.412482180837,5883.443938629434,9209.508642313596,1938.3623902086113,0.2825280650385277,0.1272849830854284,0.0760544254552199,0.0030522409037387,3.1,0.7,3.1,2.2,3.1,0.6,1.0000360076895423,1.0000341583820858,1.0000341583820858,8.747217113925759,11492.8,1272.7,10572.0,7609.8,11503.0,2412.7,1.207767506556222,1.2464352032847805,1.1582421869362798,13.44631595179024,17367.7,1858.7,16066.7,11560.2,17635.4,3697.8,1.2748944159671163,1.3010456269619046,1.1876596425334789,18.71643068779807,23875.4,2470.8,22135.4,15927.6,24406.8,5112.1,1.372068182874562,1.368358602364703,1.223964087516062,43.87880920755298,104985.6,6121.6,51424.8,37025.5,60647.2,12666.9,9.7733245549285,5.898945081886872,5.898945081886872,1.7228792725807953,1.4741234766837483,1.3145205613355107,1.401746665398415,1.3477640481969586,1.2316944616844705,1.3206745189677316,1.3228865103025198,1.2067192799944968,1.3150729722334717,1.3062853506851757,1.183237958979195
Bern,3.6673137796008097,5841.347471229558,669.2933070866142,4470.986811023622,3219.064264082374,4966.0767565112055,1031.5804058146578,1.7194838836850987,1.4324390606872455,1.2555587265388999,2.3325718553367003,3506.4929523142278,295.10897812381603,2716.56169501897,1955.8790419433049,2817.2644334450233,571.3760758724812,0.7305922063681264,0.3526438432586946,0.18293714400339958,0.056496636641612,124.0,9.1,86.4,62.2,100.0,29.2,1.0000696942924443,1.0068160607958916,1.0068160607958916,1.9261818701749707,3327.875,456.375,2478.45,1784.5,2850.975,604.275,1.3424351079274093,1.2434387384876782,1.1635301244351997,3.196572965941352,5041.4,646.75,3934.3,2832.6000000000004,4509.200000000001,935.05,1.5215638272374727,1.3454014694109053,1.2133891063211253,4.832634538805012,7703.425,862.5,5851.95,4213.325,6592.55,1365.6,1.8194354154809993,1.5022994476681266,1.2906603610755392,13.598712807358002,23676.4,1907.6,15863.0,11421.2,16290.3,3434.6,9.913201806566788,8.753677478129868,5.686822619010571,2.0986015419109076,1.6151116910736822,1.3571768835534543,1.597058805891963,1.3801095819537057,1.2224636242208562,1.4282084441222647,1.2130035711034997,1.1806033935455922,1.4077260161105039,1.2064854443577784,1.177347471081839
Bologna,5.190411056834398,8115.020118465459,732.0604104965906,7195.852482953372,5180.947764997589,7463.430849232041,1571.6866932984367,1.6326747795415837,1.4862608857326731,1.4175997909870386,2.633344836974608,4233.953440239658,284.7473540674838,3578.6230789950405,2576.5775854263043,3765.2417524735956,797.8676200449613,0.558460585267452,0.3919840832594708,0.28735941592760245,0.0531824335648052,53.6,11.6,53.8,38.7,53.8,10.8,1.0001775290802004,1.0017623085607374,1.0029909679805666,3.189490531166259,4989.35,529.8499999999999,4458.3,3209.95,4643.450000000001,976.3499999999999,1.3521560637131997,1.2845383616923427,1.2591001218833395,4.93102402736232,7478.1,727.1,6866.6,4943.9,7034.9,1481.2,1.4994790079351956,1.39523496469972,1.3429187096244242,6.943746136670088,10558.55,921.95,9648.349999999999,6946.75,9882.7,2074.65,1.727189483413389,1.5614695104853396,1.481521206978629,14.888514243126014,32826.5,2171.8,20549.0,14795.2,28685.8,6728.5,9.642116019656362,9.789577886491303,7.032136678445377,2.0597673501114637,1.776983608909463,1.5864778336759615,1.59188078166768,1.4640788453544846,1.4091165328375541,1.5223232341442736,1.3831319909114475,1.337807672066124,1.4168831617604802,1.3279182202401008,1.280173607860065
Brno,6.7759748642072415,10570.566809500488,1066.926083496572,8412.559322967678,6056.960614593535,9540.224369490694,2034.338736532811,1.5960781546628784,1.4475900226646286,1.266494837285363,3.627678237010381,6227.946018299735,472.4164818986556,4355.165500007628,3135.6824140012213,4981.5383130033015,1047.1601126778885,0.46184876511323264,0.2639041681702219,0.15342775986390447,0.0737112811658245,121.3,20.8,121.3,87.3,136.4,27.3,1.000511267287481,1.0012119143768325,1.0012119143768325,4.1005315610127315,6220.0,724.4,5210.375,3751.3999999999996,5890.975,1266.675,1.3393168370032573,1.3051910714662913,1.1896056559230224,6.313895686250919,9366.45,1024.3,7879.4,5673.1,8875.15,1890.1999999999998,1.4817405491924023,1.39584721459252,1.2389306672652756,8.997423013363429,13566.225,1363.6499999999999,11096.55,7989.424999999999,12498.300000000001,2650.7,1.7151048529427115,1.5192307605470057,1.3000045447164223,21.391695039916627,48739.5,3008.5,26719.6,19237.9,36328.6,7892.5,9.246371831752938,9.948488590347388,6.89398814248649,2.0572440464908435,1.7430196163298826,1.4380410442737879,1.563402299223157,1.4495446428075436,1.270389514394018,1.526447643569288,1.3808705843369184,1.2258102639606616,1.6331531265067865,1.3782721508051263,1.2130590123214267
Brussels,4.1583479005217745,6354.913107822411,736.132417195208,5026.658444914259,3619.118510688278,5324.302654451491,1123.9404510218465,1.624649355290507,1.3542265521171746,1.2534959803732413,2.5170715488374817,3978.8821361001196,356.8745610739653,2887.943644939838,2079.280624482434,2988.6127043319516,607.0648538188401,0.6116801298922709,0.3556139760035737,0.2528614075244803,0.101013479392091,235.2,18.8,135.2,97.4,135.2,51.2,1.002915006110283,1.002915006110283,1.0064772954669416,2.106224172009641,3404.5,456.2,2711.1,1951.9,2955.2,643.7,1.3162761673469416,1.206236028207311,1.163431070671446,3.814627433558416,5843.9,698.6,4719.6,3398.0,5051.4,1075.1,1.4422586284857717,1.2700828108300548,1.1993763884249753,5.796516302539907,8393.4,992.9,6887.2,4958.7,7221.5,1510.4,1.7263601357867906,1.3812643008253351,1.2629835611315063,12.379302305170528,26326.6,2141.2,14795.0,10652.2,15534.3,3162.2,9.767911955319581,9.64794642087257,8.350197711219252,1.9433192783574045,1.5864225386109894,1.3926112250037437,1.535880101687341,1.2932573594158918,1.2173049463798902,1.4786695870316948,1.2167969258770335,1.1680419032909173,1.7207057771220107,1.2485679143031687,1.198388223047754
Budapest,10.834912850819226,15843.46204778519,1561.798723782486,13500.435649186113,9721.18833096751,14637.414651295454,3076.3330118468,1.4848455637425204,1.3818475763937468,1.2743894918993564,5.352374175061402,9336.758459690353,639.4118596791526,6362.709535672629,4581.151635446897,7001.901405634465,1474.292426974899,0.42605967022903135,0.2487150191589362,0.19930116610480972,0.033515153892482,82.5,14.5,82.5,59.4,82.5,16.5,1.000423270381746,1.000423270381746,1.011400701100516,6.727514536692351,9729.349999999999,1101.05,8718.1,6276.95,9378.6,1971.05,1.2537510701312051,1.256504324165777,1.183435931345893,10.43216998296499,14375.8,1548.9,13105.9,9438.7,14096.4,2957.1,1.3560307776650162,1.33115840170721,1.2342329693960794,14.523514196659118,19841.5,2010.7,17896.75,12887.0,19428.05,4076.8500000000004,1.5483631924253567,1.4362488815242136,1.2996424483352176,30.25806200932737,72180.9,4244.5,42803.8,30818.5,47305.5,9786.5,9.656800874551278,8.157789279413976,6.994595471596421,1.9408278476081318,1.6309048631255656,1.4579069037105385,1.5559547322253273,1.4480211038420399,1.3387154804789225,1.4165422201988662,1.3633349841932831,1.261581781367305,1.4454240838629469,1.32619088941252,1.2207166883252438
Constanta,3.574589232379915,5121.379096774194,548.516788530466,5029.533318996416,3621.2273835125447,5214.4980501792115,1087.9003010752688,1.503246111366567,1.5231579727025681,1.4544121270725126,1.8808063781813857,2696.5646208587195,267.1206442380605,2498.3451457229817,1798.791440871631,2620.5625988694233,539.9817552347764,0.4771706649171314,0.40371407271167514,0.3307900918781902,0.0046717274994276,4.7,0.4,4.7,3.4,4.7,0.9,1.0000496282721083,1.0000496282721083,1.0060518299870582,2.099553061026124,3132.6,351.5,3093.5,2227.3,3218.2,676.35,1.2738091384505812,1.3269560077456748,1.2983976906471302,3.3815623785287765,4830.3,520.2,4827.1,3475.5,4934.7,1033.9,1.3901883804872859,1.4289924465302117,1.3789954863249332,4.815461348500121,6737.4,721.95,6754.3,4863.1,6938.75,1444.9,1.5667074745854683,1.5961995331468377,1.5056990420813805,9.760734919058336,24653.4,2034.6,12733.7,9168.2,18191.6,3759.8,9.263136240097976,9.263136240097976,8.595555419507393,1.756030430435028,1.745464044548353,1.602323626433251,1.4293822363939814,1.45831975285294,1.4126542193046066,1.363029837027034,1.3944613976973865,1.3066771754429576,,,
